querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
155170, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 6617989, 35793209, 261.374908, 197.435638, 155170
31635, 0, 0, 0, 0, 0, 0, 13811, 13423, 0, 0, 0, 45, 30954438, 109.674217, 104.374069, 186805
55078, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 10261, 35771302, 234.889832, 180.244354, 241883
62351, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 29087, 35812465, 233.032700, 197.705139, 304234
35047, 0, 0, 0, 0, 0, 0, 13811, 13757, 0, 0, 0, 107, 35206036, 150.312302, 143.106445, 339281
277507, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 19303953, 35845055, 332.272064, 252.394012, 616788
58853, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 70617, 35665552, 271.722839, 161.773743, 675641
321915, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 22074250, 35846667, 295.834869, 255.999405, 997556
140195, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 8414648, 35763129, 297.297607, 226.760925, 1137751
142719, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 10055937, 35740823, 200.013336, 149.130676, 1280470
158623, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 10672755, 35710453, 235.697250, 177.441101, 1439093
38733, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 28342, 17989181, 154.924591, 25.845436, 1477826
378869, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 30963160, 35850733, 358.805908, 255.999298, 1856695
97457, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 3353110, 35836875, 278.197876, 226.074768, 1954152
53863, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 903, 35707732, 186.185104, 169.612061, 2008015
62460, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 26146, 35798153, 239.855530, 196.722900, 2070475
152728, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 9835633, 35845914, 279.620117, 250.125214, 2223203
52135, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 3879, 35760374, 210.331680, 180.750015, 2275338
214439, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 15257262, 35847169, 320.593292, 255.998123, 2489777
89780, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 2756247, 35830912, 238.229599, 226.219086, 2579557
70519, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 231400, 35804849, 259.783478, 191.079575, 2650076
64304, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 56522, 35798391, 243.042770, 183.750427, 2714380
127757, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 6463649, 35824016, 318.490936, 191.238419, 2842137
49879, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 4437, 35719653, 233.326447, 169.300964, 2892016
46825, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 3437, 35404769, 174.551331, 147.729980, 2938841
16155, 0, 0, 0, 0, 0, 0, 13811, 10102, 0, 0, 0, 216, 14621442, 132.428802, 88.271446, 2954996
136125, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 7446212, 35847154, 257.421021, 237.982208, 3091121
51068, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 27685, 35681429, 235.521729, 162.195740, 3142189
64703, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 38403, 35787791, 238.404846, 173.879730, 3206892
94445, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 4039067, 35842546, 252.134644, 219.060059, 3301337
50188, 0, 0, 0, 0, 0, 0, 13811, 13743, 0, 0, 0, 176, 35449931, 174.843048, 174.843048, 3351525
231371, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 17458233, 35849212, 339.759094, 255.998856, 3582896
102761, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 4224739, 35834873, 244.663406, 230.416168, 3685657
157189, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 9330828, 35831473, 276.165161, 255.999176, 3842846
57323, 0, 0, 0, 0, 0, 0, 13811, 13714, 0, 0, 0, 15730, 35133007, 151.259476, 136.511719, 3900169
66714, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 107287, 35825241, 239.781189, 211.081268, 3966883
49178, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 4635, 35339105, 205.268082, 154.440582, 4016061
103110, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 5449928, 35322397, 218.896301, 178.396210, 4119171
36151, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 178, 33541689, 175.837784, 123.541138, 4155322
76821, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 1176620, 35808331, 227.343353, 202.385376, 4232143
59397, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 11059, 35768202, 248.695648, 172.721222, 4291540
148174, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 8620442, 35848111, 301.802338, 239.335861, 4439714
62123, 0, 0, 0, 0, 0, 0, 13811, 13773, 0, 0, 0, 12220, 35783625, 228.722229, 187.490845, 4501837
