querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
2535, 0, 0, 0, 0, 0, 0, 31474, 328, 0, 0, 0, 1, 11357, 0.000000, 0.000000, 2535
2448, 0, 0, 0, 0, 0, 0, 31474, 319, 0, 0, 0, 1, 28239, 0.011769, 0.011769, 4983
1795, 0, 0, 0, 0, 0, 0, 31474, 319, 0, 0, 0, 1, 28239, 0.047113, 0.047113, 6778
1519, 0, 0, 0, 0, 0, 0, 31474, 319, 0, 0, 0, 4, 28239, 0.106084, 0.106084, 8297
1587, 0, 0, 0, 0, 0, 0, 31474, 341, 0, 0, 0, 4, 55153, 0.188722, 0.188722, 9884
1609, 0, 0, 0, 0, 0, 0, 31474, 341, 0, 0, 0, 6, 55153, 0.295057, 0.295057, 11493
1566, 0, 0, 0, 0, 0, 0, 31474, 395, 0, 0, 0, 6, 87132, 0.425111, 0.425111, 13059
1564, 0, 0, 0, 0, 0, 0, 31474, 417, 0, 0, 0, 8, 115876, 0.578896, 0.578896, 14623
1481, 0, 0, 0, 0, 0, 0, 31474, 417, 0, 0, 0, 14, 123221, 0.756411, 0.756411, 16104
1363, 0, 0, 0, 0, 0, 0, 31474, 430, 0, 0, 0, 16, 143540, 0.957650, 0.957650, 17467
1366, 0, 0, 0, 0, 0, 0, 31474, 529, 0, 0, 0, 18, 189956, 1.182593, 1.182593, 18833
1346, 0, 0, 0, 0, 0, 0, 31474, 624, 0, 0, 0, 19, 240394, 1.431213, 1.431213, 20179
1422, 0, 0, 0, 0, 0, 0, 31474, 687, 0, 0, 0, 19, 311518, 1.703470, 1.703470, 21601
1488, 0, 0, 0, 0, 0, 0, 31474, 764, 0, 0, 0, 19, 384917, 1.999317, 1.999317, 23089
1674, 0, 0, 0, 0, 0, 0, 31474, 1001, 0, 0, 0, 21, 629461, 2.318696, 2.318696, 24763
1552, 0, 0, 0, 0, 0, 0, 31474, 1241, 0, 0, 0, 25, 1005684, 2.661540, 2.661540, 26315
1375, 0, 0, 0, 0, 0, 0, 31474, 1470, 0, 0, 0, 30, 1346829, 3.027771, 3.027771, 27690
1549, 0, 0, 0, 0, 0, 0, 31474, 1800, 0, 0, 0, 33, 1766508, 3.417302, 3.417302, 29239
1826, 0, 0, 0, 0, 0, 0, 31474, 2126, 0, 0, 0, 33, 2172178, 3.830037, 3.830037, 31065
2394, 0, 0, 0, 0, 0, 0, 31474, 2455, 0, 0, 0, 33, 2744439, 4.265870, 4.265870, 33459
2792, 0, 0, 0, 0, 0, 0, 31474, 2803, 0, 0, 0, 35, 3555780, 4.724687, 4.724687, 36251
3376, 0, 0, 0, 0, 0, 0, 31474, 3348, 0, 0, 0, 41, 4542489, 5.206360, 5.206360, 39627
3985, 0, 0, 0, 0, 0, 0, 31474, 3725, 0, 0, 0, 46, 5363051, 5.710759, 5.710759, 43612
4626, 0, 0, 0, 0, 0, 0, 31474, 4338, 0, 0, 0, 57, 6339234, 6.237741, 6.237741, 48238
5143, 0, 0, 0, 0, 0, 0, 31474, 4654, 0, 0, 0, 63, 7310510, 6.787153, 6.787153, 53381
5939, 0, 0, 0, 0, 0, 0, 31474, 5037, 0, 0, 0, 72, 8470252, 7.358836, 7.358836, 59320
6511, 0, 0, 0, 0, 0, 0, 31474, 5373, 0, 0, 0, 74, 9417360, 7.952621, 7.952621, 65831
6866, 0, 0, 0, 0, 0, 0, 31474, 5679, 0, 0, 0, 75, 10234350, 8.568335, 8.568335, 72697
7417, 0, 0, 0, 0, 0, 0, 31474, 5943, 0, 0, 0, 82, 11029639, 9.205786, 9.205786, 80114
7921, 0, 0, 0, 0, 0, 0, 31474, 6106, 0, 0, 0, 90, 11741990, 9.864790, 9.864790, 88035
8795, 0, 0, 0, 0, 0, 0, 31474, 6387, 0, 0, 0, 108, 12523817, 10.545137, 10.545137, 96830
9276, 0, 0, 0, 0, 0, 0, 31474, 6606, 0, 0, 0, 134, 13342697, 11.246633, 11.246633, 106106
10013, 0, 0, 0, 0, 0, 0, 31474, 7110, 0, 0, 0, 170, 14186991, 11.969043, 11.969043, 116119
11408, 0, 0, 0, 0, 0, 0, 31474, 7681, 0, 0, 0, 226, 15821072, 12.712160, 12.712160, 127527
12317, 0, 0, 0, 0, 0, 0, 31474, 8259, 0, 0, 0, 281, 17517793, 13.475749, 13.475749, 139844
13664, 0, 0, 0, 0, 0, 0, 31474, 9158, 0, 0, 0, 371, 19381222, 14.259572, 14.259572, 153508
15673, 0, 0, 0, 0, 0, 0, 31474, 10050, 0, 0, 0, 469, 21777312, 15.063391, 15.063391, 169181
17441, 0, 0, 0, 0, 0, 0, 31474, 11074, 0, 0, 0, 629, 24263690, 15.886956, 15.886956, 186622
19431, 0, 0, 0, 0, 0, 0, 31474, 12165, 0, 0, 0, 896, 27190409, 16.730011, 16.730011, 206053
21270, 0, 0, 0, 0, 0, 0, 31474, 13145, 0, 0, 0, 1276, 30054009, 17.592297, 17.592297, 227323
23422, 0, 0, 0, 0, 0, 0, 31474, 14189, 0, 0, 0, 1856, 32542773, 18.473545, 18.473545, 250745
25257, 0, 0, 0, 0, 0, 0, 31474, 15236, 0, 0, 0, 2686, 35546696, 19.373489, 19.373489, 276002
27290, 0, 0, 0, 0, 0, 0, 31474, 16238, 0, 0, 0, 3871, 38231436, 20.291847, 20.291847, 303292
29614, 0, 0, 0, 0, 0, 0, 31474, 17045, 0, 0, 0, 5387, 40854799, 21.228342, 21.228342, 332906
31665, 0, 0, 0, 0, 0, 0, 31474, 17796, 0, 0, 0, 7518, 43507757, 22.182688, 22.182688, 364571
33992, 0, 0, 0, 0, 0, 0, 31474, 18476, 0, 0, 0, 10383, 46227112, 23.154602, 23.154602, 398563
36807, 0, 0, 0, 0, 0, 0, 31474, 19236, 0, 0, 0, 14527, 48887235, 24.143776, 24.143776, 435370
