querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1415, 0, 0, 0, 0, 0, 0, 27835, 288, 0, 0, 0, 1, 5839, 0.000000, 0.000000, 1415
1768, 0, 0, 0, 0, 0, 0, 27835, 288, 0, 0, 0, 1, 11141, 0.003883, 0.003883, 3183
1072, 0, 0, 0, 0, 0, 0, 27835, 288, 0, 0, 0, 1, 11141, 0.015523, 0.015523, 4255
1310, 0, 0, 0, 0, 0, 0, 27835, 336, 0, 0, 0, 1, 26594, 0.034906, 0.034906, 5565
1571, 0, 0, 0, 0, 0, 0, 27835, 344, 0, 0, 0, 1, 39925, 0.062013, 0.062013, 7136
2127, 0, 0, 0, 0, 0, 0, 27835, 344, 0, 0, 0, 1, 39925, 0.096824, 0.096824, 9263
2478, 0, 0, 0, 0, 0, 0, 27835, 422, 0, 0, 0, 1, 102121, 0.139316, 0.139316, 11741
2424, 0, 0, 0, 0, 0, 0, 27835, 587, 0, 0, 0, 1, 215198, 0.189462, 0.189462, 14165
6495, 0, 0, 0, 0, 0, 0, 27835, 611, 0, 0, 0, 1, 265084, 0.247234, 0.247234, 20660
3246, 0, 0, 0, 0, 0, 0, 27835, 858, 0, 0, 0, 1, 473139, 0.312600, 0.312600, 23906
2692, 0, 0, 0, 0, 0, 0, 27835, 949, 0, 0, 0, 1, 596918, 0.385527, 0.385527, 26598
4552, 0, 0, 0, 0, 0, 0, 27835, 1106, 0, 0, 0, 1, 821894, 0.465978, 0.465978, 31150
2127, 0, 0, 0, 0, 0, 0, 27835, 1164, 0, 0, 0, 1, 1033308, 0.553913, 0.553913, 33277
2434, 0, 0, 0, 0, 0, 0, 27835, 1231, 0, 0, 0, 1, 1252478, 0.649291, 0.649291, 35711
2633, 0, 0, 0, 0, 0, 0, 27835, 1317, 0, 0, 0, 1, 1491502, 0.752068, 0.752068, 38344
2939, 0, 0, 0, 0, 0, 0, 27835, 1418, 0, 0, 0, 1, 1762101, 0.862197, 0.862197, 41283
2814, 0, 0, 0, 0, 0, 0, 27835, 1635, 0, 0, 0, 1, 2041676, 0.979630, 0.979630, 44097
3422, 0, 0, 0, 0, 0, 0, 27835, 1853, 0, 0, 0, 2, 2407039, 1.104315, 1.104315, 47519
4511, 0, 0, 0, 0, 0, 0, 27835, 2247, 0, 0, 0, 3, 2991457, 1.236198, 1.236198, 52030
4716, 0, 0, 0, 0, 0, 0, 27835, 2503, 0, 0, 0, 6, 3506927, 1.375224, 1.375224, 56746
6057, 0, 0, 0, 0, 0, 0, 27835, 2810, 0, 0, 0, 15, 4235782, 1.521335, 1.521335, 62803
8236, 0, 0, 0, 0, 0, 0, 27835, 3141, 0, 0, 0, 27, 5042888, 1.674471, 1.674471, 71039
9425, 0, 0, 0, 0, 0, 0, 27835, 3413, 0, 0, 0, 66, 5599939, 1.834570, 1.834570, 80464
11427, 0, 0, 0, 0, 0, 0, 27835, 3709, 0, 0, 0, 120, 6231261, 2.001568, 2.001568, 91891
13673, 0, 0, 0, 0, 0, 0, 27835, 4024, 0, 0, 0, 221, 7060853, 2.175399, 2.175399, 105564
19363, 0, 0, 0, 0, 0, 0, 27835, 4422, 0, 0, 0, 391, 8009099, 2.355994, 2.355994, 124927
21159, 0, 0, 0, 0, 0, 0, 27835, 4766, 0, 0, 0, 634, 9030929, 2.543284, 2.543284, 146086
38262, 0, 0, 0, 0, 0, 0, 27835, 5287, 0, 0, 0, 1051, 10061306, 2.737198, 2.737198, 184348
33547, 0, 0, 0, 0, 0, 0, 27835, 5881, 0, 0, 0, 1611, 11102749, 2.937662, 2.937662, 217895
49429, 0, 0, 0, 0, 0, 0, 27835, 6275, 0, 0, 0, 2582, 12328814, 3.144603, 3.144603, 267324
49567, 0, 0, 0, 0, 0, 0, 27835, 6750, 0, 0, 0, 3872, 13919845, 3.357941, 3.357941, 316891
88750, 0, 0, 0, 0, 0, 0, 27835, 7167, 0, 0, 0, 5859, 15506823, 3.577602, 3.577602, 405641
71307, 0, 0, 0, 0, 0, 0, 27835, 7603, 0, 0, 0, 8584, 16726160, 3.803504, 3.803504, 476948
79470, 0, 0, 0, 0, 0, 0, 27835, 7974, 0, 0, 0, 12278, 18141445, 4.035569, 4.035569, 556418
65996, 0, 0, 0, 0, 0, 0, 27835, 8392, 0, 0, 0, 17218, 19704568, 4.273713, 4.273713, 622414
79382, 0, 0, 0, 0, 0, 0, 27835, 8912, 0, 0, 0, 23895, 21296358, 4.517853, 4.517853, 701796
56882, 0, 0, 0, 0, 0, 0, 27835, 9442, 0, 0, 0, 32668, 22949547, 4.767905, 4.767905, 758678
58331, 0, 0, 0, 0, 0, 0, 27835, 10094, 0, 0, 0, 43730, 24755795, 5.023783, 5.023783, 817009
41718, 0, 0, 0, 0, 0, 0, 27835, 10637, 0, 0, 0, 57864, 26916503, 5.285402, 5.285402, 858727
37853, 0, 0, 0, 0, 0, 0, 27835, 11261, 0, 0, 0, 75757, 28919478, 5.552672, 5.552672, 896580
37350, 0, 0, 0, 0, 0, 0, 27835, 11688, 0, 0, 0, 98199, 30776129, 5.825510, 5.825510, 933930
38225, 0, 0, 0, 0, 0, 0, 27835, 12052, 0, 0, 0, 125919, 32665620, 6.103819, 6.103819, 972155
48328, 0, 0, 0, 0, 0, 0, 27835, 27141, 0, 0, 0, 811141, 34104530, 19.391277, 6.387516, 1020483
