querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
9468, 0, 0, 0, 0, 0, 0, 20467, 430, 0, 0, 0, 294, 139244, 6.812836, 6.812836, 9468
6025, 0, 0, 0, 0, 0, 0, 20467, 318, 0, 0, 0, 58, 63164, 1.536543, 1.293658, 15493
21173, 0, 0, 0, 0, 0, 0, 20467, 334, 0, 0, 0, 1097, 161135, 0.411729, 0.411729, 36666
16276, 0, 0, 0, 0, 0, 0, 20467, 430, 0, 0, 0, 4178, 581320, 0.550013, 0.550013, 52942
1253, 0, 0, 0, 0, 0, 0, 20467, 342, 0, 0, 0, 43, 201950, 2.127993, 1.692372, 54195
1262, 0, 0, 0, 0, 0, 0, 20467, 438, 0, 0, 0, 23, 164539, 0.407790, 0.407790, 55457
4904, 0, 0, 0, 0, 0, 0, 20467, 358, 0, 0, 0, 1217, 219741, 0.091701, 0.085353, 60361
2185, 0, 0, 0, 0, 0, 0, 20467, 406, 0, 0, 0, 95, 283628, 0.611919, 0.611919, 62546
3765, 0, 0, 0, 0, 0, 0, 20467, 318, 0, 0, 0, 431, 162343, 0.404469, 0.404469, 66311
16371, 0, 0, 0, 0, 0, 0, 20467, 438, 0, 0, 0, 4634, 399619, 11.316322, 11.225079, 82682
3058, 0, 0, 0, 0, 0, 0, 20467, 294, 0, 0, 0, 62, 70892, 0.301291, 0.301291, 85740
1320, 0, 0, 0, 0, 0, 0, 20467, 422, 0, 0, 0, 33, 140202, 0.718456, 0.482694, 87060
3947, 0, 0, 0, 0, 0, 0, 20467, 406, 0, 0, 0, 165, 235757, 0.419714, 0.419714, 91007
1678, 0, 0, 0, 0, 0, 0, 20467, 350, 0, 0, 0, 62, 100865, 0.116234, 0.116234, 92685
1004, 0, 0, 0, 0, 0, 0, 20467, 326, 0, 0, 0, 15, 71930, 0.239017, 0.239017, 93689
1233, 0, 0, 0, 0, 0, 0, 20467, 398, 0, 0, 0, 173, 151301, 0.688139, 0.688139, 94922
755, 0, 0, 0, 0, 0, 0, 20467, 310, 0, 0, 0, 2, 38224, 0.058809, 0.058809, 95677
1460, 0, 0, 0, 0, 0, 0, 20467, 310, 0, 0, 0, 11, 77607, 0.143259, 0.097089, 97137
2619, 0, 0, 0, 0, 0, 0, 20467, 326, 0, 0, 0, 30, 130029, 0.207114, 0.207114, 99756
1514, 0, 0, 0, 0, 0, 0, 20467, 366, 0, 0, 0, 14, 177228, 0.282896, 0.282896, 101270
2278, 0, 0, 0, 0, 0, 0, 20467, 318, 0, 0, 0, 55, 87969, 0.173703, 0.156645, 103548
864, 0, 0, 0, 0, 0, 0, 20467, 334, 0, 0, 0, 7, 73647, 0.741146, 0.741146, 104412
5788, 0, 0, 0, 0, 0, 0, 20467, 374, 0, 0, 0, 480, 245378, 0.352708, 0.352708, 110200
2501, 0, 0, 0, 0, 0, 0, 20467, 294, 0, 0, 0, 55, 54733, 1.122522, 1.122522, 112701
1749, 0, 0, 0, 0, 0, 0, 20467, 366, 0, 0, 0, 214, 280724, 0.522561, 0.432175, 114450
1151, 0, 0, 0, 0, 0, 0, 20467, 302, 0, 0, 0, 15, 46765, 0.221304, 0.221304, 115601
2060, 0, 0, 0, 0, 0, 0, 20467, 310, 0, 0, 0, 19, 124754, 0.084105, 0.084105, 117661
1248, 0, 0, 0, 0, 0, 0, 20467, 350, 0, 0, 0, 26, 190346, 2.702920, 1.657799, 118909
1592, 0, 0, 0, 0, 0, 0, 20467, 478, 0, 0, 0, 23, 178061, 5.828297, 4.344620, 120501
1949, 0, 0, 0, 0, 0, 0, 20467, 318, 0, 0, 0, 9, 68276, 0.049305, 0.030166, 122450
16787, 0, 0, 0, 0, 0, 0, 20467, 422, 0, 0, 0, 5554, 423232, 0.566522, 0.444459, 139237
2418, 0, 0, 0, 0, 0, 0, 20467, 350, 0, 0, 0, 359, 189235, 0.065979, 0.065979, 141655
2642, 0, 0, 0, 0, 0, 0, 20467, 974, 0, 0, 0, 428, 1013717, 11.271771, 7.456873, 144297
9063, 0, 0, 0, 0, 0, 0, 20467, 2170, 0, 0, 0, 1166, 6368506, 9.821545, 6.675062, 153360
10035, 0, 0, 0, 0, 0, 0, 20467, 3694, 0, 0, 0, 275, 7693232, 28.909189, 19.574961, 163395
18565, 0, 0, 0, 0, 0, 0, 20467, 1022, 0, 0, 0, 9247, 3084142, 50.720058, 50.720058, 181960
4802, 0, 0, 0, 0, 0, 0, 20467, 398, 0, 0, 0, 763, 538458, 2.891693, 2.278940, 186762
2902, 0, 0, 0, 0, 0, 0, 20467, 414, 0, 0, 0, 301, 304624, 0.082205, 0.076086, 189664
27411, 0, 0, 0, 0, 0, 0, 20467, 1142, 0, 0, 0, 36595, 2756661, 8.700130, 7.284219, 217075
22013, 0, 0, 0, 0, 0, 0, 20467, 1862, 0, 0, 0, 795944, 7148111, 14.503024, 13.494014, 239088
4033, 0, 0, 0, 0, 0, 0, 20467, 902, 0, 0, 0, 3266, 2821343, 11.107239, 11.107239, 243121
28081, 0, 0, 0, 0, 0, 0, 20467, 3582, 0, 0, 0, 1082844, 10719370, 36.212536, 19.458870, 271202
8191, 0, 0, 0, 0, 0, 0, 20467, 854, 0, 0, 0, 197301, 2536899, 3.791218, 3.046427, 279393
5799, 0, 0, 0, 0, 0, 0, 20467, 822, 0, 0, 0, 60089, 1775475, 23.085403, 20.708460, 285192
80007, 0, 0, 0, 0, 0, 0, 20467, 4998, 0, 0, 0, 5184459, 20048846, 82.335800, 65.596886, 365199
3011, 0, 0, 0, 0, 0, 0, 20467, 486, 0, 0, 0, 26346, 784780, 2.932610, 2.630240, 368210
12289, 0, 0, 0, 0, 0, 0, 20467, 2054, 0, 0, 0, 385096, 6388961, 31.552975, 25.690855, 380499
8904, 0, 0, 0, 0, 0, 0, 20467, 1334, 0, 0, 0, 186760, 3325140, 47.206905, 38.425365, 389403
17940, 0, 0, 0, 0, 0, 0, 20467, 3662, 0, 0, 0, 10285, 13785632, 22.645193, 19.707485, 407343
1784, 0, 0, 0, 0, 0, 0, 20467, 380, 0, 0, 0, 165, 211363, 0.103403, 0.100652, 409127
3686, 0, 0, 0, 0, 0, 0, 20467, 502, 0, 0, 0, 22487, 797148, 0.467052, 0.449931, 412813
15478, 0, 0, 0, 0, 0, 0, 20467, 1774, 0, 0, 0, 138925, 3186188, 84.223938, 76.974663, 428291
6097, 0, 0, 0, 0, 0, 0, 20467, 1342, 0, 0, 0, 349, 4160411, 11.278928, 8.176500, 434388
8090, 0, 0, 0, 0, 0, 0, 20467, 542, 0, 0, 0, 22199, 775306, 5.674869, 5.674869, 442478
6686, 0, 0, 0, 0, 0, 0, 20467, 974, 0, 0, 0, 44871, 2988820, 6.198097, 6.198097, 449164
9412, 0, 0, 0, 0, 0, 0, 20467, 478, 0, 0, 0, 100643, 801879, 1.668854, 1.668708, 458576
6860, 0, 0, 0, 0, 0, 0, 20467, 1598, 0, 0, 0, 27589, 3951060, 45.193634, 35.289162, 465436
1490, 0, 0, 0, 0, 0, 0, 20467, 590, 0, 0, 0, 312, 634858, 1.935359, 1.732330, 466926
3217, 0, 0, 0, 0, 0, 0, 20467, 578, 0, 0, 0, 26, 964659, 1.016669, 1.016669, 470143
2300, 0, 0, 0, 0, 0, 0, 20467, 630, 0, 0, 0, 1309, 986577, 4.419300, 3.944222, 472443
3839, 0, 0, 0, 0, 0, 0, 20467, 454, 0, 0, 0, 2330, 693879, 1.760644, 1.760644, 476282
7940, 0, 0, 0, 0, 0, 0, 20467, 924, 0, 0, 0, 83431, 1947990, 1.967370, 1.756439, 484222
14131, 0, 0, 0, 0, 0, 0, 20467, 715, 0, 0, 0, 69445, 1221995, 1.782109, 1.503453, 498353
6020, 0, 0, 0, 0, 0, 0, 20467, 926, 0, 0, 0, 91, 1815348, 15.351121, 14.735039, 504373
6510, 0, 0, 0, 0, 0, 0, 20467, 414, 0, 0, 0, 1358, 273342, 1.707566, 1.707566, 510883
4080, 0, 0, 0, 0, 0, 0, 20467, 678, 0, 0, 0, 21657, 1382785, 0.603036, 0.569092, 514963
2158, 0, 0, 0, 0, 0, 0, 20467, 470, 0, 0, 0, 206, 783561, 3.166240, 2.492810, 517121
