querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
23609, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 3897, 60266, 179.647385, 160.474442, 23609
2235, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 2025, 58500, 153.642166, 140.199997, 25844
516, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 4, 4644, 8.134409, 8.134409, 26360
514, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 6, 1460, 6.328071, 6.328071, 26874
4097, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 3034, 60244, 168.931030, 107.638672, 30971
568, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 52, 2707, 29.842976, 29.842976, 31539
485, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 1, 2707, 11.716393, 11.716393, 32024
561, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 68, 2707, 9.954462, 9.954462, 32585
1656, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 2069, 55252, 64.074570, 64.074570, 34241
453, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 85, 1491, 10.271839, 10.271839, 34694
571, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 361, 2701, 25.018688, 25.018688, 35265
1155, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 159, 56903, 119.042519, 102.369072, 36420
4567, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 14754, 58641, 127.930092, 121.175713, 40987
1819, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 339, 48759, 73.848846, 73.848846, 42806
3670, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 11163, 58774, 169.523041, 127.825340, 46476
326, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 1, 4644, 7.556457, 7.556457, 46802
321, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 4, 1460, 1.750371, 1.750371, 47123
1243, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 4094, 57230, 145.661316, 145.661316, 48366
1670, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 5223, 56973, 105.415886, 105.415886, 50036
2217, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 2908, 53528, 172.468979, 158.617188, 52253
879, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 160, 56871, 133.686996, 133.686996, 53132
2152, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 4804, 58719, 126.150261, 101.880653, 55284
1431, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 6033, 58714, 140.070435, 125.038994, 56715
1110, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 1302, 58381, 142.428604, 142.428604, 57825
1023, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 3277, 56855, 130.178146, 108.611481, 58848
1036, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 1931, 58514, 145.693573, 102.284157, 59884
325, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 4, 1491, 3.007715, 3.007715, 60209
1995, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 23126, 58776, 195.514343, 135.470581, 62204
351, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 7, 26129, 34.015835, 34.015835, 62555
820, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 585, 55430, 79.360649, 74.786240, 63375
509, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 42, 51618, 84.753769, 84.753769, 63884
310, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 17, 6104, 12.021811, 12.021811, 64194
320, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 33, 1491, 1.861399, 1.861399, 64514
320, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 28, 5909, 30.488167, 30.488167, 64834
319, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 6, 5909, 30.015631, 30.015631, 65153
940, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 2100, 60229, 158.255142, 133.739029, 66093
517, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 43, 21566, 40.502655, 40.502655, 66610
651, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 20, 55255, 81.870438, 81.870438, 67261
921, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 522, 58473, 128.718033, 76.576385, 68182
662, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 34, 58247, 116.316559, 62.829521, 68844
732, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 38, 52048, 69.948853, 69.948853, 69576
7611978, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 37303573, 37345245, 217.603958, 206.932281, 7681554
1541, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 3, 4644, 6.080229, 6.080229, 7683095
5444, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 9022, 57563, 211.271454, 118.657867, 7688539
1979, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 45, 58559, 129.992584, 109.988228, 7690518
10008, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 24943, 58804, 206.187408, 205.662201, 7700526
703, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 18, 36145, 26.828444, 26.828444, 7701229
609, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 7, 1491, 7.392574, 7.392574, 7701838
613, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 7, 1491, 7.952715, 7.952715, 7702451
6136, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 19405, 58810, 179.253555, 168.719696, 7708587
603, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 2, 2701, 2.912158, 2.912158, 7709190
586, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 15, 6104, 21.497225, 21.497225, 7709776
633, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 50, 6104, 50.463993, 50.463993, 7710409
439, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 4, 1491, 4.195182, 4.195182, 7710848
433, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 2, 1460, 5.618197, 5.618197, 7711281
421, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 15, 2707, 7.487674, 7.487674, 7711702
627, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 35, 48850, 79.015869, 79.015869, 7712329
416, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 1, 4418, 5.449316, 5.449316, 7712745
427, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 2, 1460, 2.099312, 2.099312, 7713172
430, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 1, 1460, 2.960321, 2.960321, 7713602
8571802, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 37309648, 37345248, 254.853683, 221.596939, 16285404
2920, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 14, 49870, 56.037155, 41.022182, 16288324
1613, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 12, 38783, 36.958195, 36.958195, 16289937
2528, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 369, 56983, 130.900787, 87.935204, 16292465
1008, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 2, 5909, 6.790058, 6.790058, 16293473
1693, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 643, 57404, 134.749146, 104.056084, 16295166
856, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 1, 1491, 3.428795, 3.428795, 16296022
3982, 0, 0, 0, 0, 0, 0, 84, 72, 0, 0, 0, 8269, 57110, 138.741364, 131.509567, 16300004
