querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
9967, 0, 0, 0, 0, 0, 0, 19972, 1432, 0, 0, 0, 276, 3737699, 16.219978, 12.447766, 9967
2793, 0, 0, 0, 0, 0, 0, 19972, 368, 0, 0, 0, 33, 160881, 1.665452, 1.665452, 12760
77435, 0, 0, 0, 0, 0, 0, 19972, 1336, 0, 0, 0, 174950, 3726672, 20.164249, 20.164249, 90195
601325, 0, 0, 0, 0, 0, 0, 19972, 15159, 0, 0, 0, 37073225, 65830913, 256.220642, 213.470169, 691520
36111, 0, 0, 0, 0, 0, 0, 19972, 5680, 0, 0, 0, 1468441, 17237019, 73.656654, 49.990955, 727631
915, 0, 0, 0, 0, 0, 0, 19972, 312, 0, 0, 0, 9, 46875, 0.419924, 0.179217, 728546
493360, 0, 0, 0, 0, 0, 0, 19972, 14103, 0, 0, 0, 35454957, 65747193, 156.169128, 151.610733, 1221906
114840, 0, 0, 0, 0, 0, 0, 19972, 18111, 0, 0, 0, 12877948, 43649689, 231.911179, 92.912659, 1336746
137976, 0, 0, 0, 0, 0, 0, 19972, 5312, 0, 0, 0, 10000769, 22356643, 51.601307, 48.675865, 1474722
827, 0, 0, 0, 0, 0, 0, 19972, 440, 0, 0, 0, 8, 148124, 0.989566, 0.989566, 1475549
28257, 0, 0, 0, 0, 0, 0, 19972, 2048, 0, 0, 0, 1698351, 6118975, 17.821199, 14.495574, 1503806
21988, 0, 0, 0, 0, 0, 0, 19972, 8616, 0, 0, 0, 1223, 26775588, 90.677063, 55.950466, 1525794
395161, 0, 0, 0, 0, 0, 0, 19972, 16679, 0, 0, 0, 37815495, 73464896, 205.304031, 181.264832, 1920955
1187, 0, 0, 0, 0, 0, 0, 19972, 528, 0, 0, 0, 2, 171068, 6.714111, 6.714111, 1922142
22894, 0, 0, 0, 0, 0, 0, 19972, 4184, 0, 0, 0, 1776328, 11583905, 64.862480, 37.990635, 1945036
73705, 0, 0, 0, 0, 0, 0, 19972, 3136, 0, 0, 0, 3948701, 12574818, 72.882019, 65.409508, 2018741
213947, 0, 0, 0, 0, 0, 0, 19972, 13007, 0, 0, 0, 17655894, 45518336, 202.627625, 141.049713, 2232688
85394, 0, 0, 0, 0, 0, 0, 19972, 16063, 0, 0, 0, 8775224, 32124007, 175.317276, 54.946804, 2318082
102559, 0, 0, 0, 0, 0, 0, 19972, 15826, 0, 0, 0, 6203481, 58184718, 178.814255, 137.332886, 2420641
175335, 0, 0, 0, 0, 0, 0, 19972, 19775, 0, 0, 0, 17797227, 53614307, 278.770905, 126.871048, 2595976
350318, 0, 0, 0, 0, 0, 0, 19972, 18743, 0, 0, 0, 23752733, 72570954, 261.592682, 202.817993, 2946294
2520, 0, 0, 0, 0, 0, 0, 19972, 312, 0, 0, 0, 63, 154121, 0.854668, 0.770839, 2948814
4826, 0, 0, 0, 0, 0, 0, 19972, 2832, 0, 0, 0, 52, 4119868, 46.965179, 38.999680, 2953640
1385, 0, 0, 0, 0, 0, 0, 19972, 440, 0, 0, 0, 4, 118087, 1.980150, 1.148669, 2955025
118618, 0, 0, 0, 0, 0, 0, 19972, 7192, 0, 0, 0, 7522528, 28996114, 96.013557, 82.649536, 3073643
244334, 0, 0, 0, 0, 0, 0, 19972, 13543, 0, 0, 0, 20268012, 57629395, 189.180740, 150.033920, 3317977
14039, 0, 0, 0, 0, 0, 0, 19972, 1088, 0, 0, 0, 549957, 3341319, 7.558424, 7.403674, 3332016
39712, 0, 0, 0, 0, 0, 0, 19972, 15215, 0, 0, 0, 18004, 45627276, 176.538513, 98.353355, 3371728
379765, 0, 0, 0, 0, 0, 0, 19972, 15333, 0, 0, 0, 37153630, 68583057, 189.105255, 175.922211, 3751493
50776, 0, 0, 0, 0, 0, 0, 19972, 2392, 0, 0, 0, 3304788, 8813537, 15.101698, 14.879477, 3802269
10241, 0, 0, 0, 0, 0, 0, 19972, 1136, 0, 0, 0, 316514, 3214040, 12.238750, 12.238750, 3812510
51643, 0, 0, 0, 0, 0, 0, 19972, 16535, 0, 0, 0, 654400, 45853808, 204.046707, 110.184891, 3864153
