querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
56087, 0, 0, 0, 0, 0, 0, 5719, 1600, 0, 0, 0, 1631721, 5558625, 86.149490, 78.210190, 56087
210597, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 10783483, 25711078, 268.759583, 206.411499, 266684
128548, 0, 0, 0, 0, 0, 0, 5719, 5393, 0, 0, 0, 10176229, 21358803, 236.356888, 171.566620, 395232
2068411, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 27055720, 31982567, 313.320221, 256.000031, 2463643
81868, 0, 0, 0, 0, 0, 0, 5719, 5606, 0, 0, 0, 2255982, 22507171, 215.812073, 155.947861, 2545511
60902, 0, 0, 0, 0, 0, 0, 5719, 5664, 0, 0, 0, 4138065, 21419089, 190.132782, 121.478043, 2606413
128827, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 11326021, 25470654, 250.488953, 182.873856, 2735240
7406, 0, 0, 0, 0, 0, 0, 5719, 428, 0, 0, 0, 48412, 769356, 9.063293, 9.063293, 2742646
192053, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 14137227, 25931157, 275.399109, 219.588623, 2934699
108971, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 9089307, 25819176, 258.541382, 185.919189, 3043670
73818, 0, 0, 0, 0, 0, 0, 5719, 5641, 0, 0, 0, 6225708, 20759570, 193.194366, 128.844208, 3117488
1706669, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 21221418, 31982284, 278.160706, 237.750717, 4824157
113483, 0, 0, 0, 0, 0, 0, 5719, 4476, 0, 0, 0, 7250545, 19274895, 174.155426, 141.374176, 4937640
2152575, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 19466053, 31982231, 281.951904, 219.835876, 7090215
175423, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 13745929, 25908794, 290.386719, 205.275497, 7265638
12702, 0, 0, 0, 0, 0, 0, 5719, 668, 0, 0, 0, 337134, 2043868, 43.800823, 43.800823, 7278340
82994, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 8664700, 24635908, 284.433807, 149.911179, 7361334
86220, 0, 0, 0, 0, 0, 0, 5719, 4119, 0, 0, 0, 6295421, 17046514, 170.162979, 138.869049, 7447554
71851, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 6651656, 23698022, 299.508453, 144.602417, 7519405
103358, 0, 0, 0, 0, 0, 0, 5719, 5679, 0, 0, 0, 8976333, 25254138, 221.659500, 162.322830, 7622763
67486, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 3803404, 25107531, 232.904327, 169.900986, 7690249
62985, 0, 0, 0, 0, 0, 0, 5719, 2656, 0, 0, 0, 3662050, 10222303, 109.161438, 86.938255, 7753234
115660, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 10324096, 25817154, 272.563629, 183.295746, 7868894
153601, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 10055860, 25843515, 263.096130, 194.510422, 8022495
18438, 0, 0, 0, 0, 0, 0, 5719, 5383, 0, 0, 0, 20155, 16629496, 174.010132, 100.896454, 8040933
12802, 0, 0, 0, 0, 0, 0, 5719, 780, 0, 0, 0, 343135, 2178535, 20.675617, 19.359430, 8053735
2664355, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 22450555, 31915936, 287.232239, 233.221298, 10718090
193514, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 15066448, 25929197, 298.688080, 218.898773, 10911604
152005, 0, 0, 0, 0, 0, 0, 5719, 5679, 0, 0, 0, 12358470, 25307173, 241.705917, 185.422882, 11063609
162157, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 13309905, 25914065, 289.858276, 205.612701, 11225766
34071, 0, 0, 0, 0, 0, 0, 5719, 5656, 0, 0, 0, 1584507, 17308250, 205.871475, 76.868340, 11259837
118753, 0, 0, 0, 0, 0, 0, 5719, 5679, 0, 0, 0, 8984449, 22959052, 223.945404, 145.756668, 11378590
131209, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 11820406, 25865240, 287.477356, 191.364471, 11509799
120752, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 12590862, 25835470, 243.711868, 181.738907, 11630551
1574644, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 20866479, 31982388, 296.408386, 222.015717, 13205195
1987901, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 27427176, 31982751, 330.226776, 256.000000, 15193096
1440366, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 23967277, 31982361, 308.709167, 235.551422, 16633462
129832, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 12901085, 25675308, 252.387985, 183.872894, 16763294
82331, 0, 0, 0, 0, 0, 0, 5719, 5666, 0, 0, 0, 5747200, 22200720, 210.756287, 139.074951, 16845625
110182, 0, 0, 0, 0, 0, 0, 5719, 4880, 0, 0, 0, 9328344, 19069089, 204.008545, 163.390503, 16955807
143569, 0, 0, 0, 0, 0, 0, 5719, 5679, 0, 0, 0, 13553225, 25931191, 224.106293, 219.444733, 17099376
134503, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 9836082, 25856197, 264.795074, 195.208649, 17233879
1932282, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 29152797, 31982659, 300.470825, 251.223862, 19166161
136516, 0, 0, 0, 0, 0, 0, 5719, 4256, 0, 0, 0, 8412585, 18289817, 176.338028, 148.668640, 19302677
2853948, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 20004780, 31982459, 250.785904, 224.020676, 22156625
30783, 0, 0, 0, 0, 0, 0, 5719, 931, 0, 0, 0, 806176, 2571902, 16.835463, 14.172218, 22187408
86513, 0, 0, 0, 0, 0, 0, 5719, 5679, 0, 0, 0, 6958491, 23342431, 218.555756, 146.828552, 22273921
111979, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 8318589, 21523725, 269.076904, 135.984467, 22385900
3788, 0, 0, 0, 0, 0, 0, 5719, 781, 0, 0, 0, 3221, 1834766, 8.363429, 7.577721, 22389688
100667, 0, 0, 0, 0, 0, 0, 5719, 5509, 0, 0, 0, 7401641, 23175639, 181.150101, 154.366516, 22490355
181498, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 14820653, 25829386, 251.599289, 209.330185, 22671853
1387431, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 23462118, 31982263, 261.142487, 228.220291, 24059284
28586, 0, 0, 0, 0, 0, 0, 5719, 1307, 0, 0, 0, 748791, 4568187, 51.409386, 42.682655, 24087870
41797, 0, 0, 0, 0, 0, 0, 5719, 1604, 0, 0, 0, 2234310, 5761022, 67.421677, 53.091843, 24129667
80363, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 4383208, 24922913, 245.355362, 164.936325, 24210030
90168, 0, 0, 0, 0, 0, 0, 5719, 4571, 0, 0, 0, 4351687, 17482393, 196.754532, 112.443352, 24300198
194054, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 14032103, 25905718, 265.011292, 209.344849, 24494252
2180839, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 24044513, 31908488, 314.125610, 221.661057, 26675091
2011961, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 20836156, 31981914, 301.841003, 235.491791, 28687052
138297, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 8928438, 25930393, 250.951599, 219.648041, 28825349
96487, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 8226214, 25780489, 279.404846, 186.904816, 28921836
89941, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 6024586, 19933963, 248.402130, 110.051056, 29011777
53642, 0, 0, 0, 0, 0, 0, 5719, 2760, 0, 0, 0, 3080088, 11016173, 123.400658, 98.450073, 29065419
1763946, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 31041048, 31982700, 319.411987, 256.000031, 30829365
176250, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 13646350, 25680628, 270.552094, 199.316620, 31005615
2659451, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 28009298, 31982728, 324.322968, 256.000000, 33665066
83661, 0, 0, 0, 0, 0, 0, 5719, 5155, 0, 0, 0, 5518272, 22032738, 140.439484, 138.762268, 33748727
26162, 0, 0, 0, 0, 0, 0, 5719, 1036, 0, 0, 0, 665470, 3627178, 45.166744, 44.971046, 33774889
99701, 0, 0, 0, 0, 0, 0, 5719, 4354, 0, 0, 0, 7616499, 17567914, 165.509003, 144.827667, 33874590
117572, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 11303671, 25759012, 257.403778, 185.669006, 33992162
2391759, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 22673258, 31981145, 282.022797, 235.142471, 36383921
93850, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 9363972, 24018619, 234.361298, 133.235641, 36477771
151318, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 14126708, 25930542, 255.999969, 216.457794, 36629089
150262, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 13488854, 25875344, 286.000336, 210.388535, 36779351
206564, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 18076835, 25930175, 307.654480, 233.561432, 36985915
104561, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 8150083, 25356475, 263.169037, 197.790421, 37090476
1791781, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 22617838, 31982721, 307.902588, 254.194427, 38882257
198069, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 15476450, 25505126, 280.280029, 197.448288, 39080326
2060570, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 21351851, 31979937, 318.394897, 238.223801, 41140896
143469, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 14615197, 22972964, 259.258789, 181.976135, 41284365
2504234, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 28890830, 31982742, 357.960724, 256.000000, 43788599
2457149, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 27105673, 31982537, 256.000031, 248.706238, 46245748
2163373, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 23959439, 31980162, 293.742371, 229.125763, 48409121
2143291, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 24349118, 31712884, 316.135925, 250.264130, 50552412
2056983, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 27383084, 31982565, 292.552429, 249.717285, 52609395
17735, 0, 0, 0, 0, 0, 0, 5719, 516, 0, 0, 0, 160506, 1042536, 9.407943, 9.407943, 52627130
2350387, 0, 0, 0, 0, 0, 0, 5719, 5682, 0, 0, 0, 24948425, 31969751, 248.576370, 224.809006, 54977517
34542, 0, 0, 0, 0, 0, 0, 5719, 4653, 0, 0, 0, 104551, 20437023, 152.241577, 128.962036, 55012059
30690, 0, 0, 0, 0, 0, 0, 5719, 5648, 0, 0, 0, 586208, 20846093, 215.105240, 117.036362, 55042749
78826, 0, 0, 0, 0, 0, 0, 5719, 5669, 0, 0, 0, 5992250, 24997096, 218.908783, 180.760208, 55121575
