querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
282702, 0, 0, 0, 0, 0, 0, 18363, 18292, 0, 0, 0, 1046571, 1464410, 407.074921, 17.696831, 282702
8802, 0, 0, 0, 0, 0, 0, 18363, 2536, 0, 0, 0, 2201, 541048, 14.898204, 14.898204, 291504
60212, 0, 0, 0, 0, 0, 0, 18363, 18296, 0, 0, 0, 852568, 1789096, 510.447510, 17.828831, 351716
41606, 0, 0, 0, 0, 0, 0, 18363, 18296, 0, 0, 0, 851362, 1491391, 413.741791, 15.856450, 393322
5718, 0, 0, 0, 0, 0, 0, 18363, 3427, 0, 0, 0, 11190, 146039, 14.364668, 14.364668, 399040
6122, 0, 0, 0, 0, 0, 0, 18363, 6981, 0, 0, 0, 23, 4025933, 15.054004, 15.054004, 405162
43150, 0, 0, 0, 0, 0, 0, 18363, 18296, 0, 0, 0, 935506, 18854540, 450.892548, 16.723976, 448312
9364, 0, 0, 0, 0, 0, 0, 18363, 7099, 0, 0, 0, 19190, 4180732, 16.485147, 16.485147, 457676
17363, 0, 0, 0, 0, 0, 0, 18363, 11133, 0, 0, 0, 16543, 11864913, 15.144854, 15.144854, 475039
29784, 0, 0, 0, 0, 0, 0, 18363, 18296, 0, 0, 0, 943821, 4108419, 451.695496, 15.658474, 504823
5837, 0, 0, 0, 0, 0, 0, 18363, 4392, 0, 0, 0, 5810, 3100074, 14.940656, 14.940656, 510660
24441, 0, 0, 0, 0, 0, 0, 18363, 18220, 0, 0, 0, 836677, 7598777, 184.660080, 14.938226, 535101
9795, 0, 0, 0, 0, 0, 0, 18363, 6400, 0, 0, 0, 4895, 6150503, 14.115511, 14.115511, 544896
24572, 0, 0, 0, 0, 0, 0, 18363, 18108, 0, 0, 0, 814852, 856571, 175.658737, 16.976398, 569468
