querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1052477, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 73130508, 87323423, 293.426178, 217.268478, 1052477
567480, 0, 0, 0, 0, 0, 0, 19377, 19330, 0, 0, 0, 60758923, 87077806, 219.911392, 147.639908, 1619957
520110, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 55444391, 87076190, 250.703903, 124.486542, 2140067
609109, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 64909183, 87078343, 254.152237, 184.155075, 2749176
95160, 0, 0, 0, 0, 0, 0, 19377, 19106, 0, 0, 0, 3195195, 71669004, 173.664871, 120.844963, 2844336
383591, 0, 0, 0, 0, 0, 0, 19377, 19326, 0, 0, 0, 39351809, 87075886, 207.146942, 127.045837, 3227927
613429, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 59050772, 87078040, 249.932480, 167.251022, 3841356
309018, 0, 0, 0, 0, 0, 0, 19377, 19330, 0, 0, 0, 33149403, 86824700, 198.347137, 154.674927, 4150374
534104, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 60783327, 87078036, 246.479996, 162.522430, 4684478
1990, 0, 0, 0, 0, 0, 0, 19377, 1076, 0, 0, 0, 597, 1137113, 41.256969, 41.256969, 4686468
602406, 0, 0, 0, 0, 0, 0, 19377, 19330, 0, 0, 0, 63880202, 87077988, 224.079361, 165.862061, 5288874
765310, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 67885124, 87078339, 285.238770, 184.297760, 6054184
597671, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 65917670, 87078009, 282.723846, 157.931183, 6651855
549842, 0, 0, 0, 0, 0, 0, 19377, 19326, 0, 0, 0, 62487184, 87076259, 205.118454, 130.274887, 7201697
478020, 0, 0, 0, 0, 0, 0, 19377, 19334, 0, 0, 0, 61556934, 87010822, 222.891113, 127.069687, 7679717
611526, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 54835756, 87078045, 237.362000, 179.548889, 8291243
554242, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 62670586, 87078024, 265.328735, 170.973923, 8845485
1002610, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 81746522, 87323425, 326.234009, 248.867737, 9848095
445410, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 65448339, 87076534, 266.780243, 143.385254, 10293505
809693, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 68157196, 87078704, 293.477783, 205.413010, 11103198
584303, 0, 0, 0, 0, 0, 0, 19377, 19336, 0, 0, 0, 57826209, 87078042, 230.536942, 182.777634, 11687501
623594, 0, 0, 0, 0, 0, 0, 19377, 19334, 0, 0, 0, 65160719, 87078040, 233.210556, 190.047424, 12311095
621709, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 69246109, 87078041, 291.463409, 175.201584, 12932804
543363, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 64654663, 87076453, 253.640747, 141.163971, 13476167
638320, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 66233469, 87078334, 256.927979, 171.076935, 14114487
799621, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 74863016, 87323422, 275.284821, 201.524384, 14914108
636126, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 66308522, 87077984, 279.691742, 162.945312, 15550234
608123, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 65086826, 87078768, 302.357574, 194.481171, 16158357
820918, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 79722796, 87323421, 297.791229, 209.982544, 16979275
544522, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 67253455, 87078019, 252.940094, 157.164444, 17523797
453361, 0, 0, 0, 0, 0, 0, 19377, 19336, 0, 0, 0, 64410746, 87076336, 253.715759, 131.958099, 17977158
719366, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 74571430, 87078041, 290.988434, 176.389221, 18696524
612124, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 60913033, 87078322, 246.138214, 175.430084, 19308648
577464, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 58744015, 87078345, 251.668701, 191.212784, 19886112
588627, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 67092301, 87078015, 289.214233, 163.357941, 20474739
641958, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 63512528, 87078341, 313.565399, 183.865021, 21116697
362532, 0, 0, 0, 0, 0, 0, 19377, 19326, 0, 0, 0, 33435479, 86620155, 184.671188, 154.893799, 21479229
530254, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 68763397, 87078040, 264.983002, 174.735199, 22009483
588342, 0, 0, 0, 0, 0, 0, 19377, 19336, 0, 0, 0, 64046298, 87078045, 226.249741, 174.501205, 22597825
730678, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 70005683, 87078510, 275.320953, 190.393555, 23328503
478125, 0, 0, 0, 0, 0, 0, 19377, 19326, 0, 0, 0, 54293895, 87075948, 210.275558, 106.782013, 23806628
460345, 0, 0, 0, 0, 0, 0, 19377, 19334, 0, 0, 0, 49799324, 87077832, 219.479523, 163.529907, 24266973
491530, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 62632143, 87077784, 265.360535, 140.182266, 24758503
472526, 0, 0, 0, 0, 0, 0, 19377, 19336, 0, 0, 0, 55414645, 87024187, 245.220261, 119.883583, 25231029
264020, 0, 0, 0, 0, 0, 0, 19377, 19146, 0, 0, 0, 24189988, 82202219, 170.566360, 136.432846, 25495049
731203, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 72589371, 87078768, 269.109039, 206.949280, 26226252
653137, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 66740857, 87078041, 267.256134, 175.126709, 26879389
559546, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 64098634, 87077813, 299.839722, 155.385559, 27438935
287233, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 32100777, 86907201, 261.430481, 109.062469, 27726168
465750, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 56603688, 87075862, 256.862335, 107.266907, 28191918
644235, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 69949273, 87078031, 278.091248, 167.964554, 28836153
506734, 0, 0, 0, 0, 0, 0, 19377, 19334, 0, 0, 0, 53169510, 87078014, 220.757355, 176.333313, 29342887
770050, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 71538114, 87078501, 317.302490, 192.752548, 30112937
702887, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 71908002, 87078519, 279.322021, 209.436691, 30815824
520896, 0, 0, 0, 0, 0, 0, 19377, 19326, 0, 0, 0, 62185580, 87076264, 175.420578, 125.747101, 31336720
771119, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 71135207, 87323424, 271.857208, 209.595276, 32107839
528832, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 53520932, 87075898, 249.181061, 115.334541, 32636671
637535, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 63243907, 87078490, 279.588135, 186.990875, 33274206
472160, 0, 0, 0, 0, 0, 0, 19377, 19326, 0, 0, 0, 55726156, 87072783, 192.530457, 136.315247, 33746366
817067, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 74442397, 87323422, 272.764282, 224.671646, 34563433
732914, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 71242419, 87078495, 254.157516, 180.247025, 35296347
121440, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 2168290, 86519727, 306.325256, 118.555534, 35417787
502102, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 65973209, 87076459, 240.763184, 138.261139, 35919889
644331, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 60521804, 87078519, 292.324799, 188.258453, 36564220
677555, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 70673216, 87078507, 261.033722, 187.001083, 37241775
531995, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 62219472, 87076301, 290.237610, 114.894852, 37773770
960836, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 80635022, 87323428, 312.217255, 221.502945, 38734606
275949, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 27951500, 87069142, 235.709564, 107.997253, 39010555
423795, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 51157466, 87076308, 271.871216, 123.035782, 39434350
628430, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 67835753, 87078023, 304.789978, 167.876648, 40062780
715715, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 70581786, 87078345, 268.228302, 186.172546, 40778495
689415, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 69133924, 87078515, 302.907166, 191.371292, 41467910
545657, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 67363090, 87077818, 285.192627, 151.143890, 42013567
424716, 0, 0, 0, 0, 0, 0, 19377, 19326, 0, 0, 0, 52902870, 87076301, 182.007950, 130.267090, 42438283
541800, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 61206768, 87078000, 300.012085, 169.752441, 42980083
589112, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 66077302, 87078024, 261.005524, 164.245010, 43569195
825667, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 77220838, 87323426, 301.785400, 219.017151, 44394862
656713, 0, 0, 0, 0, 0, 0, 19377, 19334, 0, 0, 0, 64909621, 87078043, 216.888260, 176.772247, 45051575
740762, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 73733851, 87078353, 297.959503, 195.026566, 45792337
353335, 0, 0, 0, 0, 0, 0, 19377, 19330, 0, 0, 0, 36807083, 87077997, 190.067810, 158.856491, 46145672
778991, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 73434279, 87078349, 248.259094, 179.052505, 46924663
388145, 0, 0, 0, 0, 0, 0, 19377, 19334, 0, 0, 0, 44251097, 86791097, 229.351135, 158.955902, 47312808
683012, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 71777483, 87078025, 292.551849, 171.779526, 47995820
584276, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 62427502, 87078337, 259.208527, 179.844971, 48580096
693261, 0, 0, 0, 0, 0, 0, 19377, 19340, 0, 0, 0, 69497867, 87078517, 227.941315, 202.079788, 49273357
292789, 0, 0, 0, 0, 0, 0, 19377, 19254, 0, 0, 0, 27463328, 82960979, 180.202957, 146.697937, 49566146
346160, 0, 0, 0, 0, 0, 0, 19377, 19318, 0, 0, 0, 39949563, 85442287, 171.873779, 76.439568, 49912306
