querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1190, 0, 0, 0, 0, 0, 0, 13088, 299, 0, 0, 0, 1, 3, 0.000000, 0.000000, 1190
1392, 0, 0, 0, 0, 0, 0, 13088, 282, 0, 0, 0, 1293, 3868, 0.003883, 0.003883, 2582
888, 0, 0, 0, 0, 0, 0, 13088, 282, 0, 0, 0, 1257, 3952, 0.015523, 0.015523, 3470
861, 0, 0, 0, 0, 0, 0, 13088, 282, 0, 0, 0, 1247, 4221, 0.034906, 0.034906, 4331
833, 0, 0, 0, 0, 0, 0, 13088, 282, 0, 0, 0, 1237, 4438, 0.062013, 0.062013, 5164
826, 0, 0, 0, 0, 0, 0, 13088, 282, 0, 0, 0, 1234, 4656, 0.096824, 0.096824, 5990
801, 0, 0, 0, 0, 0, 0, 13088, 282, 0, 0, 0, 1231, 4931, 0.139316, 0.139316, 6791
831, 0, 0, 0, 0, 0, 0, 13088, 282, 0, 0, 0, 1242, 5403, 0.189462, 0.189462, 7622
830, 0, 0, 0, 0, 0, 0, 13088, 289, 0, 0, 0, 1242, 6968, 0.247234, 0.247234, 8452
830, 0, 0, 0, 0, 0, 0, 13088, 289, 0, 0, 0, 1250, 7898, 0.312600, 0.312600, 9282
858, 0, 0, 0, 0, 0, 0, 13088, 317, 0, 0, 0, 1259, 12831, 0.385527, 0.385527, 10140
869, 0, 0, 0, 0, 0, 0, 13088, 317, 0, 0, 0, 1259, 16130, 0.465978, 0.465978, 11009
921, 0, 0, 0, 0, 0, 0, 13088, 324, 0, 0, 0, 1265, 25106, 0.553913, 0.553913, 11930
997, 0, 0, 0, 0, 0, 0, 13088, 331, 0, 0, 0, 1267, 31032, 0.649291, 0.649291, 12927
1100, 0, 0, 0, 0, 0, 0, 13088, 370, 0, 0, 0, 1271, 45923, 0.752068, 0.752068, 14027
1043, 0, 0, 0, 0, 0, 0, 13088, 370, 0, 0, 0, 1276, 53474, 0.862197, 0.862197, 15070
