querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
2616, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 13, 60293, 180.068680, 160.474472, 2616
3029, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 9, 60129, 145.558014, 140.200012, 5645
2424, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 14, 4480, 8.134409, 8.134409, 8069
2393, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 31, 2633, 6.328071, 6.328071, 10462
2889, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 8, 60297, 141.290405, 107.638672, 13351
1820, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 20, 2633, 29.842978, 29.842978, 15171
1743, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 13, 2633, 11.716393, 11.716393, 16914
1823, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 49, 2633, 9.954462, 9.954462, 18737
2237, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 20, 60161, 128.295685, 64.074570, 20974
1877, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 52, 2675, 10.271837, 10.271837, 22851
1620, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 30, 2675, 25.018686, 25.018686, 24471
1506, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 9, 59249, 119.042526, 102.369072, 25977
1770, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 10, 59330, 127.930084, 121.175705, 27747
1409, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 11, 28975, 73.848831, 73.848831, 29156
1730, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 20, 60294, 173.896805, 127.825333, 30886
1323, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 9, 3995, 7.556457, 7.556457, 32209
1279, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 19, 2633, 1.750371, 1.750371, 33488
1413, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 10, 57664, 177.537430, 145.661301, 34901
1132, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 22, 57303, 105.415894, 105.415894, 36033
1103, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 17, 57495, 158.617157, 158.617157, 37136
939, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 10, 56787, 133.687012, 133.687012, 38075
1203, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 11, 59832, 126.150253, 101.880653, 39278
1110, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 9, 60277, 125.038986, 125.038986, 40388
1097, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 11, 60288, 154.334747, 142.428589, 41485
1114, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 20, 57579, 108.611481, 108.611481, 42599
1107, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 17, 60294, 156.016769, 102.284157, 43706
755, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 28, 2675, 3.007715, 3.007715, 44461
840, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 11, 59156, 135.470551, 135.470551, 45301
718, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 7, 15084, 34.015839, 34.015839, 46019
810, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 19, 56234, 74.786240, 74.786240, 46829
695, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 9, 42645, 84.753769, 84.753769, 47524
689, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 4, 13364, 12.021811, 12.021811, 48213
675, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 27, 2675, 1.861399, 1.861399, 48888
677, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 24, 4501, 30.488173, 30.488173, 49565
681, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 19, 13088, 30.015633, 30.015633, 50246
843, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 24, 60299, 185.140610, 133.739029, 51089
713, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 17, 19836, 43.784386, 40.502655, 51802
758, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 15, 58708, 111.958939, 81.870430, 52560
740, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 14, 55637, 124.680237, 76.576378, 53300
695, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 9, 24755, 62.829517, 62.829517, 53995
750, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 11, 53869, 73.782898, 69.948853, 54745
894, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 10, 60301, 206.932312, 206.932312, 55639
709, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 14, 2208, 6.080228, 6.080228, 56348
836, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 16, 57662, 174.197311, 118.657883, 57184
712, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 22, 60165, 148.798431, 109.988220, 57896
907, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 20, 60299, 206.187424, 205.662186, 58803
720, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 17, 18564, 26.828445, 26.828445, 59523
685, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 19, 2675, 7.392575, 7.392575, 60208
683, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 15, 2675, 7.952715, 7.952715, 60891
844, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 13, 60297, 178.104172, 168.719681, 61735
698, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 9, 2675, 2.912158, 2.912158, 62433
662, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 8, 11886, 21.497225, 21.497225, 63095
667, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 9, 16980, 50.463997, 50.463997, 63762
675, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 22, 2675, 4.195183, 4.195183, 64437
682, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 13, 2633, 5.618197, 5.618197, 65119
685, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 19, 2633, 7.487675, 7.487675, 65804
692, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 12, 26163, 79.015854, 79.015854, 66496
664, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 6, 3820, 5.449315, 5.449315, 67160
663, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 11, 2633, 2.099312, 2.099312, 67823
677, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 28, 2633, 2.960320, 2.960320, 68500
902, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 13, 60297, 221.596939, 221.596939, 69402
714, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 12, 33477, 51.073772, 41.022182, 70116
669, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 12, 14530, 36.958199, 36.958199, 70785
714, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 12, 60273, 145.824615, 87.935211, 71499
698, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 7, 3820, 6.790058, 6.790058, 72197
690, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 12, 49468, 104.056076, 104.056076, 72887
696, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 24, 2675, 3.428796, 3.428796, 73583
811, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 19, 57661, 138.741364, 131.509552, 74394
843, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 18, 60303, 246.735657, 157.545837, 75237
754, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 6, 15767, 45.686100, 45.686100, 75991
669, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 16, 16316, 56.289047, 46.988949, 76660
684, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 17, 5370, 29.668463, 29.668463, 77344
677, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 8, 13989, 7.746819, 7.746819, 78021
787, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 10, 60299, 200.744797, 160.249359, 78808
718, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 10, 54742, 116.802071, 107.905228, 79526
701, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 12, 30669, 38.290642, 16.146191, 80227
675, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 14, 2633, 1.108160, 1.108160, 80902
652, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 18, 1145, 8.493831, 8.493831, 81554
662, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 6, 13986, 32.685505, 32.685505, 82216
715, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 12, 41739, 79.803757, 67.772972, 82931
698, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 10, 27104, 54.333439, 54.333439, 83629
668, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 11, 11886, 22.512762, 22.512762, 84297
919, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 10, 60299, 220.693130, 197.026382, 85216
713, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 7, 2675, 21.966537, 21.966537, 85929
663, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 8, 5089, 14.975391, 14.975391, 86592
688, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 20, 34156, 97.039566, 97.039566, 87280
889, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 12, 60075, 178.250397, 164.643188, 88169
859, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 12, 59499, 189.073456, 189.073456, 89028
738, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 2, 45673, 45.008999, 45.008999, 89766
662, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 14, 2693, 14.818748, 14.818748, 90428
686, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 17, 8306, 23.099325, 23.099325, 91114
679, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 18, 2633, 8.371557, 8.371557, 91793
695, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 26, 2675, 15.815001, 15.815001, 92488
657, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 10, 14407, 22.398138, 22.398138, 93145
670, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 16, 6140, 12.996685, 12.996685, 93815
703, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 10, 46683, 89.966141, 87.232864, 94518
683, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 8, 11886, 27.123800, 27.123800, 95201
672, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 11, 11886, 26.290123, 26.290123, 95873
702, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 95, 2675, 15.569653, 15.569653, 96575
842, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 16, 60286, 184.113297, 170.093063, 97417
859, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 13, 60293, 180.068680, 160.474472, 859
822, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 9, 60129, 145.558014, 140.200012, 1681
693, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 14, 4480, 8.134409, 8.134409, 2374
676, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 31, 2633, 6.328071, 6.328071, 3050
810, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 8, 60297, 141.290405, 107.638672, 3860
711, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 20, 2633, 29.842978, 29.842978, 4571
674, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 13, 2633, 11.716393, 11.716393, 5245
695, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 49, 2633, 9.954462, 9.954462, 5940
809, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 20, 60161, 128.295685, 64.074570, 6749
744, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 52, 2675, 10.271837, 10.271837, 7493
673, 0, 0, 0, 0, 0, 0, 69, 50, 0, 0, 0, 30, 2675, 25.018686, 25.018686, 8166
