querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
63783, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 4920745, 4998081, 357.186951, 339.123413, 63783
882, 0, 0, 0, 0, 0, 0, 1776, 262, 0, 0, 0, 29, 10864, 0.365176, 0.365176, 64665
49066, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 4062810, 4926202, 354.278503, 304.093262, 113731
819, 0, 0, 0, 0, 0, 0, 1776, 262, 0, 0, 0, 22, 10436, 1.638407, 1.638407, 114550
23753, 0, 0, 0, 0, 0, 0, 1776, 1671, 0, 0, 0, 1847254, 3564889, 227.377075, 194.679382, 138303
21665, 0, 0, 0, 0, 0, 0, 1776, 1550, 0, 0, 0, 1714495, 3378143, 210.345245, 187.058197, 159968
458, 0, 0, 0, 0, 0, 0, 1776, 290, 0, 0, 0, 12, 17219, 3.834274, 3.834274, 160426
583, 0, 0, 0, 0, 0, 0, 1776, 262, 0, 0, 0, 14, 21451, 1.939525, 1.939525, 161009
1419, 0, 0, 0, 0, 0, 0, 1776, 268, 0, 0, 0, 337, 40578, 0.892898, 0.892898, 162428
34265, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 3199389, 4828543, 323.156708, 251.284027, 196693
1970, 0, 0, 0, 0, 0, 0, 1776, 278, 0, 0, 0, 658, 44541, 1.697101, 1.697101, 198663
1228, 0, 0, 0, 0, 0, 0, 1776, 294, 0, 0, 0, 501, 85809, 0.164868, 0.119568, 199891
50754, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 4554066, 4996288, 330.504272, 322.906372, 250645
1583, 0, 0, 0, 0, 0, 0, 1776, 345, 0, 0, 0, 958, 153149, 3.684936, 3.514809, 252228
1959, 0, 0, 0, 0, 0, 0, 1776, 379, 0, 0, 0, 948, 298536, 7.634724, 6.178798, 254187
2342, 0, 0, 0, 0, 0, 0, 1776, 303, 0, 0, 0, 2147, 159312, 4.848814, 4.848814, 256529
2775, 0, 0, 0, 0, 0, 0, 1776, 1074, 0, 0, 0, 4133, 1928662, 102.810844, 102.810844, 259304
8554, 0, 0, 0, 0, 0, 0, 1776, 395, 0, 0, 0, 92964, 382553, 13.873386, 12.769119, 267858
35380, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 2814085, 4847245, 298.859314, 253.340576, 303238
2402, 0, 0, 0, 0, 0, 0, 1776, 268, 0, 0, 0, 1930, 75894, 5.605164, 5.605164, 305640
1582, 0, 0, 0, 0, 0, 0, 1776, 274, 0, 0, 0, 961, 83258, 2.319895, 2.319895, 307222
21647, 0, 0, 0, 0, 0, 0, 1776, 1465, 0, 0, 0, 1879445, 2630745, 159.940323, 151.521942, 328869
56373, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 4969586, 4999556, 354.390625, 338.448669, 385242
782, 0, 0, 0, 0, 0, 0, 1776, 262, 0, 0, 0, 51, 22300, 1.670906, 1.670906, 386024
12815, 0, 0, 0, 0, 0, 0, 1776, 972, 0, 0, 0, 469992, 1851782, 128.912415, 108.396271, 398839
1350, 0, 0, 0, 0, 0, 0, 1776, 268, 0, 0, 0, 90, 30935, 0.887677, 0.887677, 400189
1130, 0, 0, 0, 0, 0, 0, 1776, 280, 0, 0, 0, 152, 75799, 5.915697, 5.915697, 401319
1110, 0, 0, 0, 0, 0, 0, 1776, 294, 0, 0, 0, 744, 62840, 0.362603, 0.362603, 402429
1075, 0, 0, 0, 0, 0, 0, 1776, 274, 0, 0, 0, 42, 36276, 0.544968, 0.480697, 403504
56703, 0, 0, 0, 0, 0, 0, 1776, 1729, 0, 0, 0, 4989142, 4998359, 347.778015, 325.659424, 460207
14369, 0, 0, 0, 0, 0, 0, 1776, 367, 0, 0, 0, 209891, 570693, 35.937550, 35.937550, 474576
9223, 0, 0, 0, 0, 0, 0, 1776, 1228, 0, 0, 0, 149453, 2031461, 128.892365, 114.644325, 483799
4223, 0, 0, 0, 0, 0, 0, 1776, 1442, 0, 0, 0, 4285, 2588655, 151.196289, 115.778442, 488022
1529, 0, 0, 0, 0, 0, 0, 1776, 290, 0, 0, 0, 2636, 90030, 18.711531, 18.711531, 489551
11605, 0, 0, 0, 0, 0, 0, 1776, 906, 0, 0, 0, 359438, 1698029, 111.894318, 95.382996, 501156
9403, 0, 0, 0, 0, 0, 0, 1776, 416, 0, 0, 0, 164396, 528769, 18.398317, 17.472527, 510559
2035, 0, 0, 0, 0, 0, 0, 1776, 310, 0, 0, 0, 7992, 108117, 1.536813, 1.470447, 512594
13363, 0, 0, 0, 0, 0, 0, 1776, 773, 0, 0, 0, 537699, 1329859, 86.149841, 67.701981, 525957
1450, 0, 0, 0, 0, 0, 0, 1776, 307, 0, 0, 0, 2635, 98058, 1.755522, 1.755522, 527407
3122, 0, 0, 0, 0, 0, 0, 1776, 290, 0, 0, 0, 6078, 159166, 26.423363, 26.423363, 530529
