querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
389663, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 66172892, 99535159, 165.968826, 135.980804, 389663
10250, 0, 0, 0, 0, 0, 0, 23044, 3812, 0, 0, 0, 263081, 9219034, 39.494953, 35.997318, 399913
308932, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 48322633, 98754385, 158.566162, 121.714340, 708845
8483, 0, 0, 0, 0, 0, 0, 23044, 3100, 0, 0, 0, 149461, 7663522, 35.040504, 33.050209, 717328
368122, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 56312287, 99600371, 164.317596, 133.919464, 1085450
14101, 0, 0, 0, 0, 0, 0, 23044, 6420, 0, 0, 0, 591772, 11380532, 55.301498, 37.562798, 1099551
389945, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 68243712, 99616763, 157.565201, 141.361832, 1489496
12480, 0, 0, 0, 0, 0, 0, 23044, 4468, 0, 0, 0, 324193, 11480637, 46.569183, 37.818684, 1501976
439921, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 71122927, 99476946, 158.402695, 142.787079, 1941897
14643, 0, 0, 0, 0, 0, 0, 23044, 7891, 0, 0, 0, 458560, 12032550, 58.967983, 38.735657, 1956540
520731, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 89811452, 99980231, 167.973999, 147.225845, 2477271
8703, 0, 0, 0, 0, 0, 0, 23044, 3100, 0, 0, 0, 151365, 8278144, 36.342735, 33.858295, 2485974
414168, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 72704737, 99370365, 173.563644, 146.604675, 2900142
9443, 0, 0, 0, 0, 0, 0, 23044, 3364, 0, 0, 0, 185743, 9364692, 36.259361, 36.259361, 2909585
430421, 0, 0, 0, 0, 0, 0, 23044, 23007, 0, 0, 0, 76432177, 99791080, 156.964050, 141.119568, 3340006
