querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
13192, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 341143, 365677, 425.179108, 17.696829, 13192
11909, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 398055, 415333, 395.599243, 14.898205, 25101
9906, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 428001, 670676, 457.295013, 17.828831, 35007
9122, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 406457, 439125, 489.313202, 15.856451, 44129
3467, 0, 0, 0, 0, 0, 0, 21535, 4446, 0, 0, 0, 11190, 26818, 14.364668, 14.364668, 47596
13096, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 449912, 501500, 481.682861, 15.054004, 60692
10927, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 459458, 1379075, 478.644653, 16.723976, 71619
2903, 0, 0, 0, 0, 0, 0, 21535, 9999, 0, 0, 0, 6419, 297540, 16.485149, 16.485149, 74522
3691, 0, 0, 0, 0, 0, 0, 21535, 13865, 0, 0, 0, 8398, 501968, 15.144855, 15.144855, 78213
10191, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 552520, 655638, 428.260681, 15.658474, 88404
10562, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 445932, 505659, 433.815491, 14.940657, 98966
1472, 0, 0, 0, 0, 0, 0, 21535, 6126, 0, 0, 0, 1529, 225675, 14.938225, 14.938225, 100438
9234, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 427999, 540547, 469.451355, 14.115512, 109672
1152, 0, 0, 0, 0, 0, 0, 21535, 2180, 0, 0, 0, 1528, 41864, 16.976398, 16.976398, 110824
7799, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 382094, 474133, 377.832489, 15.534545, 118623
7314, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 354670, 467744, 378.907471, 15.949063, 125937
8957, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 269241, 370850, 421.265381, 20.205748, 134894
7791, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 381233, 451722, 484.940094, 16.048643, 142685
9580, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 383507, 398311, 402.984314, 15.684229, 152265
8797, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 399455, 432940, 377.040314, 16.539322, 161062
9459, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 404148, 436525, 442.444855, 16.588627, 170521
8017, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 409136, 448120, 401.359528, 15.140233, 178538
8717, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 389479, 399288, 425.832947, 15.695456, 187255
10650, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 400226, 411280, 416.102539, 14.916828, 197905
9077, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 436588, 454817, 408.048279, 17.794754, 206982
8234, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 408710, 428902, 404.343811, 16.199396, 215216
8762, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 364416, 398334, 460.709015, 15.173077, 223978
7948, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 371682, 385403, 443.371552, 15.217175, 231926
11670, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 396610, 440044, 434.902344, 14.971379, 243596
9596, 0, 0, 0, 0, 0, 0, 21535, 21496, 0, 0, 0, 431214, 510393, 442.554016, 16.667353, 253192
10072, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 424470, 546641, 452.590393, 15.558430, 263264
14217, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 841314, 878764, 395.851990, 13.905422, 277481
12921, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 379349, 388743, 446.177246, 14.534402, 290402
10946, 0, 0, 0, 0, 0, 0, 21535, 21498, 0, 0, 0, 426100, 715085, 450.497620, 17.560812, 301348
