querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1476, 0, 0, 0, 0, 0, 0, 26262, 296, 0, 0, 0, 1, 15267, 0.000000, 0.000000, 1476
7154, 0, 0, 0, 0, 0, 0, 26262, 279, 0, 0, 0, 5213, 11553, 0.003883, 0.003883, 8630
1833, 0, 0, 0, 0, 0, 0, 26262, 279, 0, 0, 0, 5191, 15474, 0.015523, 0.015523, 10463
1618, 0, 0, 0, 0, 0, 0, 26262, 279, 0, 0, 0, 5165, 15474, 0.034906, 0.034906, 12081
1719, 0, 0, 0, 0, 0, 0, 26262, 279, 0, 0, 0, 5150, 15474, 0.062013, 0.062013, 13800
1616, 0, 0, 0, 0, 0, 0, 26262, 279, 0, 0, 0, 5141, 16087, 0.096824, 0.096824, 15416
1590, 0, 0, 0, 0, 0, 0, 26262, 279, 0, 0, 0, 5122, 16087, 0.139316, 0.139316, 17006
1536, 0, 0, 0, 0, 0, 0, 26262, 279, 0, 0, 0, 5112, 16087, 0.189462, 0.189462, 18542
1948, 0, 0, 0, 0, 0, 0, 26262, 286, 0, 0, 0, 5104, 27644, 0.247234, 0.247234, 20490
1839, 0, 0, 0, 0, 0, 0, 26262, 286, 0, 0, 0, 5101, 29757, 0.312600, 0.312600, 22329
2199, 0, 0, 0, 0, 0, 0, 26262, 314, 0, 0, 0, 5098, 49957, 0.385527, 0.385527, 24528
1948, 0, 0, 0, 0, 0, 0, 26262, 314, 0, 0, 0, 5097, 58873, 0.465978, 0.465978, 26476
1792, 0, 0, 0, 0, 0, 0, 26262, 339, 0, 0, 0, 5100, 67425, 0.553913, 0.553913, 28268
1901, 0, 0, 0, 0, 0, 0, 26262, 351, 0, 0, 0, 5105, 91158, 0.649291, 0.649291, 30169
1937, 0, 0, 0, 0, 0, 0, 26262, 390, 0, 0, 0, 3240, 142894, 0.752068, 0.752068, 32106
1690, 0, 0, 0, 0, 0, 0, 26262, 395, 0, 0, 0, 3249, 154098, 0.862197, 0.862197, 33796
1732, 0, 0, 0, 0, 0, 0, 26262, 456, 0, 0, 0, 3251, 207540, 0.979630, 0.979630, 35528
1685, 0, 0, 0, 0, 0, 0, 26262, 515, 0, 0, 0, 3259, 259280, 1.104315, 1.104315, 37213
1685, 0, 0, 0, 0, 0, 0, 26262, 569, 0, 0, 0, 3263, 354568, 1.236198, 1.236198, 38898
1653, 0, 0, 0, 0, 0, 0, 26262, 656, 0, 0, 0, 3268, 429734, 1.375224, 1.375224, 40551
1870, 0, 0, 0, 0, 0, 0, 26262, 716, 0, 0, 0, 3272, 513080, 1.521335, 1.521335, 42421
1924, 0, 0, 0, 0, 0, 0, 26262, 838, 0, 0, 0, 3285, 644769, 1.674471, 1.674471, 44345
1984, 0, 0, 0, 0, 0, 0, 26262, 951, 0, 0, 0, 3296, 758116, 1.834570, 1.834570, 46329
2247, 0, 0, 0, 0, 0, 0, 26262, 1024, 0, 0, 0, 3300, 893922, 2.001568, 2.001568, 48576
2423, 0, 0, 0, 0, 0, 0, 26262, 1103, 0, 0, 0, 3310, 1069898, 2.175399, 2.175399, 50999
2395, 0, 0, 0, 0, 0, 0, 26262, 1178, 0, 0, 0, 3328, 1208716, 2.355994, 2.355994, 53394
2953, 0, 0, 0, 0, 0, 0, 26262, 1254, 0, 0, 0, 3344, 1385211, 2.543284, 2.543284, 56347
3086, 0, 0, 0, 0, 0, 0, 26262, 1319, 0, 0, 0, 3357, 1523513, 2.737198, 2.737198, 59433
3472, 0, 0, 0, 0, 0, 0, 26262, 1395, 0, 0, 0, 3376, 1708968, 2.937662, 2.937662, 62905
3860, 0, 0, 0, 0, 0, 0, 26262, 1440, 0, 0, 0, 3395, 1909697, 3.144603, 3.144603, 66765
3976, 0, 0, 0, 0, 0, 0, 26262, 1488, 0, 0, 0, 3426, 2147307, 3.357941, 3.357941, 70741
4447, 0, 0, 0, 0, 0, 0, 26262, 1518, 0, 0, 0, 3462, 2291856, 3.577602, 3.577602, 75188
4827, 0, 0, 0, 0, 0, 0, 26262, 1556, 0, 0, 0, 3519, 2453496, 3.803504, 3.803504, 80015
8300, 0, 0, 0, 0, 0, 0, 26262, 1618, 0, 0, 0, 3597, 2639586, 4.035569, 4.035569, 88315
8355, 0, 0, 0, 0, 0, 0, 26262, 1655, 0, 0, 0, 3687, 2775223, 4.273712, 4.273712, 96670
6374, 0, 0, 0, 0, 0, 0, 26262, 1698, 0, 0, 0, 3817, 2918897, 4.517852, 4.517852, 103044
13796, 0, 0, 0, 0, 0, 0, 26262, 1778, 0, 0, 0, 3982, 3097552, 4.767904, 4.767904, 116840
8928, 0, 0, 0, 0, 0, 0, 26262, 1845, 0, 0, 0, 4161, 3306551, 5.023783, 5.023783, 125768
16195, 0, 0, 0, 0, 0, 0, 26262, 1943, 0, 0, 0, 4438, 3505666, 5.285402, 5.285402, 141963
17211, 0, 0, 0, 0, 0, 0, 26262, 2174, 0, 0, 0, 4762, 3806092, 5.552673, 5.552673, 159174
13779, 0, 0, 0, 0, 0, 0, 26262, 2434, 0, 0, 0, 5146, 4173668, 5.825510, 5.825510, 172953
21741, 0, 0, 0, 0, 0, 0, 26262, 2584, 0, 0, 0, 5664, 4596330, 6.103820, 6.103820, 194694
18444, 0, 0, 0, 0, 0, 0, 26262, 2694, 0, 0, 0, 6345, 4875016, 6.387516, 6.387516, 213138
18815, 0, 0, 0, 0, 0, 0, 26262, 2765, 0, 0, 0, 7157, 5114089, 6.676507, 6.676507, 231953
33165, 0, 0, 0, 0, 0, 0, 26262, 2894, 0, 0, 0, 8066, 5466169, 6.970701, 6.970701, 265118
24665, 0, 0, 0, 0, 0, 0, 26262, 3021, 0, 0, 0, 9313, 5869279, 7.270008, 7.270008, 289783
21468, 0, 0, 0, 0, 0, 0, 26262, 3035, 0, 0, 0, 10782, 6161626, 7.574333, 7.574333, 311251
23183, 0, 0, 0, 0, 0, 0, 26262, 3154, 0, 0, 0, 12478, 6464029, 7.883585, 7.883585, 334434
23589, 0, 0, 0, 0, 0, 0, 26262, 3314, 0, 0, 0, 14390, 6919265, 8.197671, 8.197671, 358023
27583, 0, 0, 0, 0, 0, 0, 26262, 3462, 0, 0, 0, 16771, 7416260, 8.516496, 8.516496, 385606
42977, 0, 0, 0, 0, 0, 0, 26262, 3707, 0, 0, 0, 19577, 7923145, 8.839969, 8.839969, 428583
36792, 0, 0, 0, 0, 0, 0, 26262, 3887, 0, 0, 0, 22861, 8498625, 9.167991, 9.167991, 465375
26863, 0, 0, 0, 0, 0, 0, 26262, 4060, 0, 0, 0, 26606, 8993860, 9.500475, 9.500475, 492238
32846, 0, 0, 0, 0, 0, 0, 26262, 4230, 0, 0, 0, 30944, 9539462, 9.837320, 9.837320, 525084
32465, 0, 0, 0, 0, 0, 0, 26262, 4380, 0, 0, 0, 34384, 10060190, 10.178436, 10.178436, 557549
25392, 0, 0, 0, 0, 0, 0, 26262, 4430, 0, 0, 0, 40072, 10495435, 10.523729, 10.523729, 582941
17459, 0, 0, 0, 0, 0, 0, 26262, 4535, 0, 0, 0, 46504, 10876739, 10.873101, 10.873101, 600400
20103, 0, 0, 0, 0, 0, 0, 26262, 4663, 0, 0, 0, 53749, 11443954, 11.226463, 11.226463, 620503
17947, 0, 0, 0, 0, 0, 0, 26262, 4742, 0, 0, 0, 61998, 11928658, 11.583717, 11.583717, 638450
17170, 0, 0, 0, 0, 0, 0, 26262, 4838, 0, 0, 0, 71387, 12347584, 11.944773, 11.944773, 655620
15824, 0, 0, 0, 0, 0, 0, 26262, 5074, 0, 0, 0, 81967, 12864691, 12.309534, 12.309534, 671444
16304, 0, 0, 0, 0, 0, 0, 26262, 5291, 0, 0, 0, 93767, 13451388, 12.677910, 12.677910, 687748
16660, 0, 0, 0, 0, 0, 0, 26262, 5334, 0, 0, 0, 106649, 13865753, 13.049807, 13.049807, 704408
16971, 0, 0, 0, 0, 0, 0, 26262, 5463, 0, 0, 0, 120925, 14441291, 13.425132, 13.425132, 721379
17591, 0, 0, 0, 0, 0, 0, 26262, 5739, 0, 0, 0, 136558, 15177189, 13.803796, 13.803796, 738970
17991, 0, 0, 0, 0, 0, 0, 26262, 5813, 0, 0, 0, 153695, 15716371, 14.185705, 14.185705, 756961
19020, 0, 0, 0, 0, 0, 0, 26262, 5844, 0, 0, 0, 172363, 16142413, 14.570766, 14.570766, 775981
19538, 0, 0, 0, 0, 0, 0, 26262, 5881, 0, 0, 0, 193307, 16666981, 14.958895, 14.958895, 795519
20374, 0, 0, 0, 0, 0, 0, 26262, 5951, 0, 0, 0, 217308, 17151911, 15.349998, 15.349998, 815893
20824, 0, 0, 0, 0, 0, 0, 26262, 6090, 0, 0, 0, 241761, 17638904, 15.743990, 15.743990, 836717
21688, 0, 0, 0, 0, 0, 0, 26262, 6316, 0, 0, 0, 267943, 18178077, 16.140778, 16.140778, 858405
22721, 0, 0, 0, 0, 0, 0, 26262, 6511, 0, 0, 0, 296511, 18924824, 16.540276, 16.540276, 881126
