querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
24961, 0, 0, 0, 0, 0, 0, 20308, 446, 0, 0, 0, 398, 151132, 7.589795, 6.812838, 24961
5543, 0, 0, 0, 0, 0, 0, 20308, 302, 0, 0, 0, 53, 62421, 1.536543, 1.293659, 30504
112959, 0, 0, 0, 0, 0, 0, 20308, 350, 0, 0, 0, 1099, 108201, 0.411729, 0.411729, 143463
88586, 0, 0, 0, 0, 0, 0, 20308, 406, 0, 0, 0, 3814, 299476, 0.550013, 0.550013, 232049
5785, 0, 0, 0, 0, 0, 0, 20308, 342, 0, 0, 0, 42, 136232, 2.127993, 1.692372, 237834
1724, 0, 0, 0, 0, 0, 0, 20308, 438, 0, 0, 0, 32, 99658, 0.496513, 0.407790, 239558
52796, 0, 0, 0, 0, 0, 0, 20308, 350, 0, 0, 0, 1182, 105864, 0.091701, 0.085353, 292354
8600, 0, 0, 0, 0, 0, 0, 20308, 390, 0, 0, 0, 95, 158166, 0.611919, 0.611919, 300954
21041, 0, 0, 0, 0, 0, 0, 20308, 310, 0, 0, 0, 348, 92731, 0.404469, 0.404469, 321995
93328, 0, 0, 0, 0, 0, 0, 20308, 438, 0, 0, 0, 4577, 327184, 11.316323, 11.225079, 415323
7527, 0, 0, 0, 0, 0, 0, 20308, 294, 0, 0, 0, 116, 42322, 0.301291, 0.301291, 422850
2902, 0, 0, 0, 0, 0, 0, 20308, 406, 0, 0, 0, 33, 81617, 0.482695, 0.482695, 425752
18584, 0, 0, 0, 0, 0, 0, 20308, 430, 0, 0, 0, 203, 141022, 0.464301, 0.419714, 444336
1756, 0, 0, 0, 0, 0, 0, 20308, 334, 0, 0, 0, 63, 42348, 0.116234, 0.116234, 446092
1354, 0, 0, 0, 0, 0, 0, 20308, 318, 0, 0, 0, 34, 31630, 0.239017, 0.239017, 447446
24321, 0, 0, 0, 0, 0, 0, 20308, 398, 0, 0, 0, 157, 88700, 0.688139, 0.688139, 471767
1498, 0, 0, 0, 0, 0, 0, 20308, 310, 0, 0, 0, 19, 41946, 0.153316, 0.058809, 473265
2939, 0, 0, 0, 0, 0, 0, 20308, 310, 0, 0, 0, 21, 55360, 0.166407, 0.097089, 476204
1782, 0, 0, 0, 0, 0, 0, 20308, 318, 0, 0, 0, 38, 84097, 0.207114, 0.207114, 477986
2065, 0, 0, 0, 0, 0, 0, 20308, 382, 0, 0, 0, 11, 112061, 0.282896, 0.282896, 480051
2244, 0, 0, 0, 0, 0, 0, 20308, 310, 0, 0, 0, 48, 64117, 0.173703, 0.156645, 482295
2588, 0, 0, 0, 0, 0, 0, 20308, 350, 0, 0, 0, 25, 77456, 1.218437, 0.741146, 484883
12850, 0, 0, 0, 0, 0, 0, 20308, 366, 0, 0, 0, 461, 140762, 0.352708, 0.352708, 497733
6016, 0, 0, 0, 0, 0, 0, 20308, 302, 0, 0, 0, 69, 59992, 1.122522, 1.122522, 503749
9197, 0, 0, 0, 0, 0, 0, 20308, 390, 0, 0, 0, 148, 167813, 0.536590, 0.432175, 512946
2115, 0, 0, 0, 0, 0, 0, 20308, 302, 0, 0, 0, 14, 31711, 0.221304, 0.221304, 515061
1612, 0, 0, 0, 0, 0, 0, 20308, 310, 0, 0, 0, 17, 65060, 0.084105, 0.084105, 516673
1238, 0, 0, 0, 0, 0, 0, 20308, 350, 0, 0, 0, 27, 141975, 2.702920, 1.657799, 517911
2081, 0, 0, 0, 0, 0, 0, 20308, 478, 0, 0, 0, 40, 169289, 6.383954, 4.344621, 519992
1166, 0, 0, 0, 0, 0, 0, 20308, 318, 0, 0, 0, 22, 38298, 0.049305, 0.030166, 521158
258895, 0, 0, 0, 0, 0, 0, 20308, 414, 0, 0, 0, 4530, 278053, 0.566522, 0.444459, 780053
13991, 0, 0, 0, 0, 0, 0, 20308, 350, 0, 0, 0, 345, 65748, 0.065979, 0.065979, 794044
9287, 0, 0, 0, 0, 0, 0, 20308, 926, 0, 0, 0, 244, 908260, 11.068825, 7.456873, 803331
19986, 0, 0, 0, 0, 0, 0, 20308, 2172, 0, 0, 0, 1273, 4692779, 9.821545, 6.675062, 823317
8893, 0, 0, 0, 0, 0, 0, 20308, 3614, 0, 0, 0, 287, 4711736, 28.909187, 19.574959, 832210
88830, 0, 0, 0, 0, 0, 0, 20308, 1014, 0, 0, 0, 5690, 2743598, 50.720062, 50.720062, 921040
11271, 0, 0, 0, 0, 0, 0, 20308, 390, 0, 0, 0, 405, 420764, 2.891693, 2.278940, 932311
9551, 0, 0, 0, 0, 0, 0, 20308, 406, 0, 0, 0, 324, 159143, 0.088237, 0.076086, 941862
188038, 0, 0, 0, 0, 0, 0, 20308, 1134, 0, 0, 0, 27498, 2133581, 8.700131, 7.284218, 1129900
42380, 0, 0, 0, 0, 0, 0, 20308, 1894, 0, 0, 0, 745414, 5855864, 15.149084, 13.494014, 1172280
3315, 0, 0, 0, 0, 0, 0, 20308, 870, 0, 0, 0, 4255, 1983786, 11.160219, 11.107239, 1175595
16865, 0, 0, 0, 0, 0, 0, 20308, 2774, 0, 0, 0, 730393, 7667662, 29.066839, 19.458872, 1192460
5494, 0, 0, 0, 0, 0, 0, 20308, 862, 0, 0, 0, 175868, 1995031, 3.791218, 3.046427, 1197954
4316, 0, 0, 0, 0, 0, 0, 20308, 758, 0, 0, 0, 63480, 1583177, 23.085402, 20.708460, 1202270
43876, 0, 0, 0, 0, 0, 0, 20308, 4942, 0, 0, 0, 3408825, 17291099, 82.335808, 65.596893, 1246146
2279, 0, 0, 0, 0, 0, 0, 20308, 486, 0, 0, 0, 21981, 703118, 2.780588, 2.630240, 1248425
