querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
18475, 0, 0, 0, 0, 0, 0, 807, 448, 0, 0, 0, 267194, 1406253, 62.247360, 62.247360, 18475
1905, 0, 0, 0, 0, 0, 0, 807, 280, 0, 0, 0, 56, 86640, 6.325024, 5.631340, 20380
4077, 0, 0, 0, 0, 0, 0, 807, 304, 0, 0, 0, 13902, 286115, 29.198051, 29.198051, 24457
1561, 0, 0, 0, 0, 0, 0, 807, 268, 0, 0, 0, 121, 76680, 3.646833, 3.371730, 26018
1578, 0, 0, 0, 0, 0, 0, 807, 288, 0, 0, 0, 15, 102365, 6.185989, 6.185989, 27596
10262, 0, 0, 0, 0, 0, 0, 807, 720, 0, 0, 0, 623160, 4404629, 107.154755, 107.154755, 37858
1193, 0, 0, 0, 0, 0, 0, 807, 276, 0, 0, 0, 5016, 127356, 16.428461, 13.997405, 39051
1402, 0, 0, 0, 0, 0, 0, 807, 516, 0, 0, 0, 3458, 448179, 25.387943, 24.051296, 40453
789, 0, 0, 0, 0, 0, 0, 807, 256, 0, 0, 0, 1, 12305, 0.000000, 0.000000, 41242
6981, 0, 0, 0, 0, 0, 0, 807, 364, 0, 0, 0, 139531, 874252, 43.144001, 38.112732, 48223
956, 0, 0, 0, 0, 0, 0, 807, 272, 0, 0, 0, 106, 85368, 4.016717, 2.832206, 49179
6553, 0, 0, 0, 0, 0, 0, 807, 384, 0, 0, 0, 110207, 958558, 57.085896, 49.776211, 55732
1465, 0, 0, 0, 0, 0, 0, 807, 304, 0, 0, 0, 127, 113743, 0.506250, 0.506250, 57197
736, 0, 0, 0, 0, 0, 0, 807, 268, 0, 0, 0, 52, 53952, 4.909945, 2.831873, 57933
1118, 0, 0, 0, 0, 0, 0, 807, 272, 0, 0, 0, 121, 80529, 4.065889, 3.081250, 59051
1205, 0, 0, 0, 0, 0, 0, 807, 272, 0, 0, 0, 456, 73682, 7.334002, 7.334002, 60256
704, 0, 0, 0, 0, 0, 0, 807, 296, 0, 0, 0, 33, 62184, 0.799904, 0.348326, 60960
639, 0, 0, 0, 0, 0, 0, 807, 268, 0, 0, 0, 21, 36063, 0.603243, 0.502818, 61599
13893, 0, 0, 0, 0, 0, 0, 807, 722, 0, 0, 0, 1051489, 4458825, 160.994156, 124.780495, 75492
1075, 0, 0, 0, 0, 0, 0, 807, 288, 0, 0, 0, 29, 61994, 2.057920, 0.978197, 76567
1067, 0, 0, 0, 0, 0, 0, 807, 280, 0, 0, 0, 19, 54899, 1.048083, 0.821146, 77634
696, 0, 0, 0, 0, 0, 0, 807, 340, 0, 0, 0, 28, 160795, 0.724756, 0.470098, 78330
1005, 0, 0, 0, 0, 0, 0, 807, 304, 0, 0, 0, 1476, 87160, 2.561924, 2.395939, 79335
41281, 0, 0, 0, 0, 0, 0, 807, 722, 0, 0, 0, 2741376, 4484552, 278.181519, 218.710739, 120616
1118, 0, 0, 0, 0, 0, 0, 807, 300, 0, 0, 0, 105, 81903, 9.525001, 6.422733, 121734
1036, 0, 0, 0, 0, 0, 0, 807, 264, 0, 0, 0, 26, 31034, 1.705613, 1.705613, 122770
701, 0, 0, 0, 0, 0, 0, 807, 300, 0, 0, 0, 18, 67974, 0.891073, 0.499470, 123471
23412, 0, 0, 0, 0, 0, 0, 807, 722, 0, 0, 0, 1441475, 3876598, 195.179016, 165.894653, 146883
29872, 0, 0, 0, 0, 0, 0, 807, 722, 0, 0, 0, 2214050, 4501928, 260.778900, 191.295502, 176755
1511, 0, 0, 0, 0, 0, 0, 807, 364, 0, 0, 0, 16469, 369470, 6.149028, 6.114902, 178266
3479, 0, 0, 0, 0, 0, 0, 807, 340, 0, 0, 0, 14769, 414836, 46.039604, 46.039604, 181745
1286, 0, 0, 0, 0, 0, 0, 807, 268, 0, 0, 0, 17, 29892, 10.501841, 10.488315, 183031
1124, 0, 0, 0, 0, 0, 0, 807, 256, 0, 0, 0, 10, 29342, 2.373383, 2.247051, 184155
1133, 0, 0, 0, 0, 0, 0, 807, 260, 0, 0, 0, 22, 52643, 1.466505, 1.354160, 185288
936, 0, 0, 0, 0, 0, 0, 807, 260, 0, 0, 0, 12, 49448, 1.680820, 1.680820, 186224
1076, 0, 0, 0, 0, 0, 0, 807, 260, 0, 0, 0, 55, 53066, 1.186682, 0.870312, 187300
2537, 0, 0, 0, 0, 0, 0, 807, 364, 0, 0, 0, 13238, 400942, 6.212248, 6.212248, 189837
1101, 0, 0, 0, 0, 0, 0, 807, 312, 0, 0, 0, 6990, 180804, 2.285158, 2.277662, 190938
1144, 0, 0, 0, 0, 0, 0, 807, 264, 0, 0, 0, 13, 52241, 3.187462, 3.187462, 192082
1059, 0, 0, 0, 0, 0, 0, 807, 256, 0, 0, 0, 7, 58512, 0.342386, 0.342386, 193141
1048, 0, 0, 0, 0, 0, 0, 807, 324, 0, 0, 0, 66, 145273, 6.452086, 5.754169, 194189
1570, 0, 0, 0, 0, 0, 0, 807, 260, 0, 0, 0, 3047, 184825, 16.695686, 16.473316, 195759
3766, 0, 0, 0, 0, 0, 0, 807, 332, 0, 0, 0, 38953, 512470, 23.576351, 23.576351, 199525
996, 0, 0, 0, 0, 0, 0, 807, 260, 0, 0, 0, 72, 55994, 0.446660, 0.381663, 200521
1004, 0, 0, 0, 0, 0, 0, 807, 264, 0, 0, 0, 12, 80356, 1.148154, 1.148154, 201525
965, 0, 0, 0, 0, 0, 0, 807, 292, 0, 0, 0, 17, 78405, 0.254297, 0.254297, 202490
1489, 0, 0, 0, 0, 0, 0, 807, 324, 0, 0, 0, 12104, 219637, 9.277637, 9.277637, 203979
7215, 0, 0, 0, 0, 0, 0, 807, 720, 0, 0, 0, 157858, 3439901, 153.146317, 76.521477, 211194
1071, 0, 0, 0, 0, 0, 0, 807, 292, 0, 0, 0, 20, 113364, 2.507422, 1.077951, 212265
1002, 0, 0, 0, 0, 0, 0, 807, 280, 0, 0, 0, 8, 59342, 0.484307, 0.484307, 213267
23124, 0, 0, 0, 0, 0, 0, 807, 722, 0, 0, 0, 1637633, 4347233, 238.787704, 164.311401, 236391
