querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
51406, 0, 0, 0, 0, 0, 0, 5259, 1228, 0, 0, 0, 1480294, 4572223, 83.160141, 78.210190, 51406
177864, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 10811664, 23976877, 271.162048, 206.411499, 229270
94656, 0, 0, 0, 0, 0, 0, 5259, 4950, 0, 0, 0, 7074398, 19423366, 236.356888, 171.566620, 323926
1268369, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 23156322, 31868399, 300.288818, 256.000000, 1592295
57090, 0, 0, 0, 0, 0, 0, 5259, 5090, 0, 0, 0, 2211539, 20207774, 215.223114, 155.947861, 1649385
32899, 0, 0, 0, 0, 0, 0, 5259, 5218, 0, 0, 0, 921759, 17548190, 176.431076, 121.478027, 1682284
103581, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 10775006, 21328678, 303.131836, 182.873825, 1785865
2485, 0, 0, 0, 0, 0, 0, 5259, 468, 0, 0, 0, 47151, 571822, 9.779730, 9.063294, 1788350
157936, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 14296188, 25243902, 255.086548, 219.588623, 1946286
91263, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 8716170, 23025767, 232.587616, 185.919220, 2037549
48690, 0, 0, 0, 0, 0, 0, 5259, 5218, 0, 0, 0, 3346788, 18015878, 194.762192, 128.844193, 2086239
161311, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 14725909, 25856520, 287.752258, 237.750687, 2247550
94047, 0, 0, 0, 0, 0, 0, 5259, 3970, 0, 0, 0, 7869039, 17077380, 174.155411, 141.374176, 2341597
124010, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 12173007, 25408430, 298.772552, 219.835861, 2465607
117603, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 11737046, 24103127, 248.023422, 205.275513, 2583210
12709, 0, 0, 0, 0, 0, 0, 5259, 676, 0, 0, 0, 367306, 1742738, 43.800823, 43.800823, 2595919
70082, 0, 0, 0, 0, 0, 0, 5259, 5218, 0, 0, 0, 8011543, 19979312, 197.917450, 149.911194, 2666001
68685, 0, 0, 0, 0, 0, 0, 5259, 3818, 0, 0, 0, 5630347, 16359174, 184.140549, 138.869034, 2734686
65376, 0, 0, 0, 0, 0, 0, 5259, 5218, 0, 0, 0, 6400779, 19191176, 220.069290, 144.602402, 2800062
77271, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 8597212, 19864716, 292.075378, 162.322845, 2877333
48688, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 2668496, 21265722, 222.024521, 169.900970, 2926021
48183, 0, 0, 0, 0, 0, 0, 5259, 2356, 0, 0, 0, 3334982, 9426611, 109.220108, 86.938248, 2974204
92337, 0, 0, 0, 0, 0, 0, 5259, 5218, 0, 0, 0, 9980102, 21481613, 183.295776, 183.295776, 3066541
105577, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 9354391, 23798297, 263.096191, 194.510422, 3172118
21646, 0, 0, 0, 0, 0, 0, 5259, 5042, 0, 0, 0, 53423, 15670480, 168.600220, 100.896446, 3193764
9207, 0, 0, 0, 0, 0, 0, 5259, 764, 0, 0, 0, 320089, 1844561, 20.722689, 19.359430, 3202971
144581, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 13656135, 24689716, 298.415344, 233.221298, 3347552
143496, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 14041791, 24360768, 281.701447, 218.898788, 3491048
104801, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 10874264, 22171687, 217.361847, 185.422913, 3595849
126193, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 13075592, 24077330, 268.279053, 205.612701, 3722042
21002, 0, 0, 0, 0, 0, 0, 5259, 4914, 0, 0, 0, 375111, 15188626, 154.562592, 76.868332, 3743044
88326, 0, 0, 0, 0, 0, 0, 5259, 5094, 0, 0, 0, 8632540, 18635164, 190.509293, 145.756668, 3831370
107376, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 11406942, 23867482, 293.025482, 191.364456, 3938746
98666, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 12386126, 22328721, 290.319672, 181.738922, 4037412
138927, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 14622428, 25498043, 319.082184, 222.015701, 4176339
1182639, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 25894009, 30741603, 357.036835, 256.000000, 5358978
164183, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 15880334, 25554312, 333.078247, 235.551453, 5523161
97482, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 12595947, 21664293, 216.504303, 183.872894, 5620643
61344, 0, 0, 0, 0, 0, 0, 5259, 5218, 0, 0, 0, 5271144, 18894284, 186.386734, 139.074951, 5681987
90270, 0, 0, 0, 0, 0, 0, 5259, 4474, 0, 0, 0, 8751342, 17189667, 212.752380, 163.390518, 5772257
111553, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 12729920, 25485593, 256.000000, 219.444733, 5883810
102592, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 9769312, 23104991, 251.840469, 195.208664, 5986402
1098731, 0, 0, 0, 0, 0, 0, 5259, 5222, 0, 0, 0, 24232860, 31941724, 302.466339, 251.223907, 7085133
95240, 0, 0, 0, 0, 0, 0, 5259, 4098, 0, 0, 0, 7355206, 17493270, 198.461456, 148.668640, 7180373
