querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
11723, 6, 166, 288709, 2178, 0, 0, 65738, 65536, 0, 0, 0, 45, 1854, 0.000000, 0.000000, 11722
16201, 10, 600, 410770, 2515, 0, 0, 65738, 65536, 0, 0, 0, 10, 3846, 0.011769, 0.011769, 27920
16559, 10, 571, 422595, 1162, 0, 0, 65738, 65536, 0, 0, 0, 10, 3846, 0.047113, 0.047113, 44478
16682, 10, 577, 447745, 900, 0, 0, 65738, 65536, 0, 0, 0, 12, 3846, 0.106084, 0.106084, 61159
15559, 11, 581, 387032, 4801, 0, 0, 65738, 65536, 0, 0, 0, 14, 5255, 0.188722, 0.188722, 76717
17107, 10, 567, 453723, 3626, 0, 0, 65738, 65536, 0, 0, 0, 15, 8283, 0.295057, 0.295057, 93823
15622, 10, 567, 398275, 2642, 0, 0, 65738, 65536, 0, 0, 0, 15, 17037, 0.425111, 0.425111, 109444
16639, 10, 585, 426298, 3350, 0, 0, 65738, 65536, 0, 0, 0, 15, 28183, 0.578896, 0.578896, 126082
17094, 11, 587, 453397, 3569, 0, 0, 65738, 65536, 0, 0, 0, 18, 40576, 0.756411, 0.756411, 143175
15617, 10, 576, 399624, 1467, 0, 0, 65738, 65536, 0, 0, 0, 18, 59784, 0.957650, 0.957650, 158790
11517, 7, 413, 290531, 1368, 0, 0, 65738, 65536, 0, 0, 0, 19, 78426, 1.182593, 1.182593, 170306
11493, 4, 295, 361539, 808, 0, 0, 65738, 65536, 0, 0, 0, 19, 100655, 1.431213, 1.431213, 181799
11516, 3, 211, 403176, 319, 0, 0, 65738, 65536, 0, 0, 0, 19, 132836, 1.703470, 1.703470, 193315
11405, 3, 179, 398620, 292, 0, 0, 65738, 65536, 0, 0, 0, 19, 185748, 1.999317, 1.999317, 204720
11566, 3, 172, 409350, 422, 0, 0, 65738, 65536, 0, 0, 0, 19, 261842, 2.318696, 2.318696, 216286
11881, 2, 161, 418316, 393, 0, 0, 65738, 65536, 0, 0, 0, 19, 361668, 2.661541, 2.661541, 228167
9900, 2, 146, 302383, 477, 0, 0, 65738, 65536, 0, 0, 0, 19, 494522, 3.027771, 3.027771, 238067
11192, 3, 148, 287591, 670, 0, 0, 65738, 65536, 0, 0, 0, 19, 682545, 3.417302, 3.417302, 249259
11368, 3, 150, 266100, 782, 0, 0, 65738, 65536, 0, 0, 0, 21, 938459, 3.830038, 3.830038, 260626
13281, 3, 171, 243676, 1044, 0, 0, 65738, 65536, 0, 0, 0, 21, 1273792, 4.265870, 4.265870, 273907
16525, 3, 206, 275288, 1498, 0, 0, 65738, 65536, 0, 0, 0, 21, 1759379, 4.724686, 4.724686, 290432
16735, 3, 181, 245403, 1612, 0, 0, 65738, 65536, 0, 0, 0, 21, 2362431, 5.206360, 5.206360, 307167
19831, 4, 222, 234405, 2484, 0, 0, 65738, 65536, 0, 0, 0, 28, 3054415, 5.710758, 5.710758, 326998
21015, 4, 214, 232020, 2832, 0, 0, 65738, 65536, 0, 0, 0, 32, 4024099, 6.237741, 6.237741, 348012
29440, 7, 438, 323482, 3531, 0, 0, 65738, 65536, 0, 0, 0, 33, 5183128, 6.787152, 6.787152, 377451
24431, 3, 157, 197852, 4884, 0, 0, 65738, 65542, 0, 0, 0, 35, 6494692, 7.358837, 7.358837, 401881
25055, 3, 158, 195797, 5270, 0, 0, 65738, 65542, 0, 0, 0, 36, 7965429, 7.952622, 7.952622, 426936
24466, 3, 157, 188004, 5994, 0, 0, 65738, 65558, 0, 0, 0, 38, 9553620, 8.568334, 8.568334, 451402
26777, 3, 156, 187646, 6494, 0, 0, 65738, 65588, 0, 0, 0, 40, 11310975, 9.205788, 9.205788, 478177
28520, 3, 160, 191376, 8230, 0, 0, 65738, 65616, 0, 0, 0, 47, 13159232, 9.864790, 9.864790, 506696
35501, 4, 275, 280684, 8791, 0, 0, 65738, 65616, 0, 0, 0, 57, 14997600, 10.545139, 10.545139, 542197
33317, 3, 161, 185486, 11078, 0, 0, 65738, 65616, 0, 0, 0, 58, 16653769, 11.246632, 11.246632, 575514
34878, 3, 162, 189407, 11169, 0, 0, 65738, 65616, 0, 0, 0, 62, 18363013, 11.969044, 11.969044, 610392
36502, 3, 175, 192349, 13543, 0, 0, 65738, 65616, 0, 0, 0, 65, 20083793, 12.712158, 12.712158, 646893
39335, 3, 159, 191648, 14163, 0, 0, 65738, 65616, 0, 0, 0, 67, 21998270, 13.475748, 13.475748, 686228
41907, 3, 163, 194290, 14737, 0, 0, 65738, 65618, 0, 0, 0, 71, 24184255, 14.259572, 14.259572, 728135
45170, 3, 163, 196366, 17258, 0, 0, 65738, 65632, 0, 0, 0, 80, 26669720, 15.063391, 15.063391, 773304
49611, 3, 160, 201653, 19060, 0, 0, 65738, 65632, 0, 0, 0, 90, 29557706, 15.886957, 15.886957, 822915
55203, 4, 197, 216244, 20358, 0, 0, 65738, 65632, 0, 0, 0, 92, 32855625, 16.730009, 16.730009, 878118
59432, 3, 168, 203155, 29229, 0, 0, 65738, 65632, 0, 0, 0, 94, 36431802, 17.592299, 17.592299, 937549
63251, 3, 160, 221028, 27122, 0, 0, 65738, 65632, 0, 0, 0, 98, 40301020, 18.473545, 18.473545, 1000800
69237, 3, 159, 233667, 31324, 0, 0, 65738, 65632, 0, 0, 0, 99, 44390233, 19.373486, 19.373486, 1070036
75509, 3, 169, 248634, 32769, 0, 0, 65738, 65632, 0, 0, 0, 102, 48779617, 20.291842, 20.291842, 1145545
81359, 3, 159, 262383, 37324, 0, 0, 65738, 65632, 0, 0, 0, 103, 52974849, 21.228342, 21.228342, 1226904
86966, 3, 166, 279036, 41375, 0, 0, 65738, 65632, 0, 0, 0, 105, 56797108, 22.182688, 22.182688, 1313870
92470, 2, 158, 280555, 44010, 0, 0, 65738, 65632, 0, 0, 0, 112, 60716855, 23.154598, 23.154598, 1406340
98178, 2, 159, 300043, 49720, 0, 0, 65738, 65632, 0, 0, 0, 118, 64789995, 24.143778, 24.143778, 1504517
104474, 3, 159, 327655, 50182, 0, 0, 65738, 65636, 0, 0, 0, 128, 68968817, 25.149925, 25.149925, 1608991
111873, 3, 168, 326547, 55496, 0, 0, 65738, 65642, 0, 0, 0, 151, 73084426, 26.172745, 26.172745, 1720863
134582, 11, 592, 430472, 66252, 0, 0, 65738, 65646, 0, 0, 0, 180, 77200431, 27.211929, 27.211929, 1855444
124656, 3, 170, 362069, 62912, 0, 0, 65738, 65652, 0, 0, 0, 222, 81120119, 28.267179, 28.267179, 1980099
126189, 3, 161, 369852, 61073, 0, 0, 65738, 65652, 0, 0, 0, 288, 84615857, 29.338179, 29.338179, 2106287
130615, 3, 172, 365982, 63213, 0, 0, 65738, 65668, 0, 0, 0, 406, 88045285, 30.424625, 30.424625, 2236901
135348, 2, 172, 383853, 65526, 0, 0, 65738, 65682, 0, 0, 0, 570, 91290866, 31.526188, 31.526188, 2372249
140533, 2, 162, 383961, 67439, 0, 0, 65738, 65696, 0, 0, 0, 820, 94313397, 32.642563, 32.642563, 2512781
160238, 10, 597, 446253, 76408, 0, 0, 65738, 65702, 0, 0, 0, 1198, 96664700, 33.773438, 33.773438, 2673017
148254, 3, 164, 390889, 72488, 0, 0, 65738, 65706, 0, 0, 0, 1815, 98381831, 34.918480, 34.918480, 2821270
147796, 3, 173, 382942, 72020, 0, 0, 65738, 65708, 0, 0, 0, 2853, 99369978, 36.077385, 36.077385, 2969065
148057, 3, 176, 396547, 70022, 0, 0, 65738, 65708, 0, 0, 0, 4364, 99816498, 37.249817, 37.249817, 3117120
149247, 2, 171, 409161, 72288, 0, 0, 65738, 65726, 0, 0, 0, 6461, 99937211, 38.435459, 38.435459, 3266367
149061, 3, 181, 424005, 73097, 0, 0, 65738, 65726, 0, 0, 0, 9601, 99946320, 39.633991, 39.633991, 3415428
150483, 3, 179, 416632, 72664, 0, 0, 65738, 65730, 0, 0, 0, 14361, 99948465, 40.845100, 40.845100, 3565910
150418, 3, 186, 395996, 74299, 0, 0, 65738, 65734, 0, 0, 0, 21236, 99978077, 42.068455, 42.068455, 3716328
151143, 3, 187, 408941, 73682, 0, 0, 65738, 65738, 0, 0, 0, 30954, 99995818, 43.303719, 43.303719, 3867471
