querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
35069, 6, 5, 1083668, 255784, 0, 0, 63385, 63385, 0, 0, 0, 223453, 577134, 398.423950, 252.075409, 35068
28879, 3, 3, 485624, 380049, 0, 0, 63385, 63385, 0, 0, 0, 578856, 578856, 463.864746, 305.809296, 63947
20867, 5, 5, 338167, 208654, 0, 0, 63385, 63385, 0, 0, 0, 262363, 577490, 415.233521, 257.408691, 84813
22251, 7, 3, 450931, 192074, 0, 0, 63385, 63385, 0, 0, 0, 170808, 576439, 369.209229, 227.161224, 107063
20112, 4, 4, 395542, 226814, 0, 0, 63385, 63385, 0, 0, 0, 205875, 576933, 395.432373, 252.694427, 127174
21064, 5, 1, 387509, 318727, 0, 0, 63385, 63385, 0, 0, 0, 217613, 577060, 452.421448, 239.022827, 148237
26214, 4, 4, 396449, 361178, 0, 0, 63385, 63385, 0, 0, 0, 578859, 578859, 446.815521, 330.186005, 174450
27423, 8, 9, 392368, 347072, 0, 0, 63385, 63385, 0, 0, 0, 578863, 578863, 460.883728, 295.016510, 201872
20462, 6, 1, 373373, 254046, 0, 0, 63385, 63385, 0, 0, 0, 195657, 576731, 397.073517, 231.599503, 222333
21044, 4, 1, 392099, 341993, 0, 0, 63385, 63385, 0, 0, 0, 166627, 576331, 462.422211, 255.593002, 243376
23875, 3, 3, 388292, 303168, 0, 0, 63385, 63385, 0, 0, 0, 578856, 578856, 427.325409, 332.273407, 267251
20733, 4, 3, 379398, 238871, 0, 0, 63385, 63385, 0, 0, 0, 237828, 576924, 423.735016, 219.572067, 287983
28835, 9, 6, 483184, 358698, 0, 0, 63385, 63385, 0, 0, 0, 498364, 578751, 439.178894, 270.149353, 316817
25620, 4, 4, 390226, 365574, 0, 0, 63385, 63385, 0, 0, 0, 578861, 578861, 497.798920, 354.312714, 342436
26845, 8, 4, 388373, 398117, 0, 0, 63385, 63385, 0, 0, 0, 476247, 578766, 435.478729, 284.677368, 369280
25013, 4, 4, 399472, 363671, 0, 0, 63385, 63385, 0, 0, 0, 578651, 578859, 358.882385, 304.460144, 394293
17578, 4, 5, 382989, 183044, 0, 0, 63385, 63385, 0, 0, 0, 60563, 572473, 319.157227, 185.877975, 411870
