querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
130311, 3, 34, 523114, 162698, 0, 0, 65540, 65540, 0, 0, 0, 6272348, 6362059, 255.996216, 158.258011, 130310
19058, 3, 26, 380011, 135015, 0, 0, 65540, 65540, 0, 0, 0, 84183, 2785009, 255.996857, 181.711288, 149367
12681, 3, 184, 375792, 123938, 0, 0, 65540, 65540, 0, 0, 0, 11876, 346255, 255.993423, 85.829338, 162048
13943, 3, 36, 357064, 132999, 0, 0, 65540, 65540, 0, 0, 0, 7311, 615562, 255.992783, 101.962395, 175990
17749, 6, 46, 349691, 133390, 0, 0, 65540, 65540, 0, 0, 0, 52229, 1515413, 255.997894, 147.802338, 193737
102197, 4, 20, 345850, 301452, 0, 0, 65540, 65540, 0, 0, 0, 6274634, 6362030, 255.995468, 183.378067, 295932
12669, 3, 33, 378500, 133356, 0, 0, 65540, 65540, 0, 0, 0, 5104, 423231, 255.981934, 91.945015, 308601
14894, 4, 32, 369287, 132781, 0, 0, 65540, 65540, 0, 0, 0, 46332, 1295436, 255.998611, 135.380249, 323494
14401, 4, 30, 351680, 190467, 0, 0, 65540, 65540, 0, 0, 0, 38280, 554132, 255.998230, 93.383331, 337894
17903, 5, 328, 356996, 151447, 0, 0, 65540, 65540, 0, 0, 0, 22522, 1185554, 255.978027, 143.090012, 355796
14899, 7, 38, 325192, 170343, 0, 0, 65540, 65540, 0, 0, 0, 8253, 178455, 255.984222, 53.414455, 370694
14686, 5, 135, 398397, 149792, 0, 0, 65540, 65540, 0, 0, 0, 5186, 226494, 255.993179, 44.603931, 385379
20399, 4, 47, 423832, 167280, 0, 0, 65540, 65540, 0, 0, 0, 79615, 1846643, 255.993454, 146.280670, 405778
17352, 6, 22, 371215, 178939, 0, 0, 65540, 65540, 0, 0, 0, 29189, 825972, 255.980301, 116.066116, 423128
