querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
103968, 6, 13, 589099, 154795, 0, 0, 81440, 81166, 0, 0, 0, 8773, 6021158, 15.798712, 12.447767, 103967
21074, 5, 1978, 282521, 249, 0, 0, 81440, 66448, 0, 0, 0, 403, 1994014, 2.803293, 1.665452, 125040
50072, 4, 1099, 226354, 5596, 0, 0, 81440, 69507, 0, 0, 0, 209185, 12024104, 27.304857, 20.164251, 175111
556283, 3, 349, 472825, 149267, 0, 0, 81440, 79733, 0, 0, 0, 26302383, 86454628, 232.793671, 213.470169, 731394
101611, 4, 2225, 386009, 212856, 0, 0, 81440, 71418, 0, 0, 0, 8389, 39231553, 68.920189, 49.990952, 833005
12868, 3, 2019, 209796, 126, 0, 0, 81440, 66124, 0, 0, 0, 344, 812010, 2.196389, 0.179217, 845873
468232, 3, 1642, 455696, 129540, 0, 0, 81440, 80320, 0, 0, 0, 25595441, 82502955, 184.986908, 151.610733, 1314103
174558, 10, 428, 471502, 73572, 0, 0, 81440, 81016, 0, 0, 0, 1008765, 73694714, 243.861862, 92.912659, 1488660
177429, 3, 5575, 328079, 202863, 0, 0, 81440, 71189, 0, 0, 0, 8355517, 38105734, 54.642548, 48.675865, 1666089
14608, 3, 1997, 178243, 483, 0, 0, 81440, 67938, 0, 0, 0, 1456, 2048535, 6.273940, 0.989567, 1680696
55015, 2, 4135, 177925, 4320, 0, 0, 81440, 68864, 0, 0, 0, 1038076, 13344195, 21.412350, 14.495573, 1735711
69543, 4, 55, 419790, 203847, 0, 0, 81440, 70354, 0, 0, 0, 574, 28818664, 93.781403, 55.950470, 1805253
358741, 4, 197, 457162, 116634, 0, 0, 81440, 81165, 0, 0, 0, 19623217, 92795154, 343.020203, 181.264847, 2163994
14493, 4, 582, 210910, 315, 0, 0, 81440, 66308, 0, 0, 0, 30, 1773674, 8.170911, 6.714112, 2178487
116273, 5, 3355, 424845, 201123, 0, 0, 81440, 72842, 0, 0, 0, 213664, 42297905, 58.393829, 37.990635, 2294760
148092, 4, 4403, 390681, 173416, 0, 0, 81440, 70408, 0, 0, 0, 3274734, 43515622, 78.747726, 65.409508, 2442852
309330, 4, 1054, 452058, 98716, 0, 0, 81440, 80045, 0, 0, 0, 11748954, 83044614, 201.207214, 141.049728, 2752181
153363, 4, 268, 456018, 75237, 0, 0, 81440, 81165, 0, 0, 0, 1251293, 64198262, 348.777557, 54.946808, 2905543
154506, 4, 91, 442605, 71990, 0, 0, 81440, 78487, 0, 0, 0, 21018, 66919264, 193.731262, 137.332855, 3060047
255401, 4, 179, 461384, 87860, 0, 0, 81440, 81165, 0, 0, 0, 6782563, 91460172, 362.890991, 126.871033, 3315448
252256, 4, 206, 455741, 97908, 0, 0, 81440, 80953, 0, 0, 0, 5783763, 85570019, 274.573669, 202.817993, 3567704
16573, 4, 17, 455664, 129844, 0, 0, 81440, 75393, 0, 0, 0, 3121, 1034996, 136.352844, 0.770838, 3584277
26484, 4, 65, 240766, 23883, 0, 0, 81440, 65692, 0, 0, 0, 11, 8232247, 39.392372, 38.999683, 3610761
14778, 5, 986, 219708, 4235, 0, 0, 81440, 69580, 0, 0, 0, 1040, 1414966, 24.306438, 1.148669, 3625538
180197, 4, 5251, 521436, 80644, 0, 0, 81440, 72730, 0, 0, 0, 2921515, 62610455, 98.618828, 82.649544, 3805735
184391, 4, 3880, 438629, 75891, 0, 0, 81440, 75903, 0, 0, 0, 1202400, 73124281, 164.463242, 150.033905, 3990124
44434, 9, 1896, 389177, 1825, 0, 0, 81440, 69154, 0, 0, 0, 428660, 7640224, 13.271619, 7.403674, 4034557
120651, 4, 81, 432482, 77090, 0, 0, 81440, 70567, 0, 0, 0, 349, 52614858, 100.024658, 98.353348, 4155208
228559, 4, 101, 445796, 85778, 0, 0, 81440, 80535, 0, 0, 0, 4194773, 85404640, 221.965561, 175.922211, 4383766
77750, 4, 6681, 213723, 2715, 0, 0, 81440, 69600, 0, 0, 0, 2353819, 15465004, 15.970458, 14.879477, 4461515
35151, 3, 2342, 179312, 2907, 0, 0, 81440, 68555, 0, 0, 0, 214289, 9759671, 14.677629, 12.238750, 4496665
158020, 3, 97, 508025, 73427, 0, 0, 81440, 79468, 0, 0, 0, 23594, 67141895, 180.505310, 110.184891, 4654684
14225, 2, 2476, 182901, 899, 0, 0, 81440, 67909, 0, 0, 0, 3238, 1303250, 10.202648, 1.052321, 4668909
15425, 4, 2393, 216072, 543, 0, 0, 81440, 67318, 0, 0, 0, 2745, 1256940, 7.394598, 0.839579, 4684332
169957, 5, 355, 502063, 76457, 0, 0, 81440, 81165, 0, 0, 0, 1715932, 66863760, 387.313599, 43.081024, 4854288
37307, 3, 2669, 192626, 10667, 0, 0, 81440, 69444, 0, 0, 0, 487, 10488912, 35.920444, 16.145891, 4891594
193036, 3, 223, 499709, 79217, 0, 0, 81440, 81165, 0, 0, 0, 2368619, 77208801, 303.958069, 88.550842, 5084629
152497, 3, 148, 472696, 92676, 0, 0, 81440, 77212, 0, 0, 0, 311680, 64909850, 197.490997, 110.574173, 5237126
16795, 3, 2964, 180013, 451, 0, 0, 81440, 67299, 0, 0, 0, 266, 2188665, 5.184134, 1.997671, 5253921
164311, 4, 79, 472134, 106532, 0, 0, 81440, 77167, 0, 0, 0, 25353, 68570269, 172.169464, 136.787445, 5418232
51143, 3, 682, 197431, 35996, 0, 0, 81440, 69980, 0, 0, 0, 265032, 18569943, 40.236526, 36.973343, 5469375
22768, 4, 1578, 211715, 601, 0, 0, 81440, 67933, 0, 0, 0, 203267, 3006344, 4.117198, 1.286649, 5492143
17029, 5, 1581, 235809, 181, 0, 0, 81440, 66550, 0, 0, 0, 342, 1539901, 1.000325, 0.341315, 5509171
192607, 4, 5740, 539183, 76298, 0, 0, 81440, 76660, 0, 0, 0, 966551, 74268241, 136.609329, 128.640274, 5701777
51039, 4, 4194, 220490, 39551, 0, 0, 81440, 68751, 0, 0, 0, 1055703, 12832864, 41.538322, 28.337076, 5752815
170812, 4, 8304, 474155, 83268, 0, 0, 81440, 73484, 0, 0, 0, 1306705, 64769677, 117.484177, 98.727226, 5923626
118366, 10, 10903, 371449, 38518, 0, 0, 81440, 70436, 0, 0, 0, 3243456, 25626065, 37.964211, 33.754272, 6041989
19414, 4, 3260, 213719, 424, 0, 0, 81440, 67217, 0, 0, 0, 25978, 1847922, 3.703766, 0.545092, 6061402
17351, 4, 2531, 240098, 159, 0, 0, 81440, 66188, 0, 0, 0, 4843, 1030968, 2.042240, 1.195073, 6078753
221447, 6, 15, 572517, 408000, 0, 0, 81440, 77080, 0, 0, 0, 8279531, 53128296, 175.952072, 53.206837, 6300199
191921, 4, 4434, 460145, 78010, 0, 0, 81440, 77625, 0, 0, 0, 642650, 75526228, 125.260551, 109.005844, 6492119
55054, 4, 1844, 230776, 78826, 0, 0, 81440, 68986, 0, 0, 0, 1816, 20728541, 49.436043, 40.306614, 6547173
226471, 5, 1027, 438800, 250651, 0, 0, 81440, 72763, 0, 0, 0, 10150772, 58172872, 90.037590, 73.460175, 6773643
247245, 4, 182, 455809, 95211, 0, 0, 81440, 80422, 0, 0, 0, 7555910, 78514912, 231.019287, 168.038574, 7020888
441960, 4, 813, 456755, 128860, 0, 0, 81440, 80959, 0, 0, 0, 26942402, 91008718, 270.317535, 195.492447, 7462847
