querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
781291, 11, 16815, 1256941, 60112, 0, 0, 68794, 66887, 0, 0, 0, 900039, 17051732, 82.544746, 78.210190, 781291
1089949, 3, 54, 251901, 59763, 0, 0, 68794, 68589, 0, 0, 0, 8786137, 31927803, 241.443665, 206.411530, 1871240
1067192, 10, 171, 549185, 54451, 0, 0, 68794, 68477, 0, 0, 0, 7089735, 30491264, 238.097290, 171.566635, 2938431
996258, 10, 251, 592119, 98683, 0, 0, 68794, 68589, 0, 0, 0, 20119848, 31983023, 335.657990, 256.000000, 3934688
102234, 10, 173, 521431, 56305, 0, 0, 68794, 68569, 0, 0, 0, 147553, 23984781, 231.412918, 155.947861, 4036921
77887, 3, 141, 273127, 42363, 0, 0, 68794, 68407, 0, 0, 0, 22761, 23242372, 148.118835, 121.478027, 4114808
1003934, 4, 76, 264671, 57215, 0, 0, 68794, 68589, 0, 0, 0, 11474635, 31982917, 314.163025, 182.873825, 5118741
33834, 10, 6734, 427973, 421, 0, 0, 68794, 65874, 0, 0, 0, 18729, 1304599, 9.063295, 9.063295, 5152574
1306311, 5, 104, 528124, 67339, 0, 0, 68794, 68589, 0, 0, 0, 11210470, 31982943, 317.649048, 219.588608, 6458884
1056353, 12, 313, 688793, 62666, 0, 0, 68794, 68589, 0, 0, 0, 7305642, 31832795, 252.810928, 185.919205, 7515235
102929, 10, 132, 536449, 55807, 0, 0, 68794, 68589, 0, 0, 0, 42971, 23785850, 266.531555, 128.844208, 7618162
1147763, 4, 148, 266553, 68592, 0, 0, 68794, 68589, 0, 0, 0, 13653462, 31983059, 315.368195, 237.750702, 8765924
115106, 12, 554, 593430, 56566, 0, 0, 68794, 68090, 0, 0, 0, 2425530, 23423924, 174.975830, 141.374161, 8881029
1264416, 4, 33, 262303, 63983, 0, 0, 68794, 68589, 0, 0, 0, 13740521, 31982806, 343.865143, 219.835846, 10145444
1262225, 12, 153, 671328, 59975, 0, 0, 68794, 68589, 0, 0, 0, 9003267, 31943659, 308.194672, 205.275467, 11407667
59001, 11, 2357, 583136, 60284, 0, 0, 68794, 66223, 0, 0, 0, 235067, 6950897, 43.800819, 43.800819, 11466667
886360, 5, 167, 473442, 52664, 0, 0, 68794, 68589, 0, 0, 0, 6719236, 30963071, 228.891281, 149.911194, 12353026
104295, 11, 94, 554533, 58556, 0, 0, 68794, 68430, 0, 0, 0, 387222, 23069406, 271.158173, 138.869034, 12457320
83245, 4, 101, 318541, 53173, 0, 0, 68794, 68589, 0, 0, 0, 27497, 23000516, 252.058258, 144.602402, 12540564
999958, 4, 79, 309711, 51656, 0, 0, 68794, 68589, 0, 0, 0, 7049653, 31609754, 220.502426, 162.322830, 13540521
1121504, 10, 917, 562761, 66915, 0, 0, 68794, 68501, 0, 0, 0, 6622965, 31146192, 171.948013, 169.901001, 14662024
103132, 11, 4563, 556602, 126213, 0, 0, 68794, 67230, 0, 0, 0, 1483863, 19503760, 104.499420, 86.938248, 14765154
1065148, 4, 77, 292156, 54849, 0, 0, 68794, 68589, 0, 0, 0, 8293915, 31927839, 280.634125, 183.295746, 15830301
