querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1462, 4, 1458, 0, 0, 0, 0, 66530, 0, 0, 0, 0, 13, 10520, 0.000000, 0.000000, 1462
275333, 4, 196, 793503, 74233, 0, 0, 66530, 66523, 0, 0, 0, 51, 99308883, 47.425018, 34.549793, 276795
428, 4, 424, 0, 0, 0, 0, 66530, 0, 0, 0, 0, 18, 2942, 47.425018, 0.000000, 277223
249612, 4, 120, 410294, 81182, 0, 0, 66530, 66529, 0, 0, 0, 1008, 99664656, 96.875870, 38.919632, 526835
2719, 4, 2714, 0, 0, 0, 0, 66530, 0, 0, 0, 0, 14, 19757, 96.875870, 0.000000, 529554
141, 4, 137, 0, 0, 0, 0, 66530, 0, 0, 0, 0, 13, 820, 96.875870, 0.000000, 529694
218241, 4, 177, 406222, 82438, 0, 0, 66530, 66529, 0, 0, 0, 127, 86481681, 63.769745, 15.690112, 747934
973, 5, 967, 0, 0, 0, 0, 66530, 0, 0, 0, 0, 12, 6949, 63.769745, 0.000000, 748907
251729, 3, 925, 408804, 91307, 0, 0, 66530, 66529, 0, 0, 0, 101, 99856395, 59.878548, 42.899731, 1000636
246770, 5, 56, 398244, 77351, 0, 0, 66530, 66525, 0, 0, 0, 49, 99378489, 54.008381, 35.166306, 1247405
251003, 4, 535, 427529, 85487, 0, 0, 66530, 66529, 0, 0, 0, 547, 99943446, 79.424286, 36.619648, 1498408
92751, 5, 80, 414672, 200185, 0, 0, 66530, 66529, 0, 0, 0, 399, 33090583, 71.730949, 11.109506, 1591158
55561, 5, 203, 191559, 11374, 0, 0, 66530, 65584, 0, 0, 0, 11, 17886173, 15.164784, 15.164784, 1646718
265472, 5, 378, 415664, 103687, 0, 0, 66530, 66529, 0, 0, 0, 339, 99957427, 76.634987, 37.922192, 1912189
83655, 5, 207, 211033, 26232, 0, 0, 66530, 65552, 0, 0, 0, 6, 29737383, 13.829055, 13.829055, 1995843
249755, 4, 701, 409680, 93293, 0, 0, 66530, 66529, 0, 0, 0, 197, 100005017, 81.918976, 51.779781, 2245597
112536, 4, 54, 399631, 184357, 0, 0, 66530, 66362, 0, 0, 0, 16, 41691262, 19.818140, 10.243480, 2358133
254843, 5, 1440, 403073, 101846, 0, 0, 66530, 66529, 0, 0, 0, 246, 100010196, 58.272736, 55.759556, 2612975
253085, 4, 148, 399988, 78601, 0, 0, 66530, 66529, 0, 0, 0, 72, 99378133, 58.443851, 30.069393, 2866060
252267, 5, 721, 389619, 90153, 0, 0, 66530, 66458, 0, 0, 0, 18, 98572844, 16.314886, 16.314886, 3118327
253648, 5, 43, 403514, 78869, 0, 0, 66530, 66503, 0, 0, 0, 38, 98675420, 52.533226, 28.263241, 3371974
249734, 5, 1743, 408191, 84811, 0, 0, 66530, 66529, 0, 0, 0, 47, 97040779, 52.623741, 22.642014, 3621708
217309, 4, 228, 402578, 152815, 0, 0, 66530, 66434, 0, 0, 0, 15, 83957490, 28.407337, 16.834091, 3839017
253129, 4, 515, 398980, 106288, 0, 0, 66530, 66529, 0, 0, 0, 81, 98107047, 47.696472, 32.403099, 4092146
259478, 5, 2592, 421131, 128355, 0, 0, 66530, 66529, 0, 0, 0, 69, 99753074, 26.015057, 15.549284, 4351624
247301, 5, 105, 402854, 180272, 0, 0, 66530, 66529, 0, 0, 0, 18, 95748246, 21.674849, 16.141333, 4598925
259187, 5, 273, 400529, 87698, 0, 0, 66530, 66529, 0, 0, 0, 240, 99981108, 84.810822, 24.506615, 4858112
263393, 4, 834, 412683, 85367, 0, 0, 66530, 66529, 0, 0, 0, 38, 99697335, 50.065872, 41.248035, 5121504
194653, 4, 1109, 422184, 240646, 0, 0, 66530, 66529, 0, 0, 0, 140, 75327408, 63.920269, 14.576103, 5316157
257556, 4, 1245, 413237, 118896, 0, 0, 66530, 66529, 0, 0, 0, 323, 100008522, 64.046486, 42.738098, 5573712
8270, 5, 84, 183986, 525, 0, 0, 66530, 65536, 0, 0, 0, 4, 393125, 3.424041, 3.424041, 5581982
191, 5, 186, 0, 0, 0, 0, 66530, 0, 0, 0, 0, 9, 1245, 3.424041, 0.000000, 5582172
268, 4, 264, 0, 0, 0, 0, 66530, 0, 0, 0, 0, 8, 1719, 3.424041, 0.000000, 5582440
256600, 4, 850, 407175, 97149, 0, 0, 66530, 66468, 0, 0, 0, 18, 99429470, 30.182119, 30.182119, 5839040
257269, 4, 338, 405550, 87291, 0, 0, 66530, 66529, 0, 0, 0, 360, 99537877, 76.735764, 32.551128, 6096309
212923, 5, 875, 382674, 142760, 0, 0, 66530, 66430, 0, 0, 0, 27, 81920659, 18.967093, 13.718361, 6309230
283096, 15, 519, 485288, 85787, 0, 0, 66530, 66529, 0, 0, 0, 144, 99944095, 83.034187, 42.414009, 6592326
255824, 5, 583, 418303, 79651, 0, 0, 66530, 66529, 0, 0, 0, 174, 99093249, 91.819046, 26.125694, 6848149
254610, 4, 328, 403778, 84989, 0, 0, 66530, 66529, 0, 0, 0, 83, 99977274, 59.613720, 44.360229, 7102759
259333, 6, 315, 416945, 96065, 0, 0, 66530, 66529, 0, 0, 0, 420, 99995396, 75.615204, 46.439201, 7362091
1367, 5, 1361, 0, 0, 0, 0, 66530, 0, 0, 0, 0, 16, 9704, 75.615204, 0.000000, 7363457
185227, 3, 1446, 445020, 190109, 0, 0, 66530, 66529, 0, 0, 0, 58, 70559709, 35.642178, 17.250511, 7548683
256164, 5, 313, 398204, 84534, 0, 0, 66530, 66529, 0, 0, 0, 321, 99459913, 90.165077, 33.562279, 7804847
256752, 5, 91, 406588, 84644, 0, 0, 66530, 66529, 0, 0, 0, 90, 99755350, 76.646469, 38.470444, 8061598
159789, 4, 138, 397344, 170129, 0, 0, 66530, 66490, 0, 0, 0, 27, 60057158, 34.238106, 10.729239, 8221387
252464, 4, 215, 406004, 82229, 0, 0, 66530, 66525, 0, 0, 0, 70, 98137147, 46.974133, 20.726749, 8473850
353, 5, 348, 0, 0, 0, 0, 66530, 0, 0, 0, 0, 12, 2314, 46.974133, 0.000000, 8474202
209, 4, 205, 0, 0, 0, 0, 66530, 0, 0, 0, 0, 22, 1292, 46.974133, 0.000000, 8474411
257559, 3, 425, 403497, 99326, 0, 0, 66530, 66529, 0, 0, 0, 27, 99998772, 55.117367, 38.584209, 8731970
255512, 5, 100, 416945, 81015, 0, 0, 66530, 66400, 0, 0, 0, 13, 99008413, 34.791031, 31.155128, 8987482
257143, 5, 398, 400983, 85980, 0, 0, 66530, 66529, 0, 0, 0, 215, 99789925, 64.255333, 37.952042, 9244625
257310, 5, 65, 398884, 105690, 0, 0, 66530, 66529, 0, 0, 0, 230, 98957103, 82.982925, 23.312555, 9501933
283435, 17, 790, 425422, 102951, 0, 0, 66530, 66529, 0, 0, 0, 577, 100001319, 85.381065, 49.901867, 9785367
239904, 5, 439, 417744, 140285, 0, 0, 66530, 66529, 0, 0, 0, 143, 92762981, 56.143906, 16.106730, 10025271
254781, 5, 438, 395584, 92518, 0, 0, 66530, 66529, 0, 0, 0, 208, 99998784, 79.973846, 33.292774, 10280052
257452, 5, 309, 415649, 84643, 0, 0, 66530, 66529, 0, 0, 0, 762, 99997737, 74.984978, 50.207607, 10537504
256895, 5, 692, 408401, 88547, 0, 0, 66530, 66527, 0, 0, 0, 100, 99206604, 61.650471, 27.802536, 10794398
259896, 5, 569, 416830, 86351, 0, 0, 66530, 66529, 0, 0, 0, 228, 99999680, 75.202332, 41.409958, 11054292
