querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
85757, 11, 69, 1207833, 198099, 0, 0, 65744, 65675, 0, 0, 0, 3617989, 4160373, 302.044861, 243.993103, 85750
49971, 9, 37, 421388, 162247, 0, 0, 65744, 65675, 0, 0, 0, 3117312, 4160357, 340.183655, 150.606812, 135714
63594, 9, 20, 429446, 207111, 0, 0, 65744, 65675, 0, 0, 0, 3815712, 4160324, 402.432373, 218.079269, 199302
60522, 8, 43, 421906, 229069, 0, 0, 65744, 65675, 0, 0, 0, 3776799, 4160372, 368.679840, 214.058029, 259818
61095, 9, 26, 413272, 235627, 0, 0, 65744, 65675, 0, 0, 0, 3866981, 4160339, 341.207123, 239.503174, 320907
60019, 8, 122, 415715, 285224, 0, 0, 65744, 65675, 0, 0, 0, 3517288, 4160634, 320.603119, 196.681717, 380921
60462, 8, 26, 412624, 231062, 0, 0, 65744, 65675, 0, 0, 0, 3573825, 4160336, 337.937622, 228.887680, 441378
62550, 16, 60, 411907, 240260, 0, 0, 65744, 65675, 0, 0, 0, 3803039, 4160361, 379.336670, 234.888672, 503918
52613, 8, 25, 404898, 202275, 0, 0, 65744, 65675, 0, 0, 0, 2492996, 4160332, 234.231003, 160.424622, 556526
68068, 9, 39, 408664, 261450, 0, 0, 65744, 65675, 0, 0, 0, 3867370, 4160364, 350.777557, 231.059952, 624588
56264, 10, 26, 406532, 226399, 0, 0, 65744, 65675, 0, 0, 0, 2284355, 4160329, 291.313934, 178.847946, 680845
19948, 8, 26, 334226, 100743, 0, 0, 65744, 65597, 0, 0, 0, 12638, 2601580, 159.180222, 113.034195, 700787
62395, 9, 23, 372690, 314642, 0, 0, 65744, 65675, 0, 0, 0, 3744475, 4160323, 368.318848, 229.595108, 763175
64098, 8, 29, 420183, 281469, 0, 0, 65744, 65675, 0, 0, 0, 3173989, 4160345, 258.349213, 175.587921, 827267
48048, 8, 31, 405529, 199444, 0, 0, 65744, 65675, 0, 0, 0, 3310633, 4160351, 289.797485, 165.262955, 875309
55465, 7, 14, 413974, 194367, 0, 0, 65744, 65675, 0, 0, 0, 3584295, 4160310, 346.100403, 219.725174, 930769
67745, 8, 12, 412149, 220150, 0, 0, 65744, 65675, 0, 0, 0, 4088107, 4160309, 387.434174, 255.989929, 998508
62910, 15, 68, 411461, 310599, 0, 0, 65744, 65675, 0, 0, 0, 4074074, 4160375, 367.994812, 236.959137, 1061408
68126, 16, 112, 436862, 264035, 0, 0, 65744, 65675, 0, 0, 0, 3803654, 4160435, 296.262268, 255.837006, 1129524
56537, 9, 45, 421145, 301568, 0, 0, 65744, 65675, 0, 0, 0, 3841391, 4160375, 386.332001, 216.517853, 1186055
73153, 10, 36, 388618, 349543, 0, 0, 65744, 65675, 0, 0, 0, 4153586, 4160352, 412.008759, 255.991608, 1259201
56415, 9, 37, 409354, 221832, 0, 0, 65744, 65675, 0, 0, 0, 3549255, 4160358, 332.085876, 187.160278, 1315610
57568, 8, 33, 419300, 226647, 0, 0, 65744, 65675, 0, 0, 0, 4005453, 4160344, 390.279510, 232.524597, 1373173
61783, 8, 34, 415018, 280389, 0, 0, 65744, 65675, 0, 0, 0, 3995904, 4160353, 327.693542, 250.405792, 1434951
46221, 8, 37, 416879, 177829, 0, 0, 65744, 65675, 0, 0, 0, 2424060, 4160365, 234.000366, 190.958191, 1481167
64550, 8, 45, 411663, 331344, 0, 0, 65744, 65675, 0, 0, 0, 3892573, 4160380, 348.732208, 243.094238, 1545711
61115, 7, 34, 394594, 259140, 0, 0, 65744, 65675, 0, 0, 0, 3737478, 4160357, 342.638947, 236.400665, 1606822
50697, 8, 21, 413229, 190069, 0, 0, 65744, 65675, 0, 0, 0, 3642211, 4160320, 343.641113, 215.161835, 1657513
