querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
64581, 9, 550, 408432, 182795, 0, 0, 66452, 65832, 0, 0, 0, 1603581, 11152726, 81.802513, 78.210190, 64576
973045, 7, 74, 420262, 112943, 0, 0, 66452, 66423, 0, 0, 0, 16770577, 31640642, 265.418365, 206.411530, 1037616
735232, 19, 187, 488933, 108954, 0, 0, 66452, 66417, 0, 0, 0, 16119187, 31578408, 266.084717, 171.566635, 1772837
1249389, 19, 244, 487540, 108002, 0, 0, 66452, 66443, 0, 0, 0, 27067441, 31983058, 364.367371, 256.000000, 3022215
674834, 20, 178, 501903, 101982, 0, 0, 66452, 66371, 0, 0, 0, 7994069, 31054458, 199.290985, 155.947861, 3697036
706664, 21, 206, 474710, 100256, 0, 0, 66452, 66411, 0, 0, 0, 10026969, 31341764, 203.820389, 121.478027, 4403687
759777, 19, 171, 492125, 89370, 0, 0, 66452, 66443, 0, 0, 0, 17280937, 31671529, 312.361023, 182.873825, 5163453
37622, 20, 1234, 452265, 124481, 0, 0, 66452, 65624, 0, 0, 0, 57507, 4785077, 11.646095, 9.063295, 5201062
857775, 14, 171, 628930, 102952, 0, 0, 66452, 66443, 0, 0, 0, 20238741, 31855243, 272.434357, 219.588608, 6058828
1071501, 19, 150, 482432, 104209, 0, 0, 66452, 66443, 0, 0, 0, 15088190, 31579719, 290.132202, 185.919205, 7130318
725878, 26, 3850, 921636, 88117, 0, 0, 66452, 66421, 0, 0, 0, 12631461, 31476974, 193.621063, 128.844208, 7856180
1252508, 19, 115, 475458, 101149, 0, 0, 66452, 66443, 0, 0, 0, 21224646, 31946305, 347.320801, 237.750702, 9108676
949268, 28, 40122, 1100910, 156530, 0, 0, 66452, 66323, 0, 0, 0, 13275897, 30987425, 172.972870, 141.374161, 10057927
1045347, 20, 209, 526730, 110565, 0, 0, 66452, 66443, 0, 0, 0, 20473459, 31829398, 341.486603, 219.835846, 11103262
1282044, 21, 3502, 617994, 95214, 0, 0, 66452, 66443, 0, 0, 0, 20067161, 31769118, 335.471497, 205.275467, 12385293
63064, 26, 146, 604331, 82780, 0, 0, 66452, 65850, 0, 0, 0, 338344, 11882147, 48.197926, 43.800819, 12448340
690750, 24, 206, 581581, 76576, 0, 0, 66452, 66443, 0, 0, 0, 14725781, 31527185, 291.794128, 149.911194, 13139075
1122722, 18, 390, 488046, 205299, 0, 0, 66452, 66385, 0, 0, 0, 13149422, 31235068, 196.662430, 138.869034, 14261786
965535, 24, 1141, 1092028, 85040, 0, 0, 66452, 66443, 0, 0, 0, 12535933, 31472139, 277.955292, 144.602402, 15227305
979127, 23, 195, 862550, 96505, 0, 0, 66452, 66443, 0, 0, 0, 15520104, 31531530, 313.463379, 162.322830, 16206417
1099056, 27, 230, 1116383, 101820, 0, 0, 66452, 66407, 0, 0, 0, 9699743, 31360958, 233.056610, 169.901001, 17305455
127588, 25, 46169, 669506, 121006, 0, 0, 66452, 65868, 0, 0, 0, 3698648, 12651442, 111.118057, 86.938248, 17433027
1410186, 12, 106, 401938, 98902, 0, 0, 66452, 66443, 0, 0, 0, 17370526, 31681424, 328.667755, 183.295746, 18843204
1384890, 25, 231, 1040621, 116369, 0, 0, 66452, 66443, 0, 0, 0, 16242819, 31724135, 304.566223, 194.510406, 20228077
65755, 25, 184, 963050, 336455, 0, 0, 66452, 66292, 0, 0, 0, 7244, 10012796, 178.851273, 100.896454, 20293815
27652, 19, 348, 389545, 134187, 0, 0, 66452, 65688, 0, 0, 0, 344429, 4691130, 24.191519, 19.359430, 20321453
1400540, 12, 125, 418678, 114493, 0, 0, 66452, 66443, 0, 0, 0, 22451409, 31756748, 335.658112, 233.221298, 21721985
1352607, 25, 343, 1126368, 106889, 0, 0, 66452, 66443, 0, 0, 0, 21955607, 31965183, 344.266815, 218.898788, 23074576
1039334, 25, 252, 1311252, 99653, 0, 0, 66452, 66443, 0, 0, 0, 19813218, 31586904, 311.439941, 185.422882, 24113894
1329041, 21, 308, 675048, 101279, 0, 0, 66452, 66443, 0, 0, 0, 19692354, 31820944, 353.824493, 205.612717, 25442923
94932, 26, 245, 1141868, 317460, 0, 0, 66452, 66413, 0, 0, 0, 238264, 19369753, 211.385941, 76.868332, 25537837
1290847, 18, 243, 1037018, 91731, 0, 0, 66452, 66443, 0, 0, 0, 15130021, 31464978, 304.031982, 145.756668, 26828671
1002547, 26, 259, 1144744, 92893, 0, 0, 66452, 66443, 0, 0, 0, 18039551, 31764186, 322.805756, 191.364471, 27831202
1222511, 20, 153, 731755, 80759, 0, 0, 66452, 66443, 0, 0, 0, 19164141, 31710313, 383.370453, 181.738922, 29053700
1159872, 26, 221, 1221785, 106439, 0, 0, 66452, 66443, 0, 0, 0, 21036735, 31946341, 339.845337, 222.015701, 30213554
1929454, 23, 755, 1001688, 107485, 0, 0, 66452, 66443, 0, 0, 0, 27429745, 31983656, 396.819885, 256.000031, 32142993
1348461, 26, 334, 1159522, 107815, 0, 0, 66452, 66443, 0, 0, 0, 25795839, 31973827, 394.890381, 235.551422, 33491437
1392008, 25, 166, 1093143, 86237, 0, 0, 66452, 66443, 0, 0, 0, 19435257, 31789901, 316.249054, 183.872925, 34883428
1523292, 26, 534, 1103155, 77383, 0, 0, 66452, 66437, 0, 0, 0, 11718027, 31463541, 220.203323, 139.074951, 36406703
1155482, 26, 1479, 1259329, 145894, 0, 0, 66452, 66363, 0, 0, 0, 15728335, 31054575, 209.319397, 163.390503, 37562167
1200089, 25, 184, 1039253, 95021, 0, 0, 66452, 66443, 0, 0, 0, 19754387, 31878783, 339.979553, 219.444733, 38762239
1029225, 23, 221, 1028477, 115973, 0, 0, 66452, 66443, 0, 0, 0, 15867845, 31649840, 292.574829, 195.208649, 39791449
1878445, 20, 228, 732765, 93642, 0, 0, 66452, 66443, 0, 0, 0, 30274848, 31982987, 362.913574, 251.223923, 41669882
1197213, 25, 339, 1129147, 226589, 0, 0, 66452, 66373, 0, 0, 0, 14522399, 31003673, 246.539825, 148.668625, 42867079
1367751, 25, 243, 996159, 113153, 0, 0, 66452, 66443, 0, 0, 0, 20171391, 31959291, 296.784119, 224.020660, 44234814
62696, 35, 6135, 532805, 11341, 0, 0, 66452, 66054, 0, 0, 0, 742706, 5764329, 20.015076, 14.172218, 44297494
1355491, 12, 103, 290824, 81929, 0, 0, 66452, 66443, 0, 0, 0, 13034433, 31460421, 292.027405, 146.828552, 45652977
1597083, 28, 343, 792890, 114372, 0, 0, 66452, 66443, 0, 0, 0, 14430527, 31508485, 272.644226, 135.984497, 47250043
47454, 34, 2472, 553691, 2528, 0, 0, 66452, 66052, 0, 0, 0, 3968, 4658017, 9.285333, 7.577720, 47297470
1619203, 22, 270, 609918, 109184, 0, 0, 66452, 66409, 0, 0, 0, 13397417, 31462797, 204.577988, 154.366501, 48916658
1812714, 26, 14251, 869693, 143527, 0, 0, 66452, 66443, 0, 0, 0, 22163550, 31980691, 338.806305, 209.330185, 50729354
1703987, 27, 224, 710113, 104691, 0, 0, 66452, 66443, 0, 0, 0, 25066558, 31973749, 418.421112, 228.220306, 52433323
76132, 27, 1343, 613244, 96218, 0, 0, 66452, 65770, 0, 0, 0, 641604, 11000966, 53.597202, 42.682659, 52509438
99368, 17, 7372, 375285, 71337, 0, 0, 66452, 66066, 0, 0, 0, 2254315, 12908669, 62.980148, 53.091843, 52608795
1568449, 13, 101, 281038, 84803, 0, 0, 66452, 66431, 0, 0, 0, 10259895, 31477645, 248.945023, 164.936310, 54177236
1559500, 28, 484, 776088, 81123, 0, 0, 66452, 66439, 0, 0, 0, 10237157, 31380783, 191.653320, 112.443344, 55736717
1970725, 26, 249, 732141, 152818, 0, 0, 66452, 66443, 0, 0, 0, 20075172, 31945004, 364.044495, 209.344879, 57707425
1809099, 27, 550, 750596, 176358, 0, 0, 66452, 66443, 0, 0, 0, 24069406, 31897983, 302.544495, 221.661041, 59516506
1784440, 26, 198, 587406, 134630, 0, 0, 66452, 66443, 0, 0, 0, 20818216, 31879239, 355.292328, 235.491776, 61300930
1610376, 28, 242, 726035, 119987, 0, 0, 66452, 66439, 0, 0, 0, 14950680, 31660888, 266.603699, 219.648041, 62911287
1388474, 31, 321, 723662, 87313, 0, 0, 66452, 66443, 0, 0, 0, 14169739, 31646682, 281.206268, 186.904800, 64299741
1501984, 24, 211, 591565, 81087, 0, 0, 66452, 66443, 0, 0, 0, 12070545, 31329200, 324.521332, 110.051056, 65801709
118414, 26, 272, 632437, 188206, 0, 0, 66452, 66091, 0, 0, 0, 3048992, 12558933, 146.399185, 98.450073, 65920107
2208280, 13, 111, 278870, 156549, 0, 0, 66452, 66443, 0, 0, 0, 31096418, 31982934, 373.915649, 255.999985, 68128378
1672374, 27, 198, 693052, 124185, 0, 0, 66452, 66443, 0, 0, 0, 19699543, 31896821, 320.599365, 199.316620, 69800734
2093772, 26, 295, 701839, 134943, 0, 0, 66452, 66443, 0, 0, 0, 28035759, 31982975, 377.106354, 255.999985, 71894489
1010762, 25, 204, 612136, 78419, 0, 0, 66452, 66381, 0, 0, 0, 11559200, 31443272, 140.439484, 138.762283, 72905235
57117, 21, 779, 527638, 21363, 0, 0, 66452, 65792, 0, 0, 0, 672358, 6403237, 49.299603, 44.971046, 72962339
1499392, 13, 5227, 285670, 84209, 0, 0, 66452, 66307, 0, 0, 0, 13661307, 30867698, 161.645294, 144.827637, 74461721
1437484, 26, 207, 691307, 85109, 0, 0, 66452, 66443, 0, 0, 0, 17332416, 31684044, 288.605865, 185.668976, 75899189
1675899, 26, 263, 602399, 110977, 0, 0, 66452, 66443, 0, 0, 0, 22957990, 31973784, 393.917816, 235.142502, 77575072
1667589, 25, 256, 699344, 78431, 0, 0, 66452, 66443, 0, 0, 0, 16262624, 31532018, 392.194672, 133.235672, 79242643
1598128, 66, 382, 683543, 102351, 0, 0, 66452, 66443, 0, 0, 0, 20310470, 31860440, 297.375885, 216.457794, 80840714
1513159, 24, 272, 707317, 110467, 0, 0, 66452, 66443, 0, 0, 0, 19632824, 31740028, 293.657837, 210.388519, 82353857
1685476, 26, 251, 681004, 120922, 0, 0, 66452, 66443, 0, 0, 0, 24551650, 31863365, 340.267944, 233.561432, 84039316
1399700, 25, 385, 666911, 86586, 0, 0, 66452, 66443, 0, 0, 0, 14158750, 31617973, 264.003906, 197.790421, 85439001
2034688, 25, 275, 652424, 148756, 0, 0, 66452, 66443, 0, 0, 0, 22686782, 31973790, 316.837128, 254.194427, 87473672
1307510, 25, 240, 720548, 132249, 0, 0, 66452, 66443, 0, 0, 0, 22597257, 31684083, 317.076172, 197.448257, 88781166
1860804, 20, 174, 519556, 144152, 0, 0, 66452, 66443, 0, 0, 0, 21912351, 31818663, 332.819397, 238.223831, 90641958
1198720, 26, 332, 665174, 80432, 0, 0, 66452, 66443, 0, 0, 0, 21039087, 31615825, 317.547363, 181.976120, 91840660
2175333, 24, 267, 579904, 137416, 0, 0, 66452, 66443, 0, 0, 0, 29446749, 31983016, 394.897186, 255.999954, 94015977
1845895, 20, 348, 523114, 118697, 0, 0, 66452, 66443, 0, 0, 0, 28766598, 31983064, 375.942627, 248.706192, 95861859
2030808, 27, 251, 689612, 146087, 0, 0, 66452, 66443, 0, 0, 0, 24039289, 31958305, 337.892029, 229.125748, 97892650
1908065, 25, 429, 682152, 143007, 0, 0, 66452, 66437, 0, 0, 0, 24352254, 31814287, 335.674744, 250.264145, 99800699
2147461, 26, 310, 680996, 145133, 0, 0, 66452, 66443, 0, 0, 0, 28467142, 31982999, 361.991150, 249.717316, 101948143
39305, 21, 4545, 456642, 6475, 0, 0, 66452, 65676, 0, 0, 0, 167515, 2942735, 9.536298, 9.407943, 101987435
1928942, 17, 169, 403411, 119327, 0, 0, 66452, 66443, 0, 0, 0, 25051113, 31837366, 357.554260, 224.809036, 103916366
86940, 26, 250, 607259, 104240, 0, 0, 66452, 66286, 0, 0, 0, 83321, 19757028, 166.728973, 128.962051, 104003288
75174, 15, 112, 303207, 69796, 0, 0, 66452, 66405, 0, 0, 0, 247261, 23875852, 219.928680, 117.036362, 104078452
1433988, 13, 127, 271741, 73314, 0, 0, 66452, 66427, 0, 0, 0, 11860325, 31522685, 267.751007, 180.760208, 105512430
1393778, 25, 250, 591280, 126755, 0, 0, 66452, 66443, 0, 0, 0, 19603851, 31712430, 348.766144, 177.210205, 106906192
1133207, 26, 342, 772601, 99453, 0, 0, 66452, 66443, 0, 0, 0, 19308334, 31699940, 351.485931, 175.279144, 108039383
1421057, 20, 379, 531680, 99270, 0, 0, 66452, 66443, 0, 0, 0, 19014235, 31587109, 361.963440, 164.570847, 109460427
1552809, 25, 515, 637589, 110692, 0, 0, 66452, 66443, 0, 0, 0, 15379905, 31463765, 271.572784, 117.975082, 111013219
71248, 25, 268, 622859, 55142, 0, 0, 66452, 65900, 0, 0, 0, 163158, 12128282, 32.423439, 22.668812, 111084451
2119557, 15, 146, 322450, 134715, 0, 0, 66452, 66443, 0, 0, 0, 30561510, 31982955, 364.427673, 248.308594, 113203997
1987144, 27, 220, 675072, 125855, 0, 0, 66452, 66443, 0, 0, 0, 24235095, 31973748, 379.131561, 219.215881, 115191123
1571485, 26, 269, 577412, 94468, 0, 0, 66452, 66443, 0, 0, 0, 16808851, 31802665, 285.488037, 199.127686, 116762592
1965695, 26, 244, 754763, 105281, 0, 0, 66452, 66443, 0, 0, 0, 29294884, 31982956, 396.789734, 256.000000, 118728269
2084048, 27, 401, 659792, 136193, 0, 0, 66452, 66443, 0, 0, 0, 27531414, 31983103, 313.756958, 255.999985, 120812300
1208138.230000, 23.240000, 1617.750000, 689226.920000, 112161.140000, 0.000000, 0.000000, 66452, 66356.120000, 0.000000, 0.000000, 0.000000, 16057566.590000, 28169569.430000, 270.142365, 171.981998, 120812300.000000
