querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
25413, 11, 94, 332666, 160200, 0, 0, 51263, 50155, 0, 0, 0, 491004, 614823, 404.709717, 17.696831, 25407
28409, 11, 991, 411500, 162577, 0, 0, 51263, 50155, 0, 0, 0, 390551, 586094, 435.710022, 14.898205, 53810
81859, 12, 0, 304132, 157648, 0, 0, 51263, 50156, 0, 0, 0, 357456, 1720389, 402.816681, 17.828831, 135662
16956, 9, 284, 285375, 138353, 0, 0, 51263, 50155, 0, 0, 0, 281433, 324035, 415.444550, 15.856451, 152612
79006, 7, 1, 349550, 126542, 0, 0, 51263, 50156, 0, 0, 0, 1126361, 1241106, 493.789154, 14.364670, 231614
22548, 10, 5, 234075, 1163, 0, 0, 51263, 48349, 0, 0, 0, 4566, 6829360, 15.054003, 15.054003, 254156
24562, 17, 7, 313856, 148012, 0, 0, 51263, 50155, 0, 0, 0, 324324, 4987252, 417.566010, 16.723976, 278705
19590, 9, 3574, 211723, 563, 0, 0, 51263, 48270, 0, 0, 0, 43692, 3202762, 16.485149, 16.485149, 298289
28067, 13, 33, 330169, 124125, 0, 0, 51263, 50155, 0, 0, 0, 963155, 1685594, 532.352966, 15.144853, 326349
22810, 8, 86, 263308, 111531, 0, 0, 51263, 50155, 0, 0, 0, 689039, 1221638, 481.526520, 15.658474, 349154
24401, 9, 1213, 267775, 109361, 0, 0, 51263, 50155, 0, 0, 0, 438798, 5033721, 415.591644, 14.940657, 373549
28411, 7, 796, 249792, 130471, 0, 0, 51263, 50155, 0, 0, 0, 426544, 8802886, 399.450836, 14.938226, 401956
24448, 10, 505, 319692, 1109, 0, 0, 51263, 48365, 0, 0, 0, 27520, 7074101, 14.115511, 14.115511, 426398
10500, 8, 457, 215628, 1103, 0, 0, 51263, 48217, 0, 0, 0, 6130, 126277, 16.976395, 16.976395, 436893
14225, 8, 1366, 283835, 1389, 0, 0, 51263, 48222, 0, 0, 0, 9170, 92331, 15.534547, 15.534547, 451113
20039, 6, 24, 351181, 156838, 0, 0, 51263, 50155, 0, 0, 0, 327378, 525882, 419.851196, 15.949064, 471149
28545, 9, 3708, 400182, 162456, 0, 0, 51263, 50155, 0, 0, 0, 393553, 521418, 330.120331, 20.205748, 499690
27254, 16, 10, 431571, 173685, 0, 0, 51263, 50155, 0, 0, 0, 526036, 567467, 448.977478, 16.048643, 526935
21428, 16, 101, 351056, 175297, 0, 0, 51263, 50155, 0, 0, 0, 287666, 366729, 453.478546, 15.684229, 548354
23435, 9, 30, 375196, 147671, 0, 0, 51263, 50155, 0, 0, 0, 411636, 448227, 468.557037, 16.539322, 571784
73138, 14, 0, 325596, 140412, 0, 0, 51263, 50156, 0, 0, 0, 297590, 1371616, 16.588625, 16.588625, 644914
11600, 10, 547, 254282, 1040, 0, 0, 51263, 48222, 0, 0, 0, 3070, 267109, 15.140232, 15.140232, 656507
18891, 8, 607, 314578, 417, 0, 0, 51263, 48235, 0, 0, 0, 3721, 1628474, 15.695456, 15.695456, 675394
24437, 8, 440, 374494, 150234, 0, 0, 51263, 50155, 0, 0, 0, 645791, 805562, 495.713318, 14.916829, 699826
14685, 8, 858, 271779, 667, 0, 0, 51263, 48226, 0, 0, 0, 3214, 347865, 17.794754, 17.794754, 714506
23682, 8, 62, 359408, 140557, 0, 0, 51263, 50155, 0, 0, 0, 520102, 539969, 522.843628, 16.199396, 738183
28213, 9, 4101, 332873, 150065, 0, 0, 51263, 50155, 0, 0, 0, 394280, 402370, 454.834076, 15.173077, 766390
26261, 16, 23, 446268, 170149, 0, 0, 51263, 50155, 0, 0, 0, 463152, 548116, 463.438110, 15.217175, 792642
