querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
247, 5, 241, 0, 0, 0, 0, 66928, 0, 0, 0, 0, 643, 1178, 0.000000, 0.000000, 244
383309, 2, 1361, 860875, 79982, 0, 0, 66928, 66928, 0, 0, 0, 82486725, 100005667, 63.593685, 34.549793, 383551
106, 7, 99, 0, 0, 0, 0, 66928, 0, 0, 0, 0, 189, 784, 63.593685, 0.000000, 383653
312409, 1, 998, 495474, 73602, 0, 0, 66928, 66928, 0, 0, 0, 61353056, 100004388, 48.437202, 38.919632, 696062
2440, 6, 2433, 0, 0, 0, 0, 66928, 0, 0, 0, 0, 8687, 17312, 48.437202, 0.000000, 698498
352, 2, 350, 0, 0, 0, 0, 66928, 0, 0, 0, 0, 1545, 1666, 48.437202, 0.000000, 698849
98624, 2, 751, 506596, 133817, 0, 0, 66928, 66928, 0, 0, 0, 1056210, 73048458, 35.980797, 15.690112, 797472
20456, 5, 1341, 533160, 148378, 0, 0, 66928, 66928, 0, 0, 0, 1000898, 1018387, 78.516571, 0.000000, 817926
364927, 7, 195, 482004, 72175, 0, 0, 66928, 66928, 0, 0, 0, 87780656, 100000696, 70.570541, 42.899731, 1182849
256177, 6, 635, 494687, 76798, 0, 0, 66928, 66928, 0, 0, 0, 39891299, 100002815, 53.152588, 35.166306, 1439023
317533, 6, 517, 502298, 72308, 0, 0, 66928, 66928, 0, 0, 0, 67730882, 100002314, 68.609085, 36.619648, 1756552
117703, 7, 115, 490217, 92621, 0, 0, 66928, 66928, 0, 0, 0, 595074, 92353141, 77.911125, 11.109506, 1874251
150100, 13, 906, 424771, 75052, 0, 0, 66928, 66928, 0, 0, 0, 6057221, 99801047, 15.164784, 15.164784, 2024343
351463, 7, 1358, 518517, 72510, 0, 0, 66928, 66928, 0, 0, 0, 84516492, 100005688, 70.423508, 37.922192, 2375801
60206, 6, 527, 242626, 33550, 0, 0, 66928, 65934, 0, 0, 0, 176913, 47935093, 13.829055, 13.402409, 2436003
392197, 6, 362, 525603, 82487, 0, 0, 66928, 66928, 0, 0, 0, 98567584, 100001253, 87.927040, 51.779781, 2828197
49528, 7, 491, 276332, 69270, 0, 0, 66928, 65620, 0, 0, 0, 42606, 35855019, 11.827599, 10.243480, 2877721
394881, 6, 452, 502395, 78838, 0, 0, 66928, 66928, 0, 0, 0, 96569066, 100001527, 83.853058, 55.759556, 3272599
217994, 6, 511, 534013, 95768, 0, 0, 66928, 66928, 0, 0, 0, 30040152, 100002239, 68.707405, 30.069393, 3490590
159760, 6, 701, 506624, 80466, 0, 0, 66928, 66928, 0, 0, 0, 11953088, 100003082, 22.944498, 16.314886, 3650347
189679, 6, 224, 502194, 65363, 0, 0, 66928, 66928, 0, 0, 0, 20642459, 99995340, 38.637886, 28.263241, 3840023
223183, 6, 405, 501452, 103884, 0, 0, 66928, 66928, 0, 0, 0, 32043139, 100001578, 79.162994, 22.642014, 4063203
143864, 13, 319, 423889, 68630, 0, 0, 66928, 66928, 0, 0, 0, 2953202, 99382497, 58.291924, 16.834091, 4207061
265162, 8, 430, 507759, 77470, 0, 0, 66928, 66928, 0, 0, 0, 46448460, 100001512, 52.984341, 32.403099, 4472218
165545, 6, 970, 506284, 170906, 0, 0, 66928, 66928, 0, 0, 0, 14976452, 95644756, 42.817924, 15.549284, 4637759
160833, 5, 62, 503364, 136105, 0, 0, 66928, 66928, 0, 0, 0, 11846065, 99150060, 68.860451, 16.141333, 4798590
248124, 6, 323, 502589, 133259, 0, 0, 66928, 66928, 0, 0, 0, 42296034, 100001020, 74.859917, 24.506615, 5046710
310000, 6, 3240, 504764, 84359, 0, 0, 66928, 66928, 0, 0, 0, 66300628, 100015418, 57.605183, 41.248035, 5356707
131904, 6, 337, 504348, 99818, 0, 0, 66928, 66928, 0, 0, 0, 3937721, 93653712, 56.232162, 14.576103, 5488608
279462, 6, 2371, 543334, 134699, 0, 0, 66928, 66928, 0, 0, 0, 54876154, 100009902, 69.596306, 40.810959, 5768067
23331, 6, 117, 526577, 124525, 0, 0, 66928, 66926, 0, 0, 0, 127947, 7979685, 20.698332, 3.424041, 5791394
19450, 7, 439, 449840, 154115, 0, 0, 66928, 66928, 0, 0, 0, 1065507, 1076344, 70.378059, 0.000000, 5810840
214, 8, 204, 0, 0, 0, 0, 66928, 0, 0, 0, 0, 515, 683, 70.378059, 0.000000, 5811049
307040, 3, 305, 413806, 91100, 0, 0, 66928, 66928, 0, 0, 0, 59836932, 100000948, 53.672417, 30.182119, 6118088
312740, 6, 256, 502859, 69826, 0, 0, 66928, 66928, 0, 0, 0, 67183737, 100001138, 81.406609, 31.217703, 6430825
110485, 6, 185, 499055, 155441, 0, 0, 66928, 66928, 0, 0, 0, 1292769, 81045139, 25.060843, 13.718361, 6541305
374318, 14, 2262, 424901, 83765, 0, 0, 66928, 66928, 0, 0, 0, 91090919, 100005963, 54.761806, 42.414009, 6915616
312815, 6, 820, 511825, 80463, 0, 0, 66928, 66928, 0, 0, 0, 64607267, 100003617, 111.726105, 26.125694, 7228428
341270, 6, 454, 505124, 73515, 0, 0, 66928, 66928, 0, 0, 0, 85491583, 100001892, 64.036728, 44.360229, 7569695
357169, 7, 1437, 497431, 77240, 0, 0, 66928, 66928, 0, 0, 0, 84624491, 100006321, 57.530369, 46.439201, 7926860
547, 7, 540, 0, 0, 0, 0, 66928, 0, 0, 0, 0, 1130, 5868, 57.530369, 0.000000, 7927403
191932, 1, 646, 499476, 103321, 0, 0, 66928, 66928, 0, 0, 0, 24017976, 100002763, 56.409760, 17.250511, 8119335
293714, 13, 151, 438507, 75503, 0, 0, 66928, 66928, 0, 0, 0, 55112429, 100000337, 36.967216, 33.562279, 8413042
346044, 7, 581, 506403, 77104, 0, 0, 66928, 66928, 0, 0, 0, 90659448, 100002522, 86.428078, 38.470444, 8759082
105667, 6, 411, 499544, 146889, 0, 0, 66928, 66928, 0, 0, 0, 428368, 78470052, 30.286947, 10.729239, 8864746
149559, 6, 572, 494143, 64351, 0, 0, 66928, 66928, 0, 0, 0, 7836100, 99896565, 20.726749, 20.726749, 9014301
311, 7, 304, 0, 0, 0, 0, 66928, 0, 0, 0, 0, 770, 2565, 20.726749, 0.000000, 9014608
194, 1, 192, 0, 0, 0, 0, 66928, 0, 0, 0, 0, 226, 2343, 20.726749, 0.000000, 9014802
366536, 2, 501, 508667, 75296, 0, 0, 66928, 66928, 0, 0, 0, 96727995, 100002187, 65.417435, 38.584209, 9381337
306419, 6, 113, 490195, 75086, 0, 0, 66928, 66928, 0, 0, 0, 66233617, 100000438, 38.990135, 31.155128, 9687752
362856, 7, 227, 512480, 78415, 0, 0, 66928, 66928, 0, 0, 0, 88760035, 100000902, 65.145500, 37.952042, 10050604
201694, 5, 394, 521320, 71207, 0, 0, 66928, 66928, 0, 0, 0, 23705251, 100001560, 72.608711, 23.312555, 10252296
392541, 7, 112, 507978, 77444, 0, 0, 66928, 66928, 0, 0, 0, 98810918, 100000414, 79.177414, 49.313831, 10644833
164828, 8, 539, 525828, 77680, 0, 0, 66928, 66928, 0, 0, 0, 11559232, 100002318, 41.035439, 16.106730, 10809657
251345, 13, 4281, 422450, 86690, 0, 0, 66928, 66928, 0, 0, 0, 42973229, 100010517, 86.382225, 33.292774, 11060996
