querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
12021, 13, 866, 306536, 2953, 0, 0, 66872, 65536, 0, 0, 0, 2, 11618, 0.000000, 0.000000, 12017
13370, 7, 1239, 334362, 637, 0, 0, 66872, 65536, 0, 0, 0, 783, 73692, 0.003883, 0.003883, 25384
13124, 5, 978, 344628, 1020, 0, 0, 66872, 65536, 0, 0, 0, 781, 109220, 0.015523, 0.015523, 38506
13238, 14, 1251, 343075, 2137, 0, 0, 66872, 65536, 0, 0, 0, 779, 135706, 0.034906, 0.034906, 51740
13608, 4, 1231, 315496, 1401, 0, 0, 66872, 65536, 0, 0, 0, 780, 172447, 0.062013, 0.062013, 65347
12903, 5, 1178, 323679, 1419, 0, 0, 66872, 65536, 0, 0, 0, 780, 191249, 0.096824, 0.096824, 78249
13724, 5, 1001, 352283, 784, 0, 0, 66872, 65536, 0, 0, 0, 783, 251104, 0.139316, 0.139316, 91971
14473, 5, 1069, 330306, 238, 0, 0, 66872, 65538, 0, 0, 0, 783, 442727, 0.189462, 0.189462, 106442
14881, 8, 1606, 286681, 304, 0, 0, 66872, 65538, 0, 0, 0, 783, 603732, 0.247234, 0.247234, 121321
15238, 6, 1265, 328094, 354, 0, 0, 66872, 65538, 0, 0, 0, 786, 774342, 0.312600, 0.312600, 136557
16345, 8, 1878, 273520, 508, 0, 0, 66872, 65538, 0, 0, 0, 788, 953633, 0.385527, 0.385527, 152899
24072, 17, 3659, 406113, 628, 0, 0, 66872, 65542, 0, 0, 0, 788, 1313996, 0.465978, 0.465978, 176965
19879, 11, 2164, 311266, 903, 0, 0, 66872, 65542, 0, 0, 0, 788, 1792849, 0.553913, 0.553913, 196840
19404, 9, 1282, 279811, 993, 0, 0, 66872, 65542, 0, 0, 0, 789, 2331442, 0.649291, 0.649291, 216240
35401, 12, 2659, 773730, 232668, 0, 0, 66872, 66872, 0, 0, 0, 111274, 2835726, 24.619120, 0.752068, 251636
