querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
105635, 10, 343, 787387, 106432, 0, 0, 65764, 65764, 0, 0, 0, 4999461, 5000751, 407.899750, 339.123413, 105630
9462, 10, 773, 185652, 1089, 0, 0, 65764, 65564, 0, 0, 0, 252, 524577, 3.037650, 0.365176, 115086
72665, 8, 86, 393207, 211645, 0, 0, 65764, 65764, 0, 0, 0, 4182656, 5000107, 384.961609, 304.093292, 187747
9202, 10, 1075, 184497, 1228, 0, 0, 65764, 65624, 0, 0, 0, 31, 398502, 1.638407, 1.638407, 196943
46268, 10, 472, 391918, 162469, 0, 0, 65764, 65764, 0, 0, 0, 2389240, 4991877, 219.862183, 194.679367, 243206
44803, 11, 146, 384237, 160526, 0, 0, 65764, 65764, 0, 0, 0, 2434516, 5000289, 241.160477, 187.058197, 288003
9866, 10, 765, 221342, 256, 0, 0, 65764, 65594, 0, 0, 0, 26, 310503, 4.450531, 3.834274, 297864
7824, 9, 41, 189945, 28919, 0, 0, 65764, 65562, 0, 0, 0, 59, 180116, 5.100170, 1.939525, 305683
11845, 7, 791, 184002, 677, 0, 0, 65764, 65564, 0, 0, 0, 762, 545700, 2.878123, 0.892898, 317525
46711, 10, 17, 429491, 302820, 0, 0, 65764, 65764, 0, 0, 0, 2002928, 4999956, 437.970459, 251.283997, 364231
8619, 10, 547, 186767, 1575, 0, 0, 65764, 65562, 0, 0, 0, 30, 322208, 1.697101, 1.697101, 372844
10519, 9, 644, 210360, 367, 0, 0, 65764, 65624, 0, 0, 0, 158, 412601, 0.213598, 0.119568, 383359
76002, 9, 94, 403979, 179475, 0, 0, 65764, 65764, 0, 0, 0, 4753625, 5000122, 376.914703, 322.906403, 459356
10277, 10, 49, 216616, 18036, 0, 0, 65764, 65624, 0, 0, 0, 682, 589118, 11.316355, 3.514809, 469628
10816, 9, 324, 215993, 7897, 0, 0, 65764, 65696, 0, 0, 0, 56, 1158291, 6.178798, 6.178798, 480439
11224, 11, 572, 239442, 603, 0, 0, 65764, 65558, 0, 0, 0, 89, 376844, 4.954917, 4.848814, 491656
21894, 13, 17, 298843, 168008, 0, 0, 65764, 65654, 0, 0, 0, 133, 2227218, 107.958275, 102.810837, 513544
21322, 16, 1382, 407379, 21799, 0, 0, 65764, 65696, 0, 0, 0, 212, 1236056, 13.943946, 12.769118, 534859
58345, 19, 101, 489840, 411282, 0, 0, 65764, 65764, 0, 0, 0, 1822329, 5000049, 389.895020, 253.340530, 593196
13040, 11, 10, 232489, 101216, 0, 0, 65764, 65646, 0, 0, 0, 266, 986970, 71.203033, 5.605164, 606230
11399, 10, 1250, 207591, 531, 0, 0, 65764, 65562, 0, 0, 0, 161, 409492, 2.490295, 2.319895, 617623
41063, 9, 63, 416761, 216599, 0, 0, 65764, 65764, 0, 0, 0, 1905127, 4978945, 190.432739, 151.521973, 658681
80316, 10, 24, 393791, 402502, 0, 0, 65764, 65764, 0, 0, 0, 4998085, 4999968, 421.063110, 338.448669, 738992
10226, 11, 31, 224531, 43716, 0, 0, 65764, 65564, 0, 0, 0, 88, 552902, 10.524566, 1.670906, 749212
22952, 10, 745, 258045, 178784, 0, 0, 65764, 65638, 0, 0, 0, 311950, 2499532, 112.728157, 108.396278, 772159
11586, 11, 1276, 229444, 38026, 0, 0, 65764, 65624, 0, 0, 0, 641, 528889, 12.198133, 0.887677, 783739
14114, 15, 79, 288785, 56347, 0, 0, 65764, 65564, 0, 0, 0, 243, 350018, 12.913507, 5.915697, 797845
15677, 11, 962, 285433, 218, 0, 0, 65764, 65564, 0, 0, 0, 1198, 474993, 2.138191, 0.362603, 813516
17821, 15, 1585, 327500, 699, 0, 0, 65764, 65608, 0, 0, 0, 21, 409277, 0.480697, 0.480697, 831330
88014, 13, 92, 593171, 480579, 0, 0, 65764, 65764, 0, 0, 0, 5000092, 5000092, 410.006561, 325.659454, 919338
15567, 10, 1106, 197288, 174921, 0, 0, 65764, 65566, 0, 0, 0, 146282, 1229605, 38.693974, 35.937550, 934899
22825, 12, 10, 373323, 198441, 0, 0, 65764, 65736, 0, 0, 0, 21758, 2947317, 176.826462, 114.644341, 957718
19377, 16, 27, 312378, 158802, 0, 0, 65764, 65684, 0, 0, 0, 222, 2321032, 165.528427, 115.778427, 977087
11466, 14, 155, 218074, 38394, 0, 0, 65764, 65622, 0, 0, 0, 1444, 853180, 19.180492, 18.711531, 988547
23004, 10, 20, 271419, 270620, 0, 0, 65764, 65636, 0, 0, 0, 153225, 2475648, 112.251854, 95.383003, 1011545
22568, 12, 4894, 223691, 71699, 0, 0, 65764, 65584, 0, 0, 0, 96245, 1349606, 17.472527, 17.472527, 1034106
14267, 15, 1459, 244784, 244, 0, 0, 65764, 65566, 0, 0, 0, 2121, 512242, 1.980102, 1.470447, 1048363
28719, 12, 1125, 334084, 349836, 0, 0, 65764, 65696, 0, 0, 0, 319171, 2171550, 70.786591, 67.701973, 1077075
18170, 18, 1629, 338593, 4665, 0, 0, 65764, 65624, 0, 0, 0, 1315, 566569, 2.990613, 1.755522, 1095235
23364, 21, 31, 360485, 204054, 0, 0, 65764, 65624, 0, 0, 0, 697, 1477070, 52.609264, 26.423361, 1118587
87572, 24, 375, 500284, 264706, 0, 0, 65764, 65764, 0, 0, 0, 5000332, 5000332, 419.852325, 345.895233, 1206146
18717, 14, 19, 246200, 145750, 0, 0, 65764, 65696, 0, 0, 0, 140367, 2366825, 60.016769, 53.962894, 1224854
38335, 14, 2568, 402493, 281519, 0, 0, 65764, 65702, 0, 0, 0, 641510, 4563961, 130.963120, 126.116547, 1263181
19398, 13, 1957, 226032, 127338, 0, 0, 65764, 65624, 0, 0, 0, 87041, 1059037, 35.282547, 34.010883, 1282571
