querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
108983, 10, 234, 889267, 163503, 0, 0, 67892, 67719, 0, 0, 0, 197738, 29355096, 255.985428, 160.474472, 108976
61145, 9, 103, 486145, 184023, 0, 0, 67892, 67719, 0, 0, 0, 163691, 26820995, 255.992569, 140.200012, 170115
34118, 10, 1888, 485056, 176935, 0, 0, 67892, 67719, 0, 0, 0, 286823, 8123845, 255.981659, 8.134409, 204226
28838, 10, 2277, 492394, 139734, 0, 0, 67892, 67719, 0, 0, 0, 349079, 6416111, 255.990540, 6.328071, 233056
44555, 10, 100, 489700, 192451, 0, 0, 67892, 67719, 0, 0, 0, 71992, 17852890, 255.990051, 107.638672, 277605
34640, 10, 5108, 492526, 215476, 0, 0, 67892, 67719, 0, 0, 0, 314294, 7175409, 255.970459, 29.842978, 312239
32277, 10, 1297, 477921, 201231, 0, 0, 67892, 67719, 0, 0, 0, 266912, 8717721, 255.987183, 11.716393, 344509
17653, 10, 1543, 241502, 60083, 0, 0, 67892, 66280, 0, 0, 0, 5303, 4786116, 96.154861, 9.954462, 362155
73871, 10, 166, 511437, 241311, 0, 0, 67892, 67719, 0, 0, 0, 97351, 24443487, 255.994247, 64.074570, 436019
21138, 9, 1770, 265077, 106450, 0, 0, 67892, 66487, 0, 0, 0, 15821, 6956159, 114.503090, 10.271837, 457151
21235, 10, 659, 202445, 64168, 0, 0, 67892, 66004, 0, 0, 0, 15654, 7677784, 34.773838, 25.018686, 478380
33745, 11, 69, 506769, 198054, 0, 0, 67892, 67719, 0, 0, 0, 89029, 10382489, 255.992142, 102.369072, 512118
80757, 10, 186, 499810, 218783, 0, 0, 67892, 67719, 0, 0, 0, 133528, 27882465, 255.992401, 121.175705, 592869
47321, 10, 1004, 485219, 163900, 0, 0, 67892, 67231, 0, 0, 0, 43701, 19972253, 140.469421, 73.848831, 640183
81156, 11, 1136, 468216, 198269, 0, 0, 67892, 66658, 0, 0, 0, 92725, 28581122, 204.646896, 127.825333, 721332
16679, 11, 1792, 322544, 102521, 0, 0, 67892, 66835, 0, 0, 0, 7913, 3380082, 154.756622, 7.556457, 738004
20014, 9, 1614, 257446, 60536, 0, 0, 67892, 66342, 0, 0, 0, 9396, 5184639, 198.395004, 1.750371, 758012
88087, 10, 193, 512769, 177036, 0, 0, 67892, 67719, 0, 0, 0, 227736, 29408060, 255.998215, 145.661301, 846093
90544, 16, 135, 461246, 305314, 0, 0, 67892, 67719, 0, 0, 0, 86100, 27522947, 255.994537, 105.415894, 936627
67743, 9, 398, 515517, 204929, 0, 0, 67892, 67719, 0, 0, 0, 284214, 27915343, 255.980835, 158.617157, 1004364
45168, 11, 1249, 492249, 142176, 0, 0, 67892, 67719, 0, 0, 0, 159639, 18227389, 255.994888, 133.687012, 1049524
83981, 10, 205, 494398, 166402, 0, 0, 67892, 67719, 0, 0, 0, 162207, 29320348, 255.986679, 101.880653, 1133499
79823, 10, 169, 454520, 152369, 0, 0, 67892, 66610, 0, 0, 0, 101687, 28624153, 142.229919, 125.038986, 1213315
58411, 9, 129, 494350, 164214, 0, 0, 67892, 67719, 0, 0, 0, 191966, 26634293, 255.991638, 142.428589, 1271720
74296, 12, 350, 478015, 161430, 0, 0, 67892, 67719, 0, 0, 0, 168346, 25920799, 255.988068, 108.611481, 1346008
74017, 11, 329, 487418, 179502, 0, 0, 67892, 67719, 0, 0, 0, 119331, 26207657, 255.978836, 102.284157, 1420016
17665, 11, 1731, 261620, 84293, 0, 0, 67892, 66487, 0, 0, 0, 15370, 5253654, 80.764771, 3.007715, 1437674
82906, 10, 74, 471896, 194544, 0, 0, 67892, 67719, 0, 0, 0, 189475, 28742021, 255.995895, 135.470551, 1520574
28515, 10, 85, 480786, 224189, 0, 0, 67892, 67719, 0, 0, 0, 51228, 7124096, 255.987488, 34.015839, 1549083
71215, 10, 87, 492437, 218925, 0, 0, 67892, 67719, 0, 0, 0, 151353, 23551037, 255.994507, 74.786240, 1620292
34198, 10, 249, 498304, 187217, 0, 0, 67892, 67719, 0, 0, 0, 104821, 11171177, 255.979462, 84.753769, 1654484
19115, 9, 2887, 194520, 68738, 0, 0, 67892, 65782, 0, 0, 0, 20287, 4836324, 63.351120, 12.021811, 1673593
13768, 11, 1222, 218012, 39501, 0, 0, 67892, 66157, 0, 0, 0, 2440, 1878110, 52.838673, 1.861399, 1687353
18430, 10, 1501, 238432, 89373, 0, 0, 67892, 65891, 0, 0, 0, 10096, 2942998, 61.715088, 30.488173, 1705776
28359, 9, 59, 560969, 235026, 0, 0, 67892, 67719, 0, 0, 0, 37427, 5526358, 255.987122, 30.015633, 1734129
86065, 10, 89, 502097, 226210, 0, 0, 67892, 67719, 0, 0, 0, 118145, 28714994, 255.984985, 133.739029, 1820188
