querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
164700, 11, 251, 989540, 25677, 0, 0, 66158, 65610, 0, 0, 0, 183608, 1661757, 96.164314, 62.247360, 164695
17449, 11, 730, 236753, 609, 0, 0, 66158, 65530, 0, 0, 0, 23, 133934, 5.631339, 5.631339, 182137
28423, 8, 183, 236638, 7142, 0, 0, 66158, 65564, 0, 0, 0, 12243, 919211, 29.198050, 29.198050, 210555
11300, 11, 1606, 245444, 206, 0, 0, 66158, 65530, 0, 0, 0, 120, 90765, 3.371729, 3.371729, 221849
11699, 7, 1716, 229686, 5629, 0, 0, 66158, 65560, 0, 0, 0, 137, 360732, 33.704010, 6.185989, 233544
88444, 7, 124, 280038, 183405, 0, 0, 66158, 65784, 0, 0, 0, 3184, 4089062, 107.154747, 107.154747, 321984
12463, 11, 971, 241775, 20643, 0, 0, 66158, 65534, 0, 0, 0, 2764, 384339, 13.997404, 13.997404, 334441
10969, 9, 804, 234258, 22953, 0, 0, 66158, 65548, 0, 0, 0, 4021, 436776, 32.760433, 24.051296, 345404
12164, 8, 1580, 275017, 13480, 0, 0, 66158, 65558, 0, 0, 0, 424, 144529, 16.106848, 0.000000, 357562
33168, 9, 6452, 409489, 244893, 0, 0, 66158, 65562, 0, 0, 0, 52547, 1047443, 44.648212, 38.112732, 390725
17450, 11, 1869, 324822, 675, 0, 0, 66158, 65540, 0, 0, 0, 53, 159405, 2.832206, 2.832206, 408168
25836, 8, 311, 381815, 146963, 0, 0, 66158, 65604, 0, 0, 0, 87570, 1400257, 58.947063, 49.776207, 433999
15520, 12, 169, 279581, 2040, 0, 0, 66158, 65540, 0, 0, 0, 109, 257371, 1.110186, 0.506250, 449512
16015, 10, 757, 335686, 30020, 0, 0, 66158, 65558, 0, 0, 0, 254, 234298, 46.175713, 2.831873, 465521
16013, 9, 1467, 326332, 13883, 0, 0, 66158, 65534, 0, 0, 0, 52, 161314, 3.310160, 3.081250, 481529
16838, 8, 1621, 345446, 1483, 0, 0, 66158, 65538, 0, 0, 0, 457, 199290, 7.334002, 7.334002, 498362
17430, 7, 1398, 346224, 651, 0, 0, 66158, 65544, 0, 0, 0, 25, 123178, 0.348326, 0.348326, 515788
20729, 8, 1682, 419067, 25122, 0, 0, 66158, 65570, 0, 0, 0, 430, 200790, 10.632188, 0.502818, 536512
47396, 17, 128, 500020, 338429, 0, 0, 66158, 65982, 0, 0, 0, 8178, 4066519, 269.782990, 124.780502, 583901
10240, 20, 551, 264378, 3598, 0, 0, 66158, 65530, 0, 0, 0, 46, 78401, 2.699768, 0.978197, 594127
11498, 9, 1268, 235407, 634, 0, 0, 66158, 65542, 0, 0, 0, 51, 111914, 0.821146, 0.821146, 605620
14546, 7, 1600, 255120, 306, 0, 0, 66158, 65532, 0, 0, 0, 33, 139464, 0.519804, 0.470098, 620161
14987, 6, 839, 323096, 38528, 0, 0, 66158, 65578, 0, 0, 0, 2260, 267078, 9.815533, 2.395940, 635145
2844142, 7, 6143, 465554, 306704, 0, 0, 66158, 65978, 0, 0, 0, 12298763, 15173887, 285.870911, 218.710754, 3479283
26546, 26, 3669, 549880, 974, 0, 0, 66158, 65542, 0, 0, 0, 52, 172044, 7.878874, 6.422733, 3505816
23925, 17, 756, 545656, 12016, 0, 0, 66158, 65530, 0, 0, 0, 20, 138302, 1.705613, 1.705613, 3529731
23719, 20, 427, 534634, 32761, 0, 0, 66158, 65552, 0, 0, 0, 46, 224136, 1.272390, 0.499470, 3553439
48439, 21, 195, 659209, 395463, 0, 0, 66158, 65954, 0, 0, 0, 3363, 3766930, 271.184631, 165.894638, 3601867
36053, 16, 14, 469807, 216847, 0, 0, 66158, 65982, 0, 0, 0, 47436, 4338570, 453.344879, 191.295517, 3637911
13600, 14, 483, 302310, 19006, 0, 0, 66158, 65574, 0, 0, 0, 6378, 567745, 7.528666, 6.114902, 3651503
14287, 12, 13, 323385, 99836, 0, 0, 66158, 65630, 0, 0, 0, 3898, 483493, 123.326736, 46.039604, 3665783
10896, 11, 591, 275712, 3116, 0, 0, 66158, 65530, 0, 0, 0, 17, 42726, 10.488314, 10.488314, 3676673
15234, 8, 1607, 284808, 8292, 0, 0, 66158, 65554, 0, 0, 0, 143, 221366, 17.204418, 2.247051, 3691903
19291, 8, 1955, 368900, 345, 0, 0, 66158, 65566, 0, 0, 0, 122, 261137, 4.563198, 1.354160, 3711190
19251, 11, 1373, 442786, 2185, 0, 0, 66158, 65540, 0, 0, 0, 34, 124805, 1.977967, 1.680820, 3730436
