querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
596512, 11, 1375, 685607, 121601, 0, 0, 66076, 65875, 0, 0, 0, 38998203, 87326292, 295.489441, 217.268494, 596508
176668, 12, 679, 392123, 66811, 0, 0, 66076, 65875, 0, 0, 0, 203923, 87109900, 225.169250, 147.639908, 773170
163738, 11, 446, 412532, 66921, 0, 0, 66076, 65875, 0, 0, 0, 72868, 87109353, 284.825806, 124.486542, 936902
298021, 11, 523, 393172, 89832, 0, 0, 66076, 65875, 0, 0, 0, 19251461, 87325094, 246.900726, 184.155121, 1234917
104916, 10, 426, 390673, 173691, 0, 0, 66076, 65632, 0, 0, 0, 2891, 69641780, 154.680618, 120.844978, 1339827
137396, 9, 189, 394173, 69272, 0, 0, 66076, 65643, 0, 0, 0, 18531, 87108844, 216.395782, 127.045845, 1477218
172993, 9, 521, 390690, 68973, 0, 0, 66076, 65875, 0, 0, 0, 1543940, 87109625, 237.082169, 167.251038, 1650206
153339, 9, 724, 408222, 69323, 0, 0, 66076, 65634, 0, 0, 0, 106254, 87111366, 172.111923, 154.674896, 1803540
176760, 9, 543, 394632, 74653, 0, 0, 66076, 65875, 0, 0, 0, 1558554, 87109664, 255.608139, 162.522446, 1980295
27640, 22, 371, 457064, 35563, 0, 0, 66076, 65536, 0, 0, 0, 126, 5814337, 70.055618, 41.256969, 2007925
324381, 14, 2517, 391712, 96717, 0, 0, 66076, 65875, 0, 0, 0, 24058445, 87330682, 186.636215, 165.862076, 2332297
263113, 12, 769, 387627, 86438, 0, 0, 66076, 65875, 0, 0, 0, 11408878, 87325848, 215.959625, 184.297760, 2595404
278079, 13, 796, 406762, 84604, 0, 0, 66076, 65875, 0, 0, 0, 15653722, 87325277, 258.977051, 157.931213, 2873476
176701, 19, 416, 405948, 71474, 0, 0, 66076, 65875, 0, 0, 0, 32913, 87109204, 248.690933, 130.274887, 3050170
168009, 9, 794, 394257, 69935, 0, 0, 66076, 65875, 0, 0, 0, 108594, 87111505, 269.476227, 127.069702, 3218174
179591, 10, 363, 374451, 80710, 0, 0, 66076, 65875, 0, 0, 0, 2657274, 87109023, 241.126602, 179.548904, 3397760
172188, 10, 281, 365268, 75653, 0, 0, 66076, 65875, 0, 0, 0, 513570, 87108868, 247.743195, 170.973923, 3569943
790452, 11, 547, 356465, 143130, 0, 0, 66076, 65875, 0, 0, 0, 57771473, 87324716, 296.468140, 248.867752, 4360391
189185, 18, 627, 442951, 71831, 0, 0, 66076, 65875, 0, 0, 0, 190802, 87109428, 297.887054, 143.385269, 4549566
413742, 12, 927, 378593, 108045, 0, 0, 66076, 65875, 0, 0, 0, 26491524, 87325967, 265.521851, 205.413025, 4963301
207425, 18, 451, 478932, 78340, 0, 0, 66076, 65875, 0, 0, 0, 3037633, 87108814, 242.328918, 182.777618, 5170718
436398, 11, 851, 361955, 111043, 0, 0, 66076, 65875, 0, 0, 0, 38438408, 87325738, 257.978729, 190.047455, 5607110
241745, 12, 669, 388776, 78537, 0, 0, 66076, 65875, 0, 0, 0, 8876242, 87325364, 282.261993, 175.201584, 5848849
202375, 20, 574, 476542, 85438, 0, 0, 66076, 65875, 0, 0, 0, 79794, 87108794, 262.790344, 141.163986, 6051216
242423, 12, 408, 366230, 83810, 0, 0, 66076, 65875, 0, 0, 0, 11184912, 87324509, 252.235901, 171.076935, 6293632
361178, 11, 2330, 372423, 93343, 0, 0, 66076, 65875, 0, 0, 0, 24212430, 87330356, 255.999985, 201.524429, 6654805
189257, 16, 506, 402523, 72898, 0, 0, 66076, 65875, 0, 0, 0, 638730, 87108961, 299.116760, 162.945328, 6844054
295287, 11, 682, 359427, 91103, 0, 0, 66076, 65875, 0, 0, 0, 23547710, 87325292, 227.824463, 194.481155, 7139335
467052, 12, 468, 365351, 113350, 0, 0, 66076, 65875, 0, 0, 0, 41502235, 87324638, 311.054443, 209.982590, 7606381
246247, 16, 409, 360783, 81516, 0, 0, 66076, 65875, 0, 0, 0, 9044194, 87324451, 270.673859, 157.164444, 7852619
187994, 15, 924, 402705, 74816, 0, 0, 66076, 65634, 0, 0, 0, 15789, 87111541, 176.795746, 131.958099, 8040605
268355, 11, 453, 352624, 81160, 0, 0, 66076, 65875, 0, 0, 0, 8322978, 87324632, 301.342957, 176.389191, 8308954
268991, 26, 609, 498446, 83222, 0, 0, 66076, 65875, 0, 0, 0, 6309437, 87324401, 271.792908, 175.430099, 8577937
267183, 24, 924, 496140, 86694, 0, 0, 66076, 65875, 0, 0, 0, 13865178, 87325127, 216.572784, 191.212799, 8845106
180684, 11, 298, 357153, 77778, 0, 0, 66076, 65875, 0, 0, 0, 654027, 87108854, 289.836914, 163.357971, 9025784
311967, 11, 371, 345756, 95554, 0, 0, 66076, 65875, 0, 0, 0, 21532580, 87324296, 265.950745, 183.865067, 9337746
163064, 13, 594, 380892, 80791, 0, 0, 66076, 65643, 0, 0, 0, 125217, 87109615, 193.631821, 154.893814, 9500804
186077, 10, 662, 353733, 74940, 0, 0, 66076, 65875, 0, 0, 0, 1543474, 87110009, 251.210098, 174.735184, 9686876
190586, 10, 354, 347751, 78390, 0, 0, 66076, 65875, 0, 0, 0, 2653740, 87108977, 268.536774, 174.501190, 9877458
502815, 11, 385, 354875, 118849, 0, 0, 66076, 65875, 0, 0, 0, 45328906, 87324366, 296.850250, 190.393585, 10380267
180413, 12, 976, 392211, 76043, 0, 0, 66076, 65634, 0, 0, 0, 4152, 87113292, 170.635162, 106.782005, 10560672
177959, 12, 305, 359844, 79980, 0, 0, 66076, 65875, 0, 0, 0, 302363, 87108819, 260.178497, 163.529907, 10738625
178236, 11, 246, 349942, 77053, 0, 0, 66076, 65634, 0, 0, 0, 42281, 87109370, 162.536072, 140.182251, 10916855
175576, 11, 351, 360795, 77685, 0, 0, 66076, 65875, 0, 0, 0, 19110, 87109112, 226.139938, 119.883598, 11092426
157451, 9, 663, 357280, 81552, 0, 0, 66076, 65632, 0, 0, 0, 707, 87112088, 143.051086, 136.432861, 11249873
372106, 10, 487, 360348, 99099, 0, 0, 66076, 65875, 0, 0, 0, 26880374, 87324640, 254.792053, 206.949310, 11621973
209103, 13, 449, 433380, 80967, 0, 0, 66076, 65875, 0, 0, 0, 3122210, 87108976, 291.578735, 175.126724, 11831069
188427, 11, 349, 358969, 82583, 0, 0, 66076, 65875, 0, 0, 0, 185719, 87108973, 271.318268, 155.385574, 12019490
158300, 10, 270, 381737, 85890, 0, 0, 66076, 65643, 0, 0, 0, 9373, 87109241, 229.205383, 109.062462, 12177785
181195, 10, 425, 379557, 80287, 0, 0, 66076, 65643, 0, 0, 0, 14253, 87109767, 228.583755, 107.266907, 12358975
209632, 10, 3639, 377971, 76572, 0, 0, 66076, 65875, 0, 0, 0, 3331331, 87127320, 255.988586, 167.964569, 12568602
225341, 22, 988, 449159, 88899, 0, 0, 66076, 65875, 0, 0, 0, 4678229, 87109477, 233.526733, 176.333313, 12793933
368273, 11, 434, 371182, 98825, 0, 0, 66076, 65875, 0, 0, 0, 26504897, 87324595, 282.690063, 192.752533, 13162200
482143, 12, 712, 388746, 108425, 0, 0, 66076, 65875, 0, 0, 0, 43316009, 87325204, 267.018494, 209.436707, 13644337
196616, 14, 366, 440417, 76950, 0, 0, 66076, 65875, 0, 0, 0, 48037, 87108993, 246.686203, 125.747108, 13840945
372406, 10, 387, 381432, 102822, 0, 0, 66076, 65875, 0, 0, 0, 29612603, 87324479, 262.308014, 209.595230, 14213346
179500, 11, 245, 399996, 79232, 0, 0, 66076, 65875, 0, 0, 0, 40619, 87108910, 286.903351, 115.334541, 14392840
286201, 9, 264, 382867, 89342, 0, 0, 66076, 65875, 0, 0, 0, 16000079, 87324204, 252.510056, 186.990906, 14679035
185330, 11, 438, 390464, 76682, 0, 0, 66076, 65634, 0, 0, 0, 5281, 87110545, 196.263397, 136.315247, 14864358
513235, 10, 436, 381122, 112428, 0, 0, 66076, 65875, 0, 0, 0, 40491128, 87324621, 283.043427, 224.671631, 15377588
306946, 19, 2304, 505855, 85663, 0, 0, 66076, 65875, 0, 0, 0, 10846625, 87327567, 254.493225, 180.247009, 15684525
132198, 17, 581, 472918, 212205, 0, 0, 66076, 65632, 0, 0, 0, 9606, 71978961, 161.485611, 118.555550, 15816715
186449, 10, 202, 393493, 77828, 0, 0, 66076, 65875, 0, 0, 0, 49324, 87108828, 272.209900, 138.261108, 16003158
301696, 11, 357, 385295, 91804, 0, 0, 66076, 65875, 0, 0, 0, 18620818, 87324397, 261.635437, 188.258484, 16304847
278293, 12, 820, 404542, 85251, 0, 0, 66076, 65875, 0, 0, 0, 16822767, 87325809, 260.365906, 187.001068, 16583133
185713, 11, 222, 394604, 75861, 0, 0, 66076, 65875, 0, 0, 0, 198031, 87108961, 251.570648, 114.894836, 16768840
710544, 10, 742, 383299, 136242, 0, 0, 66076, 65875, 0, 0, 0, 65692492, 87325688, 317.500366, 221.502960, 17479379
155057, 11, 351, 386151, 87685, 0, 0, 66076, 65875, 0, 0, 0, 121229, 87109261, 234.621811, 107.997246, 17634429
180543, 10, 588, 374341, 78262, 0, 0, 66076, 65647, 0, 0, 0, 26372, 87110882, 215.142838, 123.035782, 17814967
273404, 10, 374, 392320, 87337, 0, 0, 66076, 65875, 0, 0, 0, 16613036, 87324521, 262.948273, 167.876678, 18088366
260780, 9, 425, 401378, 88140, 0, 0, 66076, 65875, 0, 0, 0, 13743210, 87324819, 281.832214, 186.172546, 18349141
342005, 10, 330, 393021, 95292, 0, 0, 66076, 65875, 0, 0, 0, 22447295, 87324636, 218.421478, 191.371338, 18691141
195015, 13, 392, 432331, 73962, 0, 0, 66076, 65875, 0, 0, 0, 696474, 87108968, 285.543884, 151.143890, 18886150
176473, 10, 350, 378939, 78418, 0, 0, 66076, 65875, 0, 0, 0, 48871, 87109259, 237.219070, 130.267105, 19062617
183737, 10, 304, 379964, 74532, 0, 0, 66076, 65875, 0, 0, 0, 784221, 87108924, 248.857971, 169.752426, 19246349
188143, 9, 339, 382763, 78101, 0, 0, 66076, 65875, 0, 0, 0, 1711678, 87109176, 257.447693, 164.245041, 19434488
448982, 10, 338, 390690, 109409, 0, 0, 66076, 65875, 0, 0, 0, 32462060, 87324289, 295.816345, 219.017151, 19883465
278950, 15, 717, 466880, 90201, 0, 0, 66076, 65875, 0, 0, 0, 15437335, 87324911, 254.840820, 176.772247, 20162408
272177, 9, 401, 379852, 86475, 0, 0, 66076, 65875, 0, 0, 0, 16193133, 87324781, 291.295410, 195.026550, 20434580
187497, 22, 615, 487085, 89282, 0, 0, 66076, 65875, 0, 0, 0, 99212, 87108902, 216.811005, 158.856476, 20622067
451508, 12, 454, 411206, 114575, 0, 0, 66076, 65875, 0, 0, 0, 37277310, 87324580, 272.843964, 179.052505, 21073568
175716, 12, 270, 379920, 77099, 0, 0, 66076, 65875, 0, 0, 0, 644502, 87108841, 217.588455, 158.955872, 21249278
262012, 10, 669, 391760, 84269, 0, 0, 66076, 65875, 0, 0, 0, 10085035, 87325630, 259.316467, 171.779510, 21511284
199849, 13, 1333, 440157, 80745, 0, 0, 66076, 65875, 0, 0, 0, 2238625, 87112268, 204.546783, 179.845016, 21711127
351385, 10, 505, 376584, 102011, 0, 0, 66076, 65875, 0, 0, 0, 28963729, 87324967, 276.230164, 202.079788, 22062507
