querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
34115, 14, 4, 1018763, 246328, 0, 0, 60765, 60765, 0, 0, 0, 94386, 570216, 453.298370, 252.075409, 34109
29335, 12, 40, 514131, 263497, 0, 0, 60765, 60765, 0, 0, 0, 578310, 578901, 448.304993, 305.809296, 63437
19660, 15, 28, 335150, 161134, 0, 0, 60765, 60765, 0, 0, 0, 115859, 570871, 293.919708, 257.408691, 83090
18337, 17, 7, 337325, 201247, 0, 0, 60765, 60765, 0, 0, 0, 61129, 568115, 343.329071, 227.161224, 101420
19721, 12, 2, 387517, 237739, 0, 0, 60765, 60765, 0, 0, 0, 74899, 569858, 399.295959, 252.694427, 121134
19011, 16, 3, 359073, 219304, 0, 0, 60765, 60765, 0, 0, 0, 31635, 566277, 442.101440, 239.022827, 140137
25630, 12, 12, 398904, 244533, 0, 0, 60765, 60765, 0, 0, 0, 576553, 578689, 445.336304, 330.186005, 165761
24124, 14, 373, 398438, 259005, 0, 0, 60765, 60765, 0, 0, 0, 456299, 577799, 343.649902, 295.016510, 189877
16532, 13, 12, 340076, 139204, 0, 0, 60765, 60765, 0, 0, 0, 31928, 565715, 360.720215, 231.599503, 206401
16818, 13, 6, 342608, 132317, 0, 0, 60765, 60765, 0, 0, 0, 51637, 568642, 364.762024, 255.593002, 223212
25421, 12, 33, 378695, 288077, 0, 0, 60765, 60765, 0, 0, 0, 575771, 578621, 425.667908, 332.273407, 248626
20128, 17, 6, 323923, 232856, 0, 0, 60765, 60765, 0, 0, 0, 54773, 567198, 388.542358, 219.572067, 268746
28077, 22, 7, 435959, 327523, 0, 0, 60765, 60765, 0, 0, 0, 407295, 576016, 448.183044, 270.149353, 296814
25750, 13, 32, 385022, 292661, 0, 0, 60765, 60765, 0, 0, 0, 578895, 578895, 465.548553, 354.312714, 322558
21424, 13, 39, 385532, 269728, 0, 0, 60765, 60765, 0, 0, 0, 193184, 571687, 360.370544, 284.677368, 343976
22663, 11, 6, 407071, 236474, 0, 0, 60765, 60765, 0, 0, 0, 330147, 574235, 442.416016, 304.460144, 366633
108150, 11, 1, 626158, 228963, 0, 0, 60765, 60766, 0, 0, 0, 1404, 558290, 375.616089, 185.877975, 474778
23709, 13, 4, 552048, 265007, 0, 0, 60765, 60765, 0, 0, 0, 51259, 568322, 361.153198, 261.093567, 498480
