querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
270427, 8, 120, 847535, 185845, 0, 0, 69391, 69391, 0, 0, 0, 96086, 99998988, 99.459892, 63.475746, 270425
34859, 11, 591, 191552, 20571, 0, 0, 69391, 65849, 0, 0, 0, 306, 14443465, 20.051195, 15.619765, 305280
100847, 12, 2456, 220105, 32940, 0, 0, 69391, 68421, 0, 0, 0, 53115, 44328398, 25.252539, 22.877386, 406122
20191, 10, 147, 528022, 127113, 0, 0, 69391, 69389, 0, 0, 0, 14407, 3716459, 47.242931, 1.379703, 426309
250994, 11, 969, 480439, 89946, 0, 0, 69391, 69391, 0, 0, 0, 23696, 99901067, 68.353813, 63.104500, 677299
37247, 11, 47, 506996, 146953, 0, 0, 69391, 69391, 0, 0, 0, 23921, 13478469, 61.039913, 5.833897, 714543
25581, 11, 1628, 199077, 1192, 0, 0, 69391, 66385, 0, 0, 0, 352, 8687809, 4.495729, 4.495729, 740121
227776, 17, 1500, 430514, 102257, 0, 0, 69391, 69391, 0, 0, 0, 9705, 99836632, 51.132767, 36.586964, 967892
34222, 10, 1427, 186657, 7291, 0, 0, 69391, 66287, 0, 0, 0, 4064, 13625048, 16.253853, 13.834515, 1002111
145146, 11, 98, 475008, 168977, 0, 0, 69391, 69301, 0, 0, 0, 7593, 65620830, 34.578686, 22.127977, 1147253
228791, 10, 1118, 526679, 112342, 0, 0, 69391, 69391, 0, 0, 0, 4701, 100004330, 62.863125, 58.902103, 1376041
64435, 12, 871, 343501, 104625, 0, 0, 69391, 68813, 0, 0, 0, 2232, 26489221, 28.014460, 17.210236, 1440472
156308, 12, 129, 484538, 112910, 0, 0, 69391, 68545, 0, 0, 0, 767, 70315323, 50.269142, 40.741020, 1596775
116569, 11, 325, 295469, 42314, 0, 0, 69391, 67867, 0, 0, 0, 1251, 52595281, 38.600464, 31.880358, 1713339
52509, 18, 768, 235376, 57988, 0, 0, 69391, 68193, 0, 0, 0, 15589, 23515258, 19.045704, 10.445631, 1765836
264143, 11, 1334, 499943, 115131, 0, 0, 69391, 69391, 0, 0, 0, 38280, 100000322, 77.773712, 71.535187, 2029974
91191, 11, 2080, 225651, 27644, 0, 0, 69391, 67229, 0, 0, 0, 1045, 40705539, 24.096376, 23.247166, 2121161
177533, 28, 281, 467160, 109442, 0, 0, 69391, 69293, 0, 0, 0, 1373, 73635297, 37.742649, 26.051794, 2298687
33337, 11, 36, 510789, 250076, 0, 0, 69391, 69391, 0, 0, 0, 15012, 10459205, 83.177917, 5.066967, 2332020
137556, 15, 3184, 303242, 44916, 0, 0, 69391, 67639, 0, 0, 0, 2582, 55305780, 31.044245, 30.577793, 2469571
208828, 13, 2802, 479538, 77080, 0, 0, 69391, 68811, 0, 0, 0, 10722, 91194966, 41.219704, 41.077839, 2678394
198380, 10, 49, 529236, 125252, 0, 0, 69391, 69391, 0, 0, 0, 10559, 88975888, 50.450031, 29.387695, 2876771
218266, 10, 253, 519762, 90077, 0, 0, 69391, 69391, 0, 0, 0, 1293, 99264240, 45.903748, 32.041988, 3095033
265978, 10, 169, 517116, 102136, 0, 0, 69391, 69391, 0, 0, 0, 60869, 99999299, 92.179062, 66.867790, 3361007
110907, 9, 314, 417674, 94887, 0, 0, 69391, 67779, 0, 0, 0, 4654, 47639465, 41.856739, 29.515297, 3471911
144512, 11, 291, 538712, 192173, 0, 0, 69391, 69367, 0, 0, 0, 30755, 63721500, 45.995472, 22.878397, 3616420
115498, 10, 650, 451679, 144838, 0, 0, 69391, 68145, 0, 0, 0, 21972, 48022747, 49.779766, 31.210968, 3731915
126453, 11, 2610, 443206, 169956, 0, 0, 69391, 68837, 0, 0, 0, 13117, 54315814, 33.536686, 19.422846, 3858364
212710, 10, 791, 536253, 112399, 0, 0, 69391, 69391, 0, 0, 0, 6010, 99946286, 50.202652, 37.927917, 4071071
174647, 28, 1158, 492394, 143727, 0, 0, 69391, 69273, 0, 0, 0, 513, 72662739, 40.066772, 30.085695, 4245712
150070, 11, 1299, 447558, 160214, 0, 0, 69391, 69187, 0, 0, 0, 12442, 67690642, 44.639694, 33.502525, 4395778
169207, 12, 152, 438438, 136309, 0, 0, 69391, 69345, 0, 0, 0, 25031, 74631821, 40.375278, 26.450653, 4564980
195269, 12, 63, 538245, 163733, 0, 0, 69391, 69391, 0, 0, 0, 192500, 85529524, 89.160103, 27.691145, 4760244
225605, 9, 2019, 536651, 88253, 0, 0, 69391, 69349, 0, 0, 0, 4993, 99162107, 50.137344, 37.375439, 4985846
97522, 10, 412, 439142, 124466, 0, 0, 69391, 68319, 0, 0, 0, 4678, 41780423, 39.627159, 28.364965, 5083365
205255, 9, 442, 494371, 118723, 0, 0, 69391, 69269, 0, 0, 0, 24199, 88999137, 51.288864, 45.796955, 5288617
227760, 11, 3333, 529383, 84715, 0, 0, 69391, 69391, 0, 0, 0, 11411, 99191465, 38.680725, 38.491802, 5516372
73001, 11, 1581, 216184, 20270, 0, 0, 69391, 66667, 0, 0, 0, 577, 33842502, 19.885527, 19.885527, 5589369
95334, 10, 1129, 452357, 156730, 0, 0, 69391, 69367, 0, 0, 0, 19800, 40777062, 42.911392, 23.294699, 5684699
134633, 10, 382, 522388, 163531, 0, 0, 69391, 69391, 0, 0, 0, 7200, 57952153, 37.980171, 20.266809, 5819328
72175, 27, 36, 465156, 214911, 0, 0, 69391, 69391, 0, 0, 0, 39760, 29800555, 65.170944, 9.907229, 5891497
66964, 9, 859, 232501, 63620, 0, 0, 69391, 68549, 0, 0, 0, 11360, 34800789, 12.394819, 8.544142, 5958458
105296, 12, 235, 292011, 36739, 0, 0, 69391, 67151, 0, 0, 0, 1346, 47781427, 27.002975, 26.806427, 6063750
66365, 11, 69, 517103, 241393, 0, 0, 69391, 69175, 0, 0, 0, 5479, 27908106, 46.606819, 19.644117, 6130111
129069, 9, 45, 512872, 232141, 0, 0, 69391, 69391, 0, 0, 0, 22348, 57446926, 113.681946, 18.145279, 6259178
39727, 10, 467, 194185, 11238, 0, 0, 69391, 66355, 0, 0, 0, 14183, 17359119, 15.476819, 8.480999, 6298902
143572, 13, 1610, 376052, 62234, 0, 0, 69391, 67849, 0, 0, 0, 2395, 64476895, 24.745920, 23.659222, 6442470
128521, 10, 1176, 393158, 126069, 0, 0, 69391, 69069, 0, 0, 0, 28819, 53797690, 36.986233, 24.464020, 6570987
107413, 11, 1395, 395625, 132186, 0, 0, 69391, 68439, 0, 0, 0, 3662, 46805101, 34.017288, 20.257473, 6678396
144787, 11, 2119, 507420, 137155, 0, 0, 69391, 69329, 0, 0, 0, 896, 77150954, 45.844299, 35.007515, 6823177
25814, 10, 29, 549760, 149338, 0, 0, 69391, 69391, 0, 0, 0, 32596, 6311406, 62.035141, 1.420928, 6848986
48675, 9, 838, 268678, 84720, 0, 0, 69391, 68971, 0, 0, 0, 44312, 21629362, 30.740606, 12.315029, 6897658
246243, 21, 160, 455738, 118178, 0, 0, 69391, 69391, 0, 0, 0, 14011, 99962242, 85.963486, 43.711166, 7143896
37859, 11, 232, 513142, 211778, 0, 0, 69391, 69389, 0, 0, 0, 25628, 13181786, 48.815567, 7.718981, 7181751
42889, 13, 1801, 245379, 11836, 0, 0, 69391, 66435, 0, 0, 0, 1018, 16516986, 14.797723, 11.161049, 7224637
