querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
40263, 16, 106, 409491, 44251, 0, 0, 74978, 66809, 0, 0, 0, 56, 8013628, 24.329285, 12.447767, 40258
31213, 19, 2875, 357899, 775, 0, 0, 74978, 66416, 0, 0, 0, 336, 3547419, 6.511263, 1.665452, 71463
63151, 18, 119, 279070, 20887, 0, 0, 74978, 67000, 0, 0, 0, 180, 20490809, 27.672712, 20.164251, 134607
388065, 33, 565, 496505, 105372, 0, 0, 74978, 74304, 0, 0, 0, 7291612, 88546499, 238.244385, 213.470169, 522661
97997, 18, 125, 351459, 93730, 0, 0, 74978, 70871, 0, 0, 0, 66, 38694131, 78.939651, 49.990952, 620651
16510, 13, 1489, 226074, 378, 0, 0, 74978, 66186, 0, 0, 0, 89, 1856985, 0.932818, 0.179217, 637154
314673, 19, 10313, 573890, 81034, 0, 0, 74978, 74573, 0, 0, 0, 483701, 87440166, 249.323349, 151.610733, 951819
220868, 31, 397, 460678, 83255, 0, 0, 74978, 74773, 0, 0, 0, 1215, 82365326, 293.444855, 92.912659, 1172678
149730, 17, 4387, 353279, 97936, 0, 0, 74978, 71011, 0, 0, 0, 1571240, 41965217, 57.559357, 48.675865, 1322401
18025, 16, 2798, 229869, 649, 0, 0, 74978, 66708, 0, 0, 0, 273, 2281878, 4.568540, 0.989567, 1340419
54566, 17, 1812, 256734, 30292, 0, 0, 74978, 68384, 0, 0, 0, 433, 15087318, 21.562202, 14.495573, 1394978
37210, 17, 83, 243566, 98086, 0, 0, 74978, 68256, 0, 0, 0, 62, 12305650, 83.171059, 55.950470, 1432181
277607, 17, 478, 597324, 83494, 0, 0, 74978, 74689, 0, 0, 0, 365024, 88532005, 304.956909, 181.264847, 1709781
9984, 15, 91, 226967, 19312, 0, 0, 74978, 65670, 0, 0, 0, 115, 479443, 20.790735, 6.714112, 1719759
71911, 14, 421, 566695, 184983, 0, 0, 74978, 73570, 0, 0, 0, 131367, 23688643, 128.908249, 37.990635, 1791666
125729, 15, 2905, 308715, 37573, 0, 0, 74978, 69681, 0, 0, 0, 1537371, 40791725, 80.062233, 65.409508, 1917389
285201, 16, 696, 546653, 96061, 0, 0, 74978, 73977, 0, 0, 0, 3776791, 85455463, 194.988052, 141.049728, 2202583
227174, 17, 361, 564258, 85786, 0, 0, 74978, 74867, 0, 0, 0, 307408, 83129430, 377.051514, 54.946808, 2429750
209644, 17, 133, 556545, 82621, 0, 0, 74978, 73987, 0, 0, 0, 83, 84352870, 190.795441, 137.332855, 2639387
