querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
333133, 14, 317, 853856, 96509, 0, 0, 67054, 67054, 0, 0, 0, 8005390, 100000499, 166.160919, 135.980820, 333130
76880, 11, 645, 240437, 35634, 0, 0, 67054, 66294, 0, 0, 0, 1405, 49549388, 35.997318, 35.997318, 410007
220935, 11, 656, 424024, 92153, 0, 0, 67054, 67054, 0, 0, 0, 676229, 100002076, 135.368301, 121.714348, 630939
54659, 11, 660, 204416, 28917, 0, 0, 67054, 66068, 0, 0, 0, 1168, 36104148, 33.852539, 33.050209, 685595
277092, 13, 568, 422223, 102563, 0, 0, 67054, 67054, 0, 0, 0, 6885177, 100001414, 161.656662, 133.919449, 962683
84878, 11, 670, 314281, 105706, 0, 0, 67054, 66488, 0, 0, 0, 2972, 55894973, 42.522633, 37.562794, 1047558
283153, 11, 96, 418125, 97018, 0, 0, 67054, 67054, 0, 0, 0, 5434184, 100000183, 161.833984, 141.361832, 1330708
78530, 12, 576, 280813, 81245, 0, 0, 67054, 66414, 0, 0, 0, 2086, 50903773, 40.727654, 37.818684, 1409234
352497, 29, 259, 419780, 113944, 0, 0, 67054, 67054, 0, 0, 0, 12254451, 100000231, 163.994019, 142.787064, 1761725
93324, 11, 642, 278900, 60884, 0, 0, 67054, 66434, 0, 0, 0, 2309, 60221012, 38.735657, 38.735657, 1855044
354974, 29, 272, 414691, 104101, 0, 0, 67054, 67054, 0, 0, 0, 9076060, 100000247, 174.856140, 147.225845, 2210012
63095, 11, 499, 241441, 101600, 0, 0, 67054, 66314, 0, 0, 0, 1419, 38981502, 38.259033, 33.858295, 2273104
356111, 13, 773, 409300, 112784, 0, 0, 67054, 67054, 0, 0, 0, 15538257, 100001990, 160.186005, 146.604675, 2629211
87948, 28, 2281, 400774, 81072, 0, 0, 67054, 66366, 0, 0, 0, 2911, 43769326, 39.680656, 36.259361, 2717153
388581, 10, 776, 458544, 111405, 0, 0, 67054, 67054, 0, 0, 0, 18285627, 100002206, 174.086243, 141.119568, 3105731
81476, 16, 687, 258988, 44809, 0, 0, 67054, 66340, 0, 0, 0, 2129, 54530258, 39.176804, 39.176804, 3187199
495793, 12, 1567, 406374, 128121, 0, 0, 67054, 67054, 0, 0, 0, 33331114, 100003988, 171.179199, 153.828018, 3682989
61749, 12, 604, 274031, 80001, 0, 0, 67054, 66432, 0, 0, 0, 3601, 39511945, 39.335228, 33.522602, 3744734
414757, 11, 348, 433677, 115457, 0, 0, 67054, 67054, 0, 0, 0, 20632999, 100000947, 174.971146, 148.015671, 4159487
73023, 11, 1125, 306853, 93576, 0, 0, 67054, 66460, 0, 0, 0, 5587, 47180030, 41.268719, 35.467793, 4232507
358350, 16, 106, 422001, 114803, 0, 0, 67054, 67054, 0, 0, 0, 14937905, 100000221, 170.197952, 144.147156, 4590854
57487, 28, 2089, 471396, 85163, 0, 0, 67054, 66122, 0, 0, 0, 1549, 23402257, 33.723568, 26.935045, 4648335
325153, 11, 2947, 480649, 94282, 0, 0, 67054, 67054, 0, 0, 0, 6277026, 100009079, 171.068665, 145.101181, 4973485
81601, 11, 625, 280565, 87346, 0, 0, 67054, 66438, 0, 0, 0, 3521, 53614858, 40.320847, 37.071327, 5055083
308521, 12, 77, 422649, 105976, 0, 0, 67054, 67054, 0, 0, 0, 8333408, 100000148, 166.857071, 148.147324, 5363601
62154, 12, 682, 212369, 35284, 0, 0, 67054, 66250, 0, 0, 0, 3332, 40993125, 34.676659, 33.610691, 5425751
306025, 12, 78, 406545, 102270, 0, 0, 67054, 67054, 0, 0, 0, 7305621, 100000137, 160.873932, 143.996552, 5731772
48392, 11, 587, 218872, 60434, 0, 0, 67054, 66220, 0, 0, 0, 1311, 30691493, 35.194237, 30.574600, 5780161
403550, 12, 717, 407489, 114308, 0, 0, 67054, 67054, 0, 0, 0, 19595737, 100001893, 159.466080, 143.262451, 6183708
64596, 28, 2046, 422284, 61395, 0, 0, 67054, 66002, 0, 0, 0, 1104, 28970600, 34.550198, 30.535421, 6248297
400372, 11, 154, 451725, 111736, 0, 0, 67054, 67054, 0, 0, 0, 18634036, 100000348, 167.483932, 148.748535, 6648666
