querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
307417, 13, 469, 561898, 111605, 0, 0, 65548, 65548, 0, 0, 0, 15155031, 35852401, 334.085297, 197.435654, 307412
53351, 14, 102, 354044, 145594, 0, 0, 65548, 65548, 0, 0, 0, 259, 20367129, 151.356735, 104.374054, 360757
110009, 15, 199, 367041, 62867, 0, 0, 65548, 65548, 0, 0, 0, 8184, 35852096, 249.352463, 180.244339, 470761
119303, 14, 188, 390187, 71941, 0, 0, 65548, 65548, 0, 0, 0, 159467, 35852114, 302.048157, 197.705124, 590058
83358, 14, 182, 388905, 107397, 0, 0, 65548, 65548, 0, 0, 0, 328, 32276403, 170.043549, 143.106445, 673410
325846, 13, 273, 388103, 117061, 0, 0, 65548, 65548, 0, 0, 0, 21958803, 35852139, 382.286194, 252.393997, 999251
146975, 13, 243, 392005, 77220, 0, 0, 65548, 65548, 0, 0, 0, 4878866, 35852136, 277.516724, 161.773743, 1146221
379135, 31, 592, 451472, 120713, 0, 0, 65548, 65548, 0, 0, 0, 24065412, 35852126, 325.828918, 255.999405, 1525347
234539, 14, 226, 411396, 101146, 0, 0, 65548, 65548, 0, 0, 0, 13432017, 35852082, 319.125916, 226.760910, 1759880
223670, 15, 253, 406010, 92788, 0, 0, 65548, 65548, 0, 0, 0, 15983871, 35852104, 339.858582, 149.130676, 1983543
231949, 14, 242, 406922, 99777, 0, 0, 65548, 65548, 0, 0, 0, 14414568, 35852137, 375.120209, 177.441101, 2215486
142220, 28, 1189, 464150, 80168, 0, 0, 65548, 65548, 0, 0, 0, 4456838, 35852889, 143.050903, 25.845432, 2357697
434084, 18, 270, 390146, 128197, 0, 0, 65548, 65548, 0, 0, 0, 35755772, 35852107, 432.487793, 255.999298, 2791774
173002, 15, 296, 374143, 81703, 0, 0, 65548, 65548, 0, 0, 0, 6259749, 35852247, 258.462067, 226.074768, 2964770
101990, 18, 140, 408252, 76051, 0, 0, 65548, 65548, 0, 0, 0, 120, 35852197, 184.934845, 169.612061, 3066752
118078, 17, 266, 382346, 68629, 0, 0, 65548, 65548, 0, 0, 0, 16525, 35852219, 265.216644, 196.722870, 3184824
169730, 17, 303, 386753, 80552, 0, 0, 65548, 65548, 0, 0, 0, 5465781, 35852211, 310.990540, 250.125214, 3354548
105255, 15, 252, 396835, 71607, 0, 0, 65548, 65548, 0, 0, 0, 4309, 35852293, 220.849121, 180.750015, 3459798
277377, 15, 310, 379851, 117692, 0, 0, 65548, 65548, 0, 0, 0, 16869843, 35852143, 336.786804, 255.998138, 3737170
165305, 18, 281, 412386, 79264, 0, 0, 65548, 65548, 0, 0, 0, 5160661, 35852188, 298.145935, 226.219116, 3902468
128646, 16, 373, 410805, 69045, 0, 0, 65548, 65548, 0, 0, 0, 174667, 35852446, 337.132477, 191.079590, 4031107
122500, 16, 275, 392196, 82178, 0, 0, 65548, 65548, 0, 0, 0, 73095, 35852222, 288.717651, 183.750427, 4153601
239763, 14, 252, 410172, 107166, 0, 0, 65548, 65548, 0, 0, 0, 14389477, 35852110, 374.904297, 191.238434, 4393357
124259, 33, 881, 473125, 107758, 0, 0, 65548, 65548, 0, 0, 0, 9492, 35852519, 234.659576, 169.300980, 4517607
81655, 15, 106, 399413, 104858, 0, 0, 65548, 65548, 0, 0, 0, 1144, 35852061, 243.115524, 147.729996, 4599256
42330, 13, 110, 227342, 35976, 0, 0, 65548, 65542, 0, 0, 0, 325, 17894362, 161.207733, 88.271446, 4641581
200376, 13, 223, 393221, 91542, 0, 0, 65548, 65548, 0, 0, 0, 9427629, 35852155, 262.252258, 237.982239, 4841952
102179, 14, 146, 424128, 62592, 0, 0, 65548, 65548, 0, 0, 0, 1354, 35852102, 228.230225, 162.195740, 4944125
119948, 13, 240, 399283, 65172, 0, 0, 65548, 65548, 0, 0, 0, 29555, 35852235, 304.290771, 173.879700, 5064068
145156, 15, 255, 402865, 73519, 0, 0, 65548, 65548, 0, 0, 0, 3766290, 35852259, 243.115952, 219.060059, 5209218
104621, 14, 162, 425640, 59842, 0, 0, 65548, 65548, 0, 0, 0, 2909, 35852184, 235.248840, 174.843048, 5313834
295913, 14, 248, 401712, 121367, 0, 0, 65548, 65548, 0, 0, 0, 19565534, 35852114, 358.956390, 255.998871, 5609742
186967, 14, 230, 437951, 86454, 0, 0, 65548, 65548, 0, 0, 0, 7786913, 35852140, 264.754730, 230.416183, 5796703
235357, 14, 353, 433310, 98248, 0, 0, 65548, 65548, 0, 0, 0, 12336565, 35852388, 333.669434, 255.999191, 6032054
157053, 14, 4303, 426366, 68563, 0, 0, 65548, 65548, 0, 0, 0, 4530598, 35864413, 173.308777, 136.511703, 6189101
121741, 14, 197, 448740, 63861, 0, 0, 65548, 65548, 0, 0, 0, 115093, 35852176, 297.573181, 211.081268, 6310835
86714, 15, 153, 417424, 72748, 0, 0, 65548, 65548, 0, 0, 0, 3052, 35852106, 251.549759, 154.440582, 6397543
171672, 14, 232, 410703, 82825, 0, 0, 65548, 65548, 0, 0, 0, 8233864, 35852125, 242.358078, 178.396225, 6569209
76557, 14, 91, 391365, 141466, 0, 0, 65548, 65548, 0, 0, 0, 55, 26031624, 158.319977, 123.541138, 6645760
138704, 13, 175, 408314, 77699, 0, 0, 65548, 65548, 0, 0, 0, 2758634, 35852140, 207.556061, 202.385361, 6784458
102894, 13, 142, 403286, 67708, 0, 0, 65548, 65548, 0, 0, 0, 4224, 35852102, 252.679367, 172.721222, 6887347
202304, 15, 243, 405767, 86654, 0, 0, 65548, 65548, 0, 0, 0, 9493676, 35852093, 349.946136, 239.335861, 7089645
118729, 15, 155, 426113, 65127, 0, 0, 65548, 65548, 0, 0, 0, 17057, 35852068, 293.744232, 187.490829, 7208367
130062, 15, 172, 399784, 75001, 0, 0, 65548, 65548, 0, 0, 0, 535697, 35852046, 287.268829, 216.625839, 7338423
239417, 32, 635, 418511, 100463, 0, 0, 65548, 65548, 0, 0, 0, 11449403, 35852149, 331.166168, 253.178970, 7577831
128523, 16, 183, 413887, 81822, 0, 0, 65548, 65548, 0, 0, 0, 152240, 35852099, 253.991150, 204.300858, 7706347
359726, 14, 260, 417034, 135677, 0, 0, 65548, 65548, 0, 0, 0, 25811034, 35852125, 366.913147, 255.997589, 8066067
124379, 14, 194, 408750, 72378, 0, 0, 65548, 65548, 0, 0, 0, 273006, 35852122, 326.763794, 167.752960, 8190440
164849, 32, 989, 411034, 81663, 0, 0, 65548, 65548, 0, 0, 0, 4483315, 35852502, 305.717621, 133.815704, 8355279
132005, 15, 189, 417423, 65856, 0, 0, 65548, 65548, 0, 0, 0, 444176, 35852169, 312.313385, 187.660080, 8487277
115618, 13, 390, 417266, 61395, 0, 0, 65548, 65548, 0, 0, 0, 39818, 35852824, 242.660156, 198.576431, 8602889
79757, 15, 121, 404331, 66661, 0, 0, 65548, 65548, 0, 0, 0, 496, 35852178, 219.273819, 130.333771, 8682640
98407, 14, 151, 401706, 69854, 0, 0, 65548, 65548, 0, 0, 0, 9687, 35852097, 222.814163, 163.139114, 8781042
114014, 13, 162, 406767, 63239, 0, 0, 65548, 65548, 0, 0, 0, 10729, 35852179, 247.354706, 165.903503, 8895051
137991, 15, 183, 419191, 72971, 0, 0, 65548, 65548, 0, 0, 0, 1301892, 35852078, 276.712769, 218.450836, 9033035
180737, 33, 596, 484677, 84919, 0, 0, 65548, 65548, 0, 0, 0, 5175388, 35852144, 342.250763, 165.466095, 9213763
105352, 16, 158, 409785, 90576, 0, 0, 65548, 65548, 0, 0, 0, 6406, 35852154, 245.258163, 169.437149, 9319107
112133, 15, 245, 404435, 75115, 0, 0, 65548, 65548, 0, 0, 0, 1193, 35852477, 188.368515, 156.284103, 9431234
133855, 15, 1297, 410904, 62594, 0, 0, 65548, 65548, 0, 0, 0, 2644688, 35855582, 97.940132, 62.225811, 9565083
118444, 12, 173, 397706, 63660, 0, 0, 65548, 65548, 0, 0, 0, 30318, 35852102, 289.598450, 193.379730, 9683521
119923, 14, 238, 416274, 63419, 0, 0, 65548, 65548, 0, 0, 0, 285243, 35852221, 268.790588, 193.958160, 9803438
123286, 13, 179, 401367, 67577, 0, 0, 65548, 65548, 0, 0, 0, 80376, 35852145, 269.317413, 214.270874, 9926718
119649, 13, 332, 404252, 64169, 0, 0, 65548, 65548, 0, 0, 0, 53623, 35852479, 306.508728, 225.187195, 10046361
104026, 13, 175, 398932, 95317, 0, 0, 65548, 65548, 0, 0, 0, 2204, 35852197, 225.980133, 155.138031, 10150382
247943, 33, 579, 481157, 98572, 0, 0, 65548, 65548, 0, 0, 0, 12624141, 35852130, 309.906525, 255.996674, 10398315
142218, 14, 853, 411197, 68698, 0, 0, 65548, 65548, 0, 0, 0, 3453572, 35853781, 210.578384, 78.389557, 10540528
52947, 14, 128, 338146, 103509, 0, 0, 65548, 65548, 0, 0, 0, 186, 17944749, 160.413498, 113.621574, 10593469
119255, 14, 220, 402810, 68080, 0, 0, 65548, 65548, 0, 0, 0, 67676, 35852216, 267.110291, 197.244995, 10712718
103640, 15, 139, 410060, 62724, 0, 0, 65548, 65548, 0, 0, 0, 702, 35852141, 222.437790, 169.189667, 10816351
234028, 16, 247, 400966, 101970, 0, 0, 65548, 65548, 0, 0, 0, 12005871, 35852084, 308.915222, 252.332520, 11050372
89013, 14, 99, 410134, 142364, 0, 0, 65548, 65548, 0, 0, 0, 778, 31538657, 191.712708, 122.196739, 11139378
139982, 34, 505, 431434, 85986, 0, 0, 65548, 65548, 0, 0, 0, 411100, 35852135, 234.723114, 204.020828, 11279348
105640, 14, 188, 407590, 75974, 0, 0, 65548, 65548, 0, 0, 0, 2983, 35852259, 241.904449, 166.732559, 11384982
160341, 14, 333, 403758, 75947, 0, 0, 65548, 65548, 0, 0, 0, 5514659, 35852397, 291.040558, 213.671967, 11545316
119770, 15, 160, 428641, 72714, 0, 0, 65548, 65548, 0, 0, 0, 22821, 35852053, 283.561218, 204.895477, 11665080
144136, 15, 245, 417927, 70834, 0, 0, 65548, 65548, 0, 0, 0, 2333553, 35852234, 275.318970, 224.813187, 11809210
104342, 16, 178, 425968, 60888, 0, 0, 65548, 65548, 0, 0, 0, 4049, 35852278, 233.731262, 160.445114, 11913544
329331, 14, 248, 401794, 128014, 0, 0, 65548, 65548, 0, 0, 0, 21613458, 35852100, 376.790741, 255.173920, 12242869
296080, 14, 210, 431914, 116714, 0, 0, 65548, 65548, 0, 0, 0, 19103363, 35852086, 327.812042, 255.994980, 12538943
192576, 14, 236, 423304, 88309, 0, 0, 65548, 65548, 0, 0, 0, 8950230, 35852130, 333.840393, 222.960693, 12731512
137223, 15, 262, 428794, 81725, 0, 0, 65548, 65548, 0, 0, 0, 1488629, 35852215, 363.534576, 165.160995, 12868729
108408, 15, 160, 405888, 71407, 0, 0, 65548, 65548, 0, 0, 0, 8235, 35852113, 233.738556, 157.736328, 12977130
99963, 33, 350, 431537, 171670, 0, 0, 65548, 65548, 0, 0, 0, 220, 35318538, 185.347504, 157.202621, 13077083
48279, 14, 134, 400191, 178333, 0, 0, 65548, 65548, 0, 0, 0, 2179, 17918323, 207.603882, 114.264801, 13125356
396374, 16, 283, 375959, 135139, 0, 0, 65548, 65548, 0, 0, 0, 31111668, 35852094, 353.143311, 255.997940, 13521723
163020, 14, 205, 410051, 74322, 0, 0, 65548, 65548, 0, 0, 0, 6851462, 35852114, 253.416321, 96.261658, 13684737
168741, 14, 862, 413380, 71302, 0, 0, 65548, 65548, 0, 0, 0, 10283779, 35853971, 204.764755, 87.215500, 13853471
105385, 13, 182, 434005, 83154, 0, 0, 65548, 65548, 0, 0, 0, 26120, 35852181, 212.089584, 164.579025, 13958850
163071, 15, 221, 408528, 82704, 0, 0, 65548, 65548, 0, 0, 0, 4987310, 35852091, 311.801636, 212.936569, 14121915
395471, 14, 225, 441524, 127538, 0, 0, 65548, 65548, 0, 0, 0, 34815621, 35852066, 400.998260, 255.999832, 14517380
308593, 14, 534, 435605, 126377, 0, 0, 65548, 65548, 0, 0, 0, 19901581, 35852810, 330.953125, 255.999100, 14825967
178223, 13, 232, 441324, 74849, 0, 0, 65548, 65548, 0, 0, 0, 12107917, 35852126, 363.507324, 107.074547, 15004184
399645, 15, 308, 441352, 134318, 0, 0, 65548, 65548, 0, 0, 0, 31644172, 35852246, 379.268433, 255.998810, 15403822
319140, 13, 214, 424940, 122777, 0, 0, 65548, 65548, 0, 0, 0, 23351306, 35852074, 315.420105, 221.816986, 15722957
95733, 14, 118, 433860, 65784, 0, 0, 65548, 65548, 0, 0, 0, 973, 35746746, 145.056992, 142.002380, 15818683
110250, 14, 175, 400600, 63091, 0, 0, 65548, 65548, 0, 0, 0, 314, 35852226, 170.746017, 170.746017, 15928928
313951, 13, 252, 405637, 120084, 0, 0, 65548, 65548, 0, 0, 0, 24488395, 35852097, 381.116150, 209.089691, 16242874
104098, 14, 165, 438687, 60532, 0, 0, 65548, 65548, 0, 0, 0, 1016, 35852419, 173.356873, 151.904053, 16346966
116415, 14, 146, 404144, 62904, 0, 0, 65548, 65548, 0, 0, 0, 3512, 35852277, 156.577347, 156.577347, 16463375
151689, 14, 176, 400064, 74547, 0, 0, 65548, 65548, 0, 0, 0, 3257447, 35852077, 274.403442, 225.839325, 16615059
166156.980000, 15.990000, 326.150000, 411489.720000, 88025.200000, 0.000000, 0.000000, 65548, 65547.940000, 0.000000, 0.000000, 0.000000, 6199995.360000, 34976058.080000, 270.884399, 186.145292, 16615059.000000
