querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
3039, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 44, 42377, 158.258011, 158.258011, 3039
2606, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 42, 49891, 200.822678, 181.711288, 5645
1493, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 33, 32620, 103.055588, 85.829338, 7138
1257, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 22, 34766, 101.962395, 101.962395, 8395
1684, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 16, 42122, 153.505920, 147.802338, 10079
2121, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 348, 43951, 193.552597, 183.378067, 12200
1287, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 4, 31288, 91.945015, 91.945015, 13487
1626, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 14, 41989, 164.944885, 135.380249, 15113
1364, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 23, 32573, 94.322311, 93.383331, 16477
1751, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 46, 48155, 182.048187, 143.090012, 18228
1262, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 21, 35598, 124.896606, 53.414455, 19490
1134, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 10, 19198, 44.603931, 44.603931, 20624
1370, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 16, 46450, 161.548401, 146.280670, 21994
1353, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 6, 47111, 182.686462, 116.066116, 23347
1162, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 20, 35448, 93.357925, 92.917755, 24509
1192, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 8, 36564, 111.920456, 111.920456, 25701
1416, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 31, 49144, 194.605774, 194.605774, 27117
1228, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 13, 36763, 111.665489, 111.665489, 28345
1113, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 11, 36146, 100.937386, 100.937386, 29458
1108, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 25, 38564, 100.603912, 100.603912, 30566
1014, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 4, 17647, 66.711548, 66.711548, 31580
1106, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 18, 31971, 80.351349, 80.351349, 32686
1173, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 20, 40130, 155.453400, 147.360214, 33859
1001, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 5, 33816, 91.316200, 91.316200, 34860
946, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 11, 29973, 64.163742, 52.865437, 35806
901, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 5, 8210, 34.020420, 34.020420, 36707
941, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 7, 8162, 35.388451, 31.527185, 37648
1005, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 22, 34554, 99.781525, 75.281059, 38653
1108, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 23, 34776, 97.530563, 81.051636, 39761
977, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 25, 39236, 127.326118, 127.326118, 40738
993, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 37, 28334, 63.163536, 63.163536, 41731
995, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 14, 41400, 113.241653, 113.241653, 42726
1031, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 25, 30417, 80.414719, 68.065414, 43757
1248, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 29, 40194, 167.773117, 144.007919, 45005
1065, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 28, 36565, 123.097984, 114.220665, 46070
1089, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 17, 37944, 132.838913, 132.838913, 47159
971, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 31, 44092, 164.483215, 147.053467, 48130
927, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 11, 32104, 91.486023, 76.447411, 49057
897, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 6, 28932, 70.421349, 70.421349, 49954
889, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 6, 6852, 21.959923, 21.959923, 50843
1135, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 20, 42403, 164.505310, 161.175446, 51978
964, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 24, 22177, 79.465172, 75.852371, 52942
903, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 17, 21753, 41.241043, 41.097656, 53845
1024, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 59, 44180, 142.621902, 125.284988, 54869
1078, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 9, 37316, 132.478882, 117.264275, 55947
1028, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 21, 44404, 139.189804, 131.785400, 56975
860, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 9, 10739, 62.574036, 59.948265, 57835
902, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 18, 7307, 23.911346, 22.664762, 58737
1194, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 32, 41648, 182.503082, 148.833740, 59931
1082, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 15, 45636, 162.269150, 162.269150, 61013
1044, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 17, 40460, 130.470291, 112.801460, 62057
911, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 21, 32215, 71.750336, 71.750336, 62968
1009, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 19, 35049, 99.578957, 98.650513, 63977
994, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 6, 45550, 153.105713, 153.105713, 64971
1063, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 16, 36519, 109.621956, 109.409790, 66034
1006, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 11, 32171, 88.899483, 88.899483, 67040
994, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 21, 39839, 124.456337, 117.356659, 68034
951, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 18, 43305, 126.888107, 126.888107, 68985
925, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 9, 41213, 122.851669, 122.851669, 69910
925, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 12, 17793, 67.306458, 67.306458, 70835
864, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 11, 31370, 68.445503, 68.445503, 71699
1034, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 26, 38128, 126.499222, 122.627632, 72733
973, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 19, 21674, 57.757580, 57.757580, 73706
1020, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 96, 49034, 208.220108, 164.587097, 74726
2333, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 2786, 40425, 177.359711, 177.359711, 77059
975, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 24, 45820, 145.503983, 145.503983, 78034
835, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 4, 32069, 68.306526, 68.306526, 78869
959, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 199, 44222, 198.720215, 130.172729, 79828
878, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 13, 39821, 98.873619, 98.873619, 80706
809, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 6, 34611, 93.603302, 93.603302, 81515
5532, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 5070, 46344, 248.948624, 226.853302, 87047
1210, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 72, 42126, 167.408600, 163.768875, 88257
1027, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 419, 9598, 36.114483, 36.114483, 89284
1084, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 39, 39870, 167.756607, 139.803528, 90368
851, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 127, 24009, 50.414673, 49.415321, 91219
815, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 19, 5909, 23.501232, 23.501232, 92034
1024, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 33, 39891, 162.041992, 123.406731, 93058
1338, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 1328, 45878, 173.544891, 173.544891, 94396
879, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 8, 36362, 110.300072, 110.300072, 95275
911, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 32, 44125, 127.217049, 96.349030, 96186
1014, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 16, 46408, 160.359848, 160.359848, 97200
857, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 15, 31508, 77.229446, 77.229446, 98057
1012, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 7, 33483, 92.268562, 92.268562, 99069
834, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 43, 8008, 32.630386, 32.630386, 99903
787, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 13, 34137, 95.922073, 92.738121, 100690
6551, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 110, 45408, 237.976639, 132.530823, 107241
49775, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 110448, 157043, 313.623505, 255.979050, 157016
2208, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 17, 37761, 133.433273, 130.563492, 159224
2157, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 16, 46524, 165.364746, 142.565338, 161381
1972, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 15, 34694, 98.013199, 98.013199, 163353
10068, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 3530, 48831, 223.400528, 201.029068, 173421
1741, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 93, 47579, 175.939606, 168.591919, 175162
1485, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 34, 42492, 140.159210, 140.159210, 176647
1480, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 101, 43676, 137.041077, 123.556854, 178127
1854, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 433, 46393, 166.095795, 153.825760, 179981
940, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 6, 37082, 84.827263, 84.827263, 180921
1691, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 201, 42137, 203.612640, 196.270859, 182612
4486, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 2090, 49384, 223.642303, 182.764389, 187098
860, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 14, 33053, 107.322647, 104.268364, 187958
1527, 0, 0, 0, 0, 0, 0, 82, 67, 0, 0, 0, 981, 38283, 157.778717, 157.778717, 189485
1894.850000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 82, 67.000000, 0.000000, 0.000000, 0.000000, 1299.850000, 36828.740000, 123.150352, 112.484295, 189485.000000
