querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
14646, 0, 0, 0, 0, 0, 0, 1443, 356, 0, 0, 0, 16059, 332168, 62.247360, 62.247360, 14646
2001, 0, 0, 0, 0, 0, 0, 1443, 292, 0, 0, 0, 9, 13050, 5.631339, 5.631339, 16647
2480, 0, 0, 0, 0, 0, 0, 1443, 280, 0, 0, 0, 1237, 98060, 29.198050, 29.198050, 19127
1372, 0, 0, 0, 0, 0, 0, 1443, 268, 0, 0, 0, 51, 12045, 3.371729, 3.371729, 20499
1071, 0, 0, 0, 0, 0, 0, 1443, 262, 0, 0, 0, 9, 9372, 6.185989, 6.185989, 21570
4086, 0, 0, 0, 0, 0, 0, 1443, 1029, 0, 0, 0, 1943, 1679392, 107.154747, 107.154747, 25656
2024, 0, 0, 0, 0, 0, 0, 1443, 276, 0, 0, 0, 330, 34398, 13.997404, 13.997404, 27680
1101, 0, 0, 0, 0, 0, 0, 1443, 318, 0, 0, 0, 293, 56806, 24.051296, 24.051296, 28781
915, 0, 0, 0, 0, 0, 0, 1443, 268, 0, 0, 0, 5, 80, 0.000000, 0.000000, 29696
2298, 0, 0, 0, 0, 0, 0, 1443, 316, 0, 0, 0, 3001, 191934, 41.936146, 38.112732, 31994
895, 0, 0, 0, 0, 0, 0, 1443, 286, 0, 0, 0, 22, 11578, 2.832206, 2.832206, 32889
3378, 0, 0, 0, 0, 0, 0, 1443, 388, 0, 0, 0, 10369, 220087, 59.849091, 49.776207, 36267
972, 0, 0, 0, 0, 0, 0, 1443, 274, 0, 0, 0, 83, 6860, 0.506250, 0.506250, 37239
840, 0, 0, 0, 0, 0, 0, 1443, 290, 0, 0, 0, 8, 10631, 2.831873, 2.831873, 38079
850, 0, 0, 0, 0, 0, 0, 1443, 274, 0, 0, 0, 27, 14528, 3.081250, 3.081250, 38929
798, 0, 0, 0, 0, 0, 0, 1443, 294, 0, 0, 0, 52, 17878, 7.334002, 7.334002, 39727
923, 0, 0, 0, 0, 0, 0, 1443, 268, 0, 0, 0, 27, 5301, 0.348326, 0.348326, 40650
894, 0, 0, 0, 0, 0, 0, 1443, 274, 0, 0, 0, 46, 5943, 0.603243, 0.502818, 41544
3278, 0, 0, 0, 0, 0, 0, 1443, 1339, 0, 0, 0, 5971, 1728976, 175.656311, 124.780502, 44822
944, 0, 0, 0, 0, 0, 0, 1443, 278, 0, 0, 0, 12, 5855, 0.978197, 0.978197, 45766
880, 0, 0, 0, 0, 0, 0, 1443, 274, 0, 0, 0, 19, 4633, 0.821146, 0.821146, 46646
809, 0, 0, 0, 0, 0, 0, 1443, 280, 0, 0, 0, 18, 5754, 0.519804, 0.470098, 47455
1078, 0, 0, 0, 0, 0, 0, 1443, 284, 0, 0, 0, 268, 17191, 2.395940, 2.395940, 48533
16030, 0, 0, 0, 0, 0, 0, 1443, 1257, 0, 0, 0, 829385, 2191925, 236.253387, 218.710754, 64563
991, 0, 0, 0, 0, 0, 0, 1443, 294, 0, 0, 0, 29, 15608, 6.422733, 6.422733, 65554
950, 0, 0, 0, 0, 0, 0, 1443, 268, 0, 0, 0, 61, 9577, 1.705613, 1.705613, 66504
822, 0, 0, 0, 0, 0, 0, 1443, 286, 0, 0, 0, 11, 3136, 0.499470, 0.499470, 67326
2793, 0, 0, 0, 0, 0, 0, 1443, 1181, 0, 0, 0, 603, 1896408, 205.178040, 165.894638, 70119
3025, 0, 0, 0, 0, 0, 0, 1443, 1248, 0, 0, 0, 1425, 1984017, 191.468781, 191.295517, 73144
1664, 0, 0, 0, 0, 0, 0, 1443, 327, 0, 0, 0, 1065, 56345, 6.114902, 6.114902, 74808
