querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
14470, 0, 0, 0, 0, 0, 0, 8660, 2430, 0, 0, 0, 176299, 4769731, 81.159088, 78.210190, 14470
28001, 0, 0, 0, 0, 0, 0, 8660, 8494, 0, 0, 0, 930387, 15898856, 260.975311, 206.411530, 42471
20473, 0, 0, 0, 0, 0, 0, 8660, 7075, 0, 0, 0, 613151, 14828382, 222.048157, 171.566635, 62944
1293488, 0, 0, 0, 0, 0, 0, 8660, 8610, 0, 0, 0, 13301664, 23156736, 272.099609, 256.000000, 1356432
25934, 0, 0, 0, 0, 0, 0, 8660, 7341, 0, 0, 0, 47627, 14715527, 211.515152, 155.947861, 1382366
10061, 0, 0, 0, 0, 0, 0, 8660, 6931, 0, 0, 0, 5638, 13900651, 164.461395, 121.478027, 1392427
35027, 0, 0, 0, 0, 0, 0, 8660, 8534, 0, 0, 0, 2708774, 15032779, 266.009277, 182.873825, 1427454
1654, 0, 0, 0, 0, 0, 0, 8660, 392, 0, 0, 0, 5986, 247127, 9.917748, 9.063295, 1429108
38786, 0, 0, 0, 0, 0, 0, 8660, 8610, 0, 0, 0, 2379702, 16298975, 277.240387, 219.588608, 1467894
14946, 0, 0, 0, 0, 0, 0, 8660, 8446, 0, 0, 0, 130198, 15366559, 239.579010, 185.919205, 1482840
7617, 0, 0, 0, 0, 0, 0, 8660, 7735, 0, 0, 0, 3569, 14091451, 183.186340, 128.844208, 1490457
59366, 0, 0, 0, 0, 0, 0, 8660, 8610, 0, 0, 0, 4652606, 16716036, 261.623352, 237.750702, 1549823
14822, 0, 0, 0, 0, 0, 0, 8660, 5841, 0, 0, 0, 401013, 13364913, 158.086639, 141.374161, 1564645
53333, 0, 0, 0, 0, 0, 0, 8660, 8610, 0, 0, 0, 4480473, 16276580, 304.190918, 219.835846, 1617978
49317, 0, 0, 0, 0, 0, 0, 8660, 8543, 0, 0, 0, 3915163, 15863894, 245.054764, 205.275467, 1667295
3544, 0, 0, 0, 0, 0, 0, 8660, 844, 0, 0, 0, 30676, 1376892, 43.800819, 43.800819, 1670839
13480, 0, 0, 0, 0, 0, 0, 8660, 8444, 0, 0, 0, 309906, 14459339, 239.087921, 149.911194, 1684319
9741, 0, 0, 0, 0, 0, 0, 8660, 6253, 0, 0, 0, 52019, 12757918, 178.362320, 138.869034, 1694060
8923, 0, 0, 0, 0, 0, 0, 8660, 8401, 0, 0, 0, 17472, 14322584, 242.029694, 144.602402, 1702983
13563, 0, 0, 0, 0, 0, 0, 8660, 8228, 0, 0, 0, 243338, 14580830, 230.200668, 162.322830, 1716546
11990, 0, 0, 0, 0, 0, 0, 8660, 8048, 0, 0, 0, 33995, 14863309, 194.471130, 169.901001, 1728536
6572, 0, 0, 0, 0, 0, 0, 8660, 3907, 0, 0, 0, 68782, 7451765, 111.802643, 86.938248, 1735108
22039, 0, 0, 0, 0, 0, 0, 8660, 8558, 0, 0, 0, 696609, 15111490, 268.842987, 183.295746, 1757147
30206, 0, 0, 0, 0, 0, 0, 8660, 8400, 0, 0, 0, 1514486, 15656641, 227.247910, 194.510406, 1787353
6253, 0, 0, 0, 0, 0, 0, 8660, 6495, 0, 0, 0, 160, 13054046, 165.156509, 100.896454, 1793606
2933, 0, 0, 0, 0, 0, 0, 8660, 721, 0, 0, 0, 18502, 1047213, 21.044954, 19.359430, 1796539
55252, 0, 0, 0, 0, 0, 0, 8660, 8483, 0, 0, 0, 3970356, 16504017, 255.548538, 233.221298, 1851791
52171, 0, 0, 0, 0, 0, 0, 8660, 8610, 0, 0, 0, 3890660, 16130753, 295.401215, 218.898788, 1903962
16909, 0, 0, 0, 0, 0, 0, 8660, 8483, 0, 0, 0, 371474, 15348694, 266.502258, 185.422882, 1920871
45349, 0, 0, 0, 0, 0, 0, 8660, 8485, 0, 0, 0, 3450849, 15848395, 238.038315, 205.612717, 1966220
5387, 0, 0, 0, 0, 0, 0, 8660, 6374, 0, 0, 0, 144, 11563278, 156.374130, 76.868332, 1971607
16346, 0, 0, 0, 0, 0, 0, 8660, 8354, 0, 0, 0, 490266, 14405655, 245.716248, 145.756668, 1987953
35301, 0, 0, 0, 0, 0, 0, 8660, 8610, 0, 0, 0, 2623533, 15669754, 258.370728, 191.364471, 2023254
41972, 0, 0, 0, 0, 0, 0, 8660, 8610, 0, 0, 0, 4202430, 15238187, 290.319641, 181.738922, 2065226
54313, 0, 0, 0, 0, 0, 0, 8660, 8610, 0, 0, 0, 4701516, 16330023, 304.672668, 222.015701, 2119539
1290636, 0, 0, 0, 0, 0, 0, 8660, 8610, 0, 0, 0, 15884225, 23837802, 334.238098, 256.000031, 3410175
