querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
1422, 0, 0, 0, 0, 0, 0, 26262, 296, 0, 0, 0, 232, 633, 0.000000, 0.000000, 1422
856, 0, 0, 0, 0, 0, 0, 26262, 279, 0, 0, 0, 18, 407, 0.003883, 0.003883, 2278
807, 0, 0, 0, 0, 0, 0, 26262, 279, 0, 0, 0, 18, 996, 0.015523, 0.015523, 3085
796, 0, 0, 0, 0, 0, 0, 26262, 279, 0, 0, 0, 18, 1440, 0.034906, 0.034906, 3881
808, 0, 0, 0, 0, 0, 0, 26262, 279, 0, 0, 0, 17, 1932, 0.062013, 0.062013, 4689
807, 0, 0, 0, 0, 0, 0, 26262, 279, 0, 0, 0, 17, 2385, 0.096824, 0.096824, 5496
809, 0, 0, 0, 0, 0, 0, 26262, 279, 0, 0, 0, 17, 2805, 0.139316, 0.139316, 6305
830, 0, 0, 0, 0, 0, 0, 26262, 279, 0, 0, 0, 17, 3307, 0.189462, 0.189462, 7135
820, 0, 0, 0, 0, 0, 0, 26262, 286, 0, 0, 0, 17, 5352, 0.247234, 0.247234, 7955
819, 0, 0, 0, 0, 0, 0, 26262, 286, 0, 0, 0, 16, 6331, 0.312600, 0.312600, 8774
856, 0, 0, 0, 0, 0, 0, 26262, 314, 0, 0, 0, 16, 13086, 0.385527, 0.385527, 9630
882, 0, 0, 0, 0, 0, 0, 26262, 314, 0, 0, 0, 16, 17243, 0.465978, 0.465978, 10512
895, 0, 0, 0, 0, 0, 0, 26262, 339, 0, 0, 0, 16, 24865, 0.553913, 0.553913, 11407
944, 0, 0, 0, 0, 0, 0, 26262, 351, 0, 0, 0, 16, 35285, 0.649291, 0.649291, 12351
990, 0, 0, 0, 0, 0, 0, 26262, 390, 0, 0, 0, 16, 56499, 0.752068, 0.752068, 13341
1059, 0, 0, 0, 0, 0, 0, 26262, 395, 0, 0, 0, 16, 68057, 0.862197, 0.862197, 14400
1149, 0, 0, 0, 0, 0, 0, 26262, 456, 0, 0, 0, 16, 90753, 0.979630, 0.979630, 15549
1132, 0, 0, 0, 0, 0, 0, 26262, 515, 0, 0, 0, 16, 116757, 1.104315, 1.104315, 16681
1143, 0, 0, 0, 0, 0, 0, 26262, 569, 0, 0, 0, 16, 154669, 1.236198, 1.236198, 17824
1229, 0, 0, 0, 0, 0, 0, 26262, 656, 0, 0, 0, 16, 193797, 1.375224, 1.375224, 19053
1178, 0, 0, 0, 0, 0, 0, 26262, 716, 0, 0, 0, 16, 228556, 1.521335, 1.521335, 20231
1130, 0, 0, 0, 0, 0, 0, 26262, 838, 0, 0, 0, 16, 298237, 1.674471, 1.674471, 21361
1127, 0, 0, 0, 0, 0, 0, 26262, 951, 0, 0, 0, 16, 362779, 1.834570, 1.834570, 22488
1133, 0, 0, 0, 0, 0, 0, 26262, 1024, 0, 0, 0, 16, 418469, 2.001568, 2.001568, 23621
1194, 0, 0, 0, 0, 0, 0, 26262, 1103, 0, 0, 0, 16, 507140, 2.175399, 2.175399, 24815
1280, 0, 0, 0, 0, 0, 0, 26262, 1178, 0, 0, 0, 16, 571529, 2.355994, 2.355994, 26095
1352, 0, 0, 0, 0, 0, 0, 26262, 1254, 0, 0, 0, 16, 658778, 2.543284, 2.543284, 27447
1385, 0, 0, 0, 0, 0, 0, 26262, 1319, 0, 0, 0, 16, 735114, 2.737198, 2.737198, 28832
1438, 0, 0, 0, 0, 0, 0, 26262, 1395, 0, 0, 0, 16, 826685, 2.937662, 2.937662, 30270
1362, 0, 0, 0, 0, 0, 0, 26262, 1440, 0, 0, 0, 16, 926134, 3.144603, 3.144603, 31632
1354, 0, 0, 0, 0, 0, 0, 26262, 1488, 0, 0, 0, 16, 1047875, 3.357941, 3.357941, 32986
1405, 0, 0, 0, 0, 0, 0, 26262, 1518, 0, 0, 0, 16, 1122350, 3.577602, 3.577602, 34391
1498, 0, 0, 0, 0, 0, 0, 26262, 1556, 0, 0, 0, 16, 1210704, 3.803504, 3.803504, 35889
1533, 0, 0, 0, 0, 0, 0, 26262, 1618, 0, 0, 0, 16, 1305350, 4.035569, 4.035569, 37422
1618, 0, 0, 0, 0, 0, 0, 26262, 1655, 0, 0, 0, 16, 1394002, 4.273712, 4.273712, 39040
1686, 0, 0, 0, 0, 0, 0, 26262, 1698, 0, 0, 0, 16, 1480112, 4.517852, 4.517852, 40726
1670, 0, 0, 0, 0, 0, 0, 26262, 1778, 0, 0, 0, 16, 1597083, 4.767904, 4.767904, 42396
1751, 0, 0, 0, 0, 0, 0, 26262, 1845, 0, 0, 0, 16, 1742671, 5.023783, 5.023783, 44147
1794, 0, 0, 0, 0, 0, 0, 26262, 1943, 0, 0, 0, 16, 1868442, 5.285402, 5.285402, 45941
1936, 0, 0, 0, 0, 0, 0, 26262, 2174, 0, 0, 0, 17, 2064020, 5.552673, 5.552673, 47877
2074, 0, 0, 0, 0, 0, 0, 26262, 2434, 0, 0, 0, 17, 2300147, 5.825509, 5.825509, 49951
2217, 0, 0, 0, 0, 0, 0, 26262, 2584, 0, 0, 0, 18, 2527160, 6.103820, 6.103820, 52168
2363, 0, 0, 0, 0, 0, 0, 26262, 2694, 0, 0, 0, 18, 2722391, 6.387516, 6.387516, 54531
2458, 0, 0, 0, 0, 0, 0, 26262, 2765, 0, 0, 0, 18, 2886748, 6.676507, 6.676507, 56989
2596, 0, 0, 0, 0, 0, 0, 26262, 2894, 0, 0, 0, 18, 3111820, 6.970702, 6.970702, 59585
2780, 0, 0, 0, 0, 0, 0, 26262, 3021, 0, 0, 0, 18, 3364051, 7.270007, 7.270007, 62365
2852, 0, 0, 0, 0, 0, 0, 26262, 3035, 0, 0, 0, 18, 3561257, 7.574333, 7.574333, 65217
3004, 0, 0, 0, 0, 0, 0, 26262, 3154, 0, 0, 0, 18, 3763959, 7.883585, 7.883585, 68221
3121, 0, 0, 0, 0, 0, 0, 26262, 3314, 0, 0, 0, 18, 4048708, 8.197671, 8.197671, 71342
3357, 0, 0, 0, 0, 0, 0, 26262, 3462, 0, 0, 0, 19, 4356641, 8.516496, 8.516496, 74699
3556, 0, 0, 0, 0, 0, 0, 26262, 3707, 0, 0, 0, 19, 4706751, 8.839969, 8.839969, 78255
3824, 0, 0, 0, 0, 0, 0, 26262, 3887, 0, 0, 0, 20, 5084867, 9.167991, 9.167991, 82079
4005, 0, 0, 0, 0, 0, 0, 26262, 4060, 0, 0, 0, 21, 5407723, 9.500474, 9.500474, 86084
4150, 0, 0, 0, 0, 0, 0, 26262, 4230, 0, 0, 0, 21, 5800087, 9.837320, 9.837320, 90234
4366, 0, 0, 0, 0, 0, 0, 26262, 4380, 0, 0, 0, 21, 6163119, 10.178436, 10.178436, 94600
4500, 0, 0, 0, 0, 0, 0, 26262, 4430, 0, 0, 0, 21, 6456673, 10.523729, 10.523729, 99100
4652, 0, 0, 0, 0, 0, 0, 26262, 4535, 0, 0, 0, 21, 6758730, 10.873100, 10.873100, 103752
4852, 0, 0, 0, 0, 0, 0, 26262, 4663, 0, 0, 0, 21, 7199490, 11.226464, 11.226464, 108604
5011, 0, 0, 0, 0, 0, 0, 26262, 4742, 0, 0, 0, 21, 7544011, 11.583717, 11.583717, 113615
5243, 0, 0, 0, 0, 0, 0, 26262, 4838, 0, 0, 0, 22, 7892600, 11.944773, 11.944773, 118858
5364, 0, 0, 0, 0, 0, 0, 26262, 5074, 0, 0, 0, 23, 8284615, 12.309534, 12.309534, 124222
