querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
41107, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 2294406, 3810028, 358.011383, 339.123413, 41107
1134, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 24, 27140, 0.655206, 0.365176, 42241
33868, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 2156856, 3628661, 334.399445, 304.093292, 76109
1026, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 9, 12590, 1.638407, 1.638407, 77135
19417, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1416245, 2955217, 215.852890, 194.679367, 96552
15173, 0, 0, 0, 0, 0, 0, 1128, 1011, 0, 0, 0, 991802, 2843727, 191.787735, 187.058197, 111725
1057, 0, 0, 0, 0, 0, 0, 1128, 292, 0, 0, 0, 17, 26527, 4.338750, 3.834274, 112782
915, 0, 0, 0, 0, 0, 0, 1128, 260, 0, 0, 0, 34, 21231, 1.939525, 1.939525, 113697
884, 0, 0, 0, 0, 0, 0, 1128, 268, 0, 0, 0, 82, 22193, 1.046239, 0.892898, 114581
23270, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1662563, 3423355, 311.548096, 251.283997, 137851
1147, 0, 0, 0, 0, 0, 0, 1128, 284, 0, 0, 0, 17, 45652, 1.697101, 1.697101, 138998
877, 0, 0, 0, 0, 0, 0, 1128, 268, 0, 0, 0, 16, 12762, 0.119568, 0.119568, 139875
34199, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 2166904, 3723250, 340.882843, 322.906403, 174074
1271, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 35, 71771, 3.684936, 3.514809, 175345
1159, 0, 0, 0, 0, 0, 0, 1128, 308, 0, 0, 0, 51, 159546, 7.109738, 6.178798, 176504
941, 0, 0, 0, 0, 0, 0, 1128, 300, 0, 0, 0, 47, 120315, 4.848814, 4.848814, 177445
1547, 0, 0, 0, 0, 0, 0, 1128, 771, 0, 0, 0, 57, 1459750, 102.810837, 102.810837, 178992
1316, 0, 0, 0, 0, 0, 0, 1128, 340, 0, 0, 0, 46, 338349, 13.943946, 12.769118, 180308
19929, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1437452, 3347658, 271.768250, 253.340530, 200237
1161, 0, 0, 0, 0, 0, 0, 1128, 292, 0, 0, 0, 44, 63079, 5.605164, 5.605164, 201398
949, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 68, 47234, 2.413368, 2.319895, 202347
10616, 0, 0, 0, 0, 0, 0, 1128, 1083, 0, 0, 0, 618304, 2766406, 219.243408, 151.521973, 212963
36989, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 2259829, 3785399, 372.191162, 338.448669, 249952
1026, 0, 0, 0, 0, 0, 0, 1128, 260, 0, 0, 0, 11, 19269, 1.670906, 1.670906, 250978
4736, 0, 0, 0, 0, 0, 0, 1128, 420, 0, 0, 0, 77597, 964431, 112.728157, 108.396278, 255714
1071, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 20, 21590, 0.887677, 0.887677, 256785
882, 0, 0, 0, 0, 0, 0, 1128, 292, 0, 0, 0, 9, 77765, 5.915697, 5.915697, 257667
911, 0, 0, 0, 0, 0, 0, 1128, 268, 0, 0, 0, 82, 23676, 0.362603, 0.362603, 258578
789, 0, 0, 0, 0, 0, 0, 1128, 268, 0, 0, 0, 7, 14600, 0.480697, 0.480697, 259367
35713, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 2209488, 3725920, 347.777985, 325.659454, 295080
3118, 0, 0, 0, 0, 0, 0, 1128, 348, 0, 0, 0, 24548, 411949, 38.665005, 35.937550, 298198
2259, 0, 0, 0, 0, 0, 0, 1128, 612, 0, 0, 0, 3604, 1225708, 120.974510, 114.644341, 300457
1977, 0, 0, 0, 0, 0, 0, 1128, 835, 0, 0, 0, 53, 2284772, 115.778427, 115.778427, 302434
1186, 0, 0, 0, 0, 0, 0, 1128, 308, 0, 0, 0, 294, 67793, 19.180492, 18.711531, 303620
3543, 0, 0, 0, 0, 0, 0, 1128, 388, 0, 0, 0, 27860, 753759, 99.796188, 95.383003, 307163
2706, 0, 0, 0, 0, 0, 0, 1128, 364, 0, 0, 0, 6421, 501569, 18.398319, 17.472527, 309869
1321, 0, 0, 0, 0, 0, 0, 1128, 292, 0, 0, 0, 223, 63689, 1.711777, 1.470447, 311190
3963, 0, 0, 0, 0, 0, 0, 1128, 396, 0, 0, 0, 50430, 737411, 69.170433, 67.701973, 315153
1181, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 151, 43547, 1.798468, 1.755522, 316334
1054, 0, 0, 0, 0, 0, 0, 1128, 308, 0, 0, 0, 62, 130286, 27.142735, 26.423361, 317388
39638, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 2337167, 3805215, 381.371918, 345.895233, 357026
2582, 0, 0, 0, 0, 0, 0, 1128, 452, 0, 0, 0, 11657, 566870, 64.435608, 53.962894, 359608
5132, 0, 0, 0, 0, 0, 0, 1128, 819, 0, 0, 0, 59047, 1851348, 135.252060, 126.116547, 364740
2922, 0, 0, 0, 0, 0, 0, 1128, 372, 0, 0, 0, 14836, 378299, 36.093689, 34.010883, 367662
34704, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 2200297, 3702574, 372.447144, 258.337555, 402366
35921, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 2249243, 3734889, 353.291229, 321.179871, 438287
25810, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1780068, 3318413, 309.819824, 243.376450, 464097
5060, 0, 0, 0, 0, 0, 0, 1128, 971, 0, 0, 0, 50634, 3183171, 210.081512, 204.954391, 469157
35594, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 2207821, 3685918, 362.417297, 323.347076, 504751
34090, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 2068907, 3588813, 335.916992, 277.569977, 538841
34569, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 2264146, 3746411, 381.190735, 334.601166, 573410
35933, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 2147737, 3654657, 362.217316, 307.404297, 609343
36141, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 2187517, 3678862, 345.482361, 320.210419, 645484
33720, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1960062, 3464866, 337.565125, 280.394714, 679204
1047, 0, 0, 0, 0, 0, 0, 1128, 276, 0, 0, 0, 17, 17063, 1.354596, 1.354596, 680251
7273, 0, 0, 0, 0, 0, 0, 1128, 923, 0, 0, 0, 247432, 3013078, 175.788788, 169.126221, 687524
21419, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1539180, 3004953, 234.154541, 197.533722, 708943
3676, 0, 0, 0, 0, 0, 0, 1128, 931, 0, 0, 0, 28589, 2487568, 123.649399, 112.079292, 712619
29003, 0, 0, 0, 0, 0, 0, 1128, 1083, 0, 0, 0, 1937203, 3590399, 296.365906, 295.079834, 741622
19819, 0, 0, 0, 0, 0, 0, 1128, 1091, 0, 0, 0, 1187261, 2802596, 284.299988, 141.814789, 761441
17983, 0, 0, 0, 0, 0, 0, 1128, 1011, 0, 0, 0, 1283873, 3302370, 263.121216, 242.901428, 779424
1693, 0, 0, 0, 0, 0, 0, 1128, 284, 0, 0, 0, 729, 70207, 3.396460, 3.396460, 781117
998, 0, 0, 0, 0, 0, 0, 1128, 268, 0, 0, 0, 96, 23535, 0.251222, 0.240212, 782115
2401, 0, 0, 0, 0, 0, 0, 1128, 811, 0, 0, 0, 1453, 2577777, 147.625504, 138.824539, 784516
917, 0, 0, 0, 0, 0, 0, 1128, 284, 0, 0, 0, 18, 19658, 0.450257, 0.450257, 785433
800, 0, 0, 0, 0, 0, 0, 1128, 260, 0, 0, 0, 56, 38441, 5.500353, 3.273175, 786233
752, 0, 0, 0, 0, 0, 0, 1128, 292, 0, 0, 0, 57, 25914, 5.106524, 3.416408, 786985
854, 0, 0, 0, 0, 0, 0, 1128, 268, 0, 0, 0, 25, 26750, 0.382158, 0.382158, 787839
