querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
184622, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 15866307, 35691363, 231.081543, 197.435654, 184622
16220, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 763, 29047766, 142.408157, 104.374054, 200842
23152, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 12006, 35667616, 225.685394, 180.244339, 223994
25417, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 39346, 35726315, 279.366730, 197.705124, 249411
16682, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 240, 35338253, 150.312317, 143.106445, 266093
236101, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 23221764, 35796629, 331.072662, 252.393997, 502194
23750, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 49654, 35598537, 286.976288, 161.773743, 525944
292145, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 25246840, 35807740, 320.319885, 255.999405, 818089
157963, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 14007655, 35747081, 300.160919, 226.760910, 976052
146512, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 15833181, 35566006, 190.986771, 149.130676, 1122564
161077, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 15303019, 35670939, 239.640778, 177.441101, 1283641
24008, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 2606409, 19809564, 80.151733, 25.845432, 1307649
289770, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 25809436, 35815261, 352.364441, 255.999298, 1597419
61802, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 3164584, 35766761, 251.522903, 226.074768, 1659221
19524, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 3221, 35633820, 208.026154, 169.612061, 1678745
23409, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 3210, 35710368, 229.872314, 196.722870, 1702154
160614, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 14516072, 35807863, 293.036530, 250.125214, 1862768
19254, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 5513, 35667703, 245.544403, 180.750015, 1882022
268976, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 24295257, 35831355, 333.772003, 255.998138, 2150998
36760, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 928438, 35771863, 257.203613, 226.219116, 2187758
28872, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 224030, 35717167, 262.252075, 191.079590, 2216630
26075, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 62816, 35680475, 265.905945, 183.750427, 2242705
177002, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 16326833, 35700824, 223.082932, 191.238434, 2419707
19734, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 1182, 35632801, 184.976257, 169.300980, 2439441
18540, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 14912, 35536704, 182.788406, 147.729996, 2457981
3469, 0, 0, 0, 0, 0, 0, 6065, 2740, 0, 0, 0, 524, 4464812, 144.101578, 88.271446, 2461450
165566, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 13553759, 35788789, 283.987518, 237.982239, 2627016
19277, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 3829, 35617971, 249.544357, 162.195740, 2646293
25302, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 18237, 35693168, 290.644745, 173.879700, 2671595
61358, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 3597097, 35757824, 299.707245, 219.060059, 2732953
18984, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 1125, 35640994, 226.839996, 174.843048, 2751937
276865, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 24420592, 35824578, 347.433624, 255.998871, 3028802
100154, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 7336153, 35772369, 251.708008, 230.416183, 3128956
202228, 0, 0, 0, 0, 0, 0, 6065, 6028, 0, 0, 0, 17532284, 35797128, 325.207306, 255.999191, 3331184
