querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
2114, 0, 0, 0, 0, 0, 0, 21643, 261, 0, 0, 0, 539, 883, 0.000000, 0.000000, 2114
58358, 0, 0, 0, 0, 0, 0, 21643, 20500, 0, 0, 0, 2426, 85272842, 44.803566, 34.549793, 60472
1005, 0, 0, 0, 0, 0, 0, 21643, 261, 0, 0, 0, 276, 3956, 0.000000, 0.000000, 61477
55890, 0, 0, 0, 0, 0, 0, 21643, 20380, 0, 0, 0, 13828, 87429311, 46.343365, 38.919632, 117367
1824, 0, 0, 0, 0, 0, 0, 21643, 261, 0, 0, 0, 2909, 5516, 0.000000, 0.000000, 119191
986, 0, 0, 0, 0, 0, 0, 21643, 261, 0, 0, 0, 934, 1938, 0.000000, 0.000000, 120177
21105, 0, 0, 0, 0, 0, 0, 21643, 20180, 0, 0, 0, 774, 37895384, 38.854961, 15.690112, 141282
1005, 0, 0, 0, 0, 0, 0, 21643, 261, 0, 0, 0, 240, 465, 0.000000, 0.000000, 142287
51711, 0, 0, 0, 0, 0, 0, 21643, 21553, 0, 0, 0, 83846, 94744642, 60.790913, 42.899731, 193998
35084, 0, 0, 0, 0, 0, 0, 21643, 21084, 0, 0, 0, 4048, 78597682, 40.165901, 35.166306, 229082
40379, 0, 0, 0, 0, 0, 0, 21643, 21553, 0, 0, 0, 16384, 91453394, 53.968433, 36.619648, 269461
15246, 0, 0, 0, 0, 0, 0, 21643, 21583, 0, 0, 0, 20928, 23610019, 63.220150, 11.109506, 284707
16861, 0, 0, 0, 0, 0, 0, 21643, 19316, 0, 0, 0, 3163, 30776080, 36.726837, 15.164784, 301568
44540, 0, 0, 0, 0, 0, 0, 21643, 21601, 0, 0, 0, 86853, 94104744, 82.026451, 37.922192, 346108
15472, 0, 0, 0, 0, 0, 0, 21643, 21553, 0, 0, 0, 71057, 22344482, 67.310249, 13.402409, 361580
66685, 0, 0, 0, 0, 0, 0, 21643, 21606, 0, 0, 0, 870199, 97403546, 80.462273, 51.779781, 428265
8608, 0, 0, 0, 0, 0, 0, 21643, 9308, 0, 0, 0, 119, 13551518, 16.416704, 10.243480, 436873
67168, 0, 0, 0, 0, 0, 0, 21643, 21606, 0, 0, 0, 830021, 97574914, 88.179070, 55.759556, 504041
31529, 0, 0, 0, 0, 0, 0, 21643, 21590, 0, 0, 0, 23321, 73286613, 76.757668, 30.069393, 535570
14772, 0, 0, 0, 0, 0, 0, 21643, 15276, 0, 0, 0, 1290, 28127177, 27.375078, 16.314886, 550342
34569, 0, 0, 0, 0, 0, 0, 21643, 20868, 0, 0, 0, 3592, 77169086, 45.097443, 28.263241, 584911
35566, 0, 0, 0, 0, 0, 0, 21643, 21601, 0, 0, 0, 43865, 80591477, 75.125038, 22.642014, 620477
13236, 0, 0, 0, 0, 0, 0, 21643, 15932, 0, 0, 0, 2463, 24737649, 32.040833, 16.834091, 633713
48863, 0, 0, 0, 0, 0, 0, 21643, 21606, 0, 0, 0, 461368, 90107090, 101.524742, 32.403099, 682576
7511, 0, 0, 0, 0, 0, 0, 21643, 4950, 0, 0, 0, 27733, 11814565, 21.414045, 15.549284, 690087
9799, 0, 0, 0, 0, 0, 0, 21643, 7126, 0, 0, 0, 358, 18102063, 21.091682, 16.141333, 699886
24994, 0, 0, 0, 0, 0, 0, 21643, 21606, 0, 0, 0, 163097, 47435520, 60.774990, 24.506615, 724880
45598, 0, 0, 0, 0, 0, 0, 21643, 21583, 0, 0, 0, 17257, 91064080, 63.503181, 41.248035, 770478
21429, 0, 0, 0, 0, 0, 0, 21643, 21606, 0, 0, 0, 278222, 36524615, 71.514702, 14.576103, 791907
41320, 0, 0, 0, 0, 0, 0, 21643, 18486, 0, 0, 0, 172370, 78916668, 40.810959, 40.810959, 833227
4147, 0, 0, 0, 0, 0, 0, 21643, 9796, 0, 0, 0, 321, 1111650, 21.862267, 3.424041, 837374
924, 0, 0, 0, 0, 0, 0, 21643, 261, 0, 0, 0, 201, 336, 0.000000, 0.000000, 838298
910, 0, 0, 0, 0, 0, 0, 21643, 261, 0, 0, 0, 1084, 2344, 0.000000, 0.000000, 839208
35255, 0, 0, 0, 0, 0, 0, 21643, 21578, 0, 0, 0, 20474, 81425926, 57.008194, 30.182119, 874463
28466, 0, 0, 0, 0, 0, 0, 21643, 21558, 0, 0, 0, 58477, 63156098, 57.216908, 31.217703, 902929
16628, 0, 0, 0, 0, 0, 0, 21643, 18132, 0, 0, 0, 757, 34680847, 22.536041, 13.718361, 919557
39001, 0, 0, 0, 0, 0, 0, 21643, 21308, 0, 0, 0, 9731, 86178134, 55.882717, 42.414009, 958558
42473, 0, 0, 0, 0, 0, 0, 21643, 21590, 0, 0, 0, 1486, 89508125, 54.572407, 26.125694, 1001031
48776, 0, 0, 0, 0, 0, 0, 21643, 21590, 0, 0, 0, 98547, 95617024, 65.254654, 44.360229, 1049807
40779, 0, 0, 0, 0, 0, 0, 21643, 21260, 0, 0, 0, 73977, 88582663, 54.499310, 46.439201, 1090586
1079, 0, 0, 0, 0, 0, 0, 21643, 261, 0, 0, 0, 635, 667, 0.000000, 0.000000, 1091665
29849, 0, 0, 0, 0, 0, 0, 21643, 21578, 0, 0, 0, 2858, 64057484, 36.471142, 17.250511, 1121514
42375, 0, 0, 0, 0, 0, 0, 21643, 21590, 0, 0, 0, 19518, 91012640, 72.873344, 33.562279, 1163889
46938, 0, 0, 0, 0, 0, 0, 21643, 21606, 0, 0, 0, 47426, 94094232, 92.568710, 38.470444, 1210827
