query,total_records,query_wall_us,worker_search_us,node_mbr_checks,node_mbr_pruned,node_mbr_us,group_mbr_checks,group_mbr_pruned,group_mbr_us,radial_checks,radial_pruned,radial_us,symbolic_checks,symbolic_pruned,symbolic_us,residual_checks,residual_pruned,residual_us,exact_evaluated,exact_us,other_worker_us
0,4999932,45573,2107749,1091,69094,3101,6432,155445,16098,3917772,1378711,30346,3396682,910877,573698,4166159,779498,214785,1706307,812460,457261
1,4999932,1152,6885,276,4934228,103,64,24491,25,21250,14623,74,26590,26561,781,64,6,7,23,7,5888
2,4999932,29431,1389416,1091,547184,1120,5856,79499,6384,3612734,1057731,15037,3315518,755990,267897,4233017,860338,96965,1699190,750506,251507
3,4999932,1317,6407,276,4941007,73,80,23658,38,30902,22677,94,12590,12582,441,16,0,0,8,6,5755
4,4999932,21669,904262,1091,887210,884,5504,497490,4985,2972474,659309,12392,2955923,1662121,173547,2526125,44534,67133,1249268,464419,180902
5,4999932,14241,476812,1011,1195747,793,5200,344649,4471,2890329,618054,10734,2841482,2121394,152390,1248550,184416,31063,535672,183241,94120
6,4999932,1348,7535,292,4942245,97,64,15788,43,26256,15372,88,26527,26496,698,60,15,3,16,7,6599
7,4999932,1246,6325,260,4961814,50,32,4274,27,21940,12616,52,21228,21195,534,61,3,3,30,12,5647
8,4999932,1261,5953,268,4954220,34,48,8295,17,25317,15224,84,22193,22102,682,163,33,9,58,20,5107
9,4999932,22829,858450,1091,111838,1055,6352,42963,6378,4008791,1507885,15016,3337246,2109334,216492,2347330,93172,59855,1134740,391275,168379
10,4999932,1447,7001,284,4919435,81,80,17345,30,39168,17501,140,45651,45631,1119,32,3,3,17,5,5623
11,4999932,1189,6418,268,4962540,42,48,7810,12,24873,16820,71,12762,12743,444,37,4,0,15,4,5845
12,4999932,37238,1492477,1091,33203,959,6496,86576,6583,4016272,1376275,16585,3503878,848215,277114,4450548,832358,102622,1823305,823355,265259
13,4999932,1608,6864,276,4877103,83,144,22152,60,81054,28905,281,71772,71736,1738,64,6,4,30,8,4690
14,4999932,1619,9725,308,4636801,103,480,88771,210,232757,115356,823,159004,158959,4269,76,8,5,37,11,4304
15,4999932,1313,7889,300,4724500,77,320,96351,129,119669,58460,406,120621,120577,3157,96,5,6,39,15,4099
16,4999932,2000,51639,771,2782089,416,2896,479025,1629,1381058,268205,4221,1470613,1470553,32397,99,16,10,44,12,12954
17,4999932,1918,16487,340,4401469,116,736,114010,374,393164,146082,1281,338371,338339,9639,51,3,8,29,10,5059
