querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
87233, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 54484, 578814, 274.872864, 252.075409, 87233
234212, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 455778, 578834, 343.547119, 305.809296, 321445
79398, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 79260, 578827, 289.379425, 257.408691, 400843
51572, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 32622, 578814, 227.161224, 227.161224, 452415
57812, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 40515, 578834, 270.911957, 252.694427, 510227
43736, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 13388, 578811, 266.905975, 239.022827, 553963
215029, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 420368, 578834, 359.954681, 330.186005, 768992
180632, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 328498, 578818, 313.108459, 295.016510, 949624
42722, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 7010, 578811, 231.599503, 231.599503, 992346
50926, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 23024, 578827, 267.529114, 255.593002, 1043272
245189, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 505650, 578834, 358.167175, 332.273407, 1288461
46747, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 13322, 574208, 278.345703, 219.572067, 1335208
148489, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 239651, 578827, 343.863464, 270.149353, 1483697
270296, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 578837, 578837, 383.084686, 354.312714, 1753993
102803, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 123955, 578827, 284.677368, 284.677368, 1856796
152989, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 254276, 578834, 345.463959, 304.460144, 2009785
32871, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 822, 574208, 195.381500, 185.877975, 2042656
49451, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 20018, 578827, 301.554810, 261.093567, 2092107
36702, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 6025, 566317, 254.266525, 184.020081, 2128809
75622, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 68646, 578834, 288.163300, 274.723969, 2204431
49681, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 16636, 578827, 276.716949, 258.643982, 2254112
44360, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 12408, 578830, 256.114502, 242.973755, 2298472
49746, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 21497, 578820, 314.189758, 244.364624, 2348218
36656, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 4544, 578811, 250.209030, 212.744431, 2384874
268753, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 578787, 578834, 336.467529, 336.467529, 2653627
122455, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 167280, 578834, 298.238647, 298.238647, 2776082
33424, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 531, 577019, 229.422272, 207.232269, 2809506
74216, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 61001, 578827, 291.080475, 283.994293, 2883722
71750, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 43420, 578811, 254.253815, 226.505020, 2955472
36739, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 3018, 574208, 244.194580, 210.800079, 2992211
41721, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 464, 578811, 222.739563, 219.827896, 3033932
48276, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 22561, 578811, 238.040848, 238.040848, 3082208
64828, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 35521, 578827, 297.701355, 265.024353, 3147036
117034, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 159030, 578811, 264.025208, 264.025208, 3264070
20946, 0, 0, 0, 0, 0, 0, 73, 52, 0, 0, 0, 100, 397350, 137.577896, 137.577896, 3285016
6494, 0, 0, 0, 0, 0, 0, 73, 19, 0, 0, 0, 1689, 122131, 60.284969, 56.780586, 3291510
28780, 0, 0, 0, 0, 0, 0, 73, 72, 0, 0, 0, 59, 541318, 201.813828, 183.246552, 3320290
266643, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 555872, 578834, 330.788666, 320.937531, 3586933
75475, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 63103, 578834, 296.825867, 283.712799, 3662408
21538, 0, 0, 0, 0, 0, 0, 73, 55, 0, 0, 0, 90, 406596, 149.380020, 147.246307, 3683946
38676, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 6736, 578811, 243.357086, 231.156464, 3722622
40225, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 8751, 575518, 282.325043, 217.473221, 3762847
102821, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 130232, 578827, 342.419922, 269.029541, 3865668
48430, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 21848, 578820, 287.313843, 229.691208, 3914098
33263, 0, 0, 0, 0, 0, 0, 73, 55, 0, 0, 0, 18196, 419644, 177.412537, 169.502441, 3947361
275011, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 578831, 578834, 381.909271, 348.267395, 4222372
142358, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 214233, 578818, 314.392517, 288.034302, 4364730
157316, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 247317, 578834, 345.928406, 323.682526, 4522046
231217, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 463967, 578818, 317.822083, 308.801544, 4753263
275103, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 578834, 578834, 370.892181, 346.626892, 5028366
267870, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 558854, 578834, 373.587830, 344.637634, 5296236
264924, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 560765, 578834, 348.116943, 324.062988, 5561160
172179, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 341490, 578827, 371.034668, 284.234650, 5733339
209841, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 400075, 578834, 373.539337, 329.938477, 5943180
193894, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 341126, 578827, 359.176819, 311.169556, 6137074
71066, 0, 0, 0, 0, 0, 0, 73, 63, 0, 0, 0, 87615, 480715, 204.092148, 197.448776, 6208140
102770, 0, 0, 0, 0, 0, 0, 73, 64, 0, 0, 0, 148957, 502025, 275.510162, 237.759842, 6310910
272658, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 578557, 578834, 388.283417, 365.339172, 6583568
71182, 0, 0, 0, 0, 0, 0, 73, 55, 0, 0, 0, 104758, 426604, 170.051636, 166.867004, 6654750
13838, 0, 0, 0, 0, 0, 0, 73, 27, 0, 0, 0, 2424, 204463, 104.061790, 102.355576, 6668588
26371, 0, 0, 0, 0, 0, 0, 73, 40, 0, 0, 0, 16465, 311163, 128.163177, 128.163177, 6694959
47557, 0, 0, 0, 0, 0, 0, 73, 69, 0, 0, 0, 38457, 493932, 206.772293, 198.123199, 6742516
250429, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 522668, 578827, 363.837219, 314.937042, 6992945
30019, 0, 0, 0, 0, 0, 0, 73, 25, 0, 0, 0, 48464, 184652, 92.929413, 92.929413, 7022964
134466, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 188413, 578834, 344.987610, 328.016296, 7157430
36259, 0, 0, 0, 0, 0, 0, 73, 28, 0, 0, 0, 59132, 212760, 119.799187, 119.799187, 7193689
254055, 0, 0, 0, 0, 0, 0, 73, 73, 0, 0, 0, 534783, 578834, 361.767395, 324.688477, 7447744
