querying time, init time, tree pass time, pq insert time, pq remove time, lb dist time, real dist time, nodes, checked_nodes, bytes_accessed, loaded_nodes, loaded_records, real dist calc, lb dist calc, approximate_distance, distance, total
148194, 0, 0, 0, 0, 0, 0, 807, 334, 0, 0, 0, 37534, 1407698, 62.247360, 62.247360, 148194
5297, 0, 0, 0, 0, 0, 0, 807, 23, 0, 0, 0, 28, 80311, 6.325023, 5.631339, 153491
24112, 0, 0, 0, 0, 0, 0, 807, 68, 0, 0, 0, 11393, 287008, 29.198050, 29.198050, 177603
5781, 0, 0, 0, 0, 0, 0, 807, 48, 0, 0, 0, 36, 76692, 3.646834, 3.371729, 183384
6604, 0, 0, 0, 0, 0, 0, 807, 40, 0, 0, 0, 7, 102368, 6.185989, 6.185989, 189988
312020, 0, 0, 0, 0, 0, 0, 807, 803, 0, 0, 0, 66, 4393773, 107.154747, 107.154747, 502008
9399, 0, 0, 0, 0, 0, 0, 807, 41, 0, 0, 0, 1047, 124341, 16.428461, 13.997404, 511407
30866, 0, 0, 0, 0, 0, 0, 807, 334, 0, 0, 0, 1538, 440314, 25.387943, 24.051296, 542273
1039, 0, 0, 0, 0, 0, 0, 807, 6, 0, 0, 0, 1, 12304, 0.000000, 0.000000, 543312
69082, 0, 0, 0, 0, 0, 0, 807, 155, 0, 0, 0, 6785, 865506, 43.143997, 38.112732, 612394
2982, 0, 0, 0, 0, 0, 0, 807, 33, 0, 0, 0, 24, 81278, 4.016717, 2.832206, 615376
105562, 0, 0, 0, 0, 0, 0, 807, 229, 0, 0, 0, 77519, 837998, 57.085896, 49.776207, 720938
8276, 0, 0, 0, 0, 0, 0, 807, 56, 0, 0, 0, 28, 113747, 0.506250, 0.506250, 729214
3133, 0, 0, 0, 0, 0, 0, 807, 20, 0, 0, 0, 25, 43057, 4.909945, 2.831873, 732347
5405, 0, 0, 0, 0, 0, 0, 807, 33, 0, 0, 0, 36, 77632, 4.065889, 3.081250, 737752
5499, 0, 0, 0, 0, 0, 0, 807, 39, 0, 0, 0, 71, 76727, 7.334002, 7.334002, 743251
3072, 0, 0, 0, 0, 0, 0, 807, 27, 0, 0, 0, 9, 33942, 0.799904, 0.348326, 746323
2370, 0, 0, 0, 0, 0, 0, 807, 27, 0, 0, 0, 13, 36084, 0.603243, 0.502818, 748693
340810, 0, 0, 0, 0, 0, 0, 807, 803, 0, 0, 0, 238, 4452145, 160.994156, 124.780502, 1089503
2916, 0, 0, 0, 0, 0, 0, 807, 19, 0, 0, 0, 11, 39848, 2.057920, 0.978197, 1092419
3594, 0, 0, 0, 0, 0, 0, 807, 22, 0, 0, 0, 7, 47618, 1.048083, 0.821146, 1096013
7774, 0, 0, 0, 0, 0, 0, 807, 87, 0, 0, 0, 8, 110897, 0.724756, 0.470098, 1103787
6335, 0, 0, 0, 0, 0, 0, 807, 45, 0, 0, 0, 892, 85945, 2.561924, 2.395940, 1110122
584575, 0, 0, 0, 0, 0, 0, 807, 806, 0, 0, 0, 186424, 4480283, 278.181519, 218.710754, 1694697
3687, 0, 0, 0, 0, 0, 0, 807, 33, 0, 0, 0, 16, 61098, 9.525002, 6.422733, 1698384
2023, 0, 0, 0, 0, 0, 0, 807, 16, 0, 0, 0, 14, 30076, 1.705613, 1.705613, 1700407
3217, 0, 0, 0, 0, 0, 0, 807, 36, 0, 0, 0, 6, 59800, 0.891073, 0.499470, 1703624
280253, 0, 0, 0, 0, 0, 0, 807, 803, 0, 0, 0, 874, 3847162, 195.178986, 165.894638, 1983877
336688, 0, 0, 0, 0, 0, 0, 807, 805, 0, 0, 0, 5067, 4502148, 260.778900, 191.295517, 2320565
21951, 0, 0, 0, 0, 0, 0, 807, 188, 0, 0, 0, 23, 369632, 6.149027, 6.114902, 2342516
24764, 0, 0, 0, 0, 0, 0, 807, 109, 0, 0, 0, 35, 414842, 46.039604, 46.039604, 2367280
1937, 0, 0, 0, 0, 0, 0, 807, 12, 0, 0, 0, 5, 29892, 10.501842, 10.488314, 2369217
1914, 0, 0, 0, 0, 0, 0, 807, 11, 0, 0, 0, 9, 29342, 2.373383, 2.247051, 2371131
3418, 0, 0, 0, 0, 0, 0, 807, 22, 0, 0, 0, 12, 51597, 1.466505, 1.354160, 2374549
3343, 0, 0, 0, 0, 0, 0, 807, 18, 0, 0, 0, 9, 49448, 1.680820, 1.680820, 2377892
2963, 0, 0, 0, 0, 0, 0, 807, 20, 0, 0, 0, 15, 54387, 1.186682, 0.870312, 2380855
23928, 0, 0, 0, 0, 0, 0, 807, 155, 0, 0, 0, 67, 400390, 6.212248, 6.212248, 2404783
11334, 0, 0, 0, 0, 0, 0, 807, 86, 0, 0, 0, 534, 183168, 2.285158, 2.277662, 2416117
3216, 0, 0, 0, 0, 0, 0, 807, 19, 0, 0, 0, 7, 52241, 3.187462, 3.187462, 2419333
4277, 0, 0, 0, 0, 0, 0, 807, 35, 0, 0, 0, 3, 59153, 0.342386, 0.342386, 2423610
6961, 0, 0, 0, 0, 0, 0, 807, 89, 0, 0, 0, 17, 124804, 6.452086, 5.754169, 2430571
11194, 0, 0, 0, 0, 0, 0, 807, 37, 0, 0, 0, 954, 177773, 16.695686, 16.473314, 2441765
32089, 0, 0, 0, 0, 0, 0, 807, 154, 0, 0, 0, 582, 509720, 23.576351, 23.576351, 2473854
2558, 0, 0, 0, 0, 0, 0, 807, 15, 0, 0, 0, 35, 40082, 0.446660, 0.381663, 2476412
4012, 0, 0, 0, 0, 0, 0, 807, 34, 0, 0, 0, 10, 81011, 1.148154, 1.148154, 2480424
4781, 0, 0, 0, 0, 0, 0, 807, 42, 0, 0, 0, 12, 77882, 0.254297, 0.254297, 2485205
15964, 0, 0, 0, 0, 0, 0, 807, 86, 0, 0, 0, 10576, 220246, 9.277636, 9.277636, 2501169
202888, 0, 0, 0, 0, 0, 0, 807, 797, 0, 0, 0, 87, 3392568, 153.146332, 76.521469, 2704057
4376, 0, 0, 0, 0, 0, 0, 807, 25, 0, 0, 0, 12, 71973, 2.507422, 1.077951, 2708433
3701, 0, 0, 0, 0, 0, 0, 807, 25, 0, 0, 0, 5, 57275, 0.484307, 0.484307, 2712134
305753, 0, 0, 0, 0, 0, 0, 807, 803, 0, 0, 0, 608, 4349705, 238.787720, 164.311401, 3017887
48084, 0, 0, 0, 0, 0, 0, 807, 174, 0, 0, 0, 69, 776050, 79.631699, 70.845062, 3065971
4115, 0, 0, 0, 0, 0, 0, 807, 29, 0, 0, 0, 9, 58883, 2.298211, 1.979427, 3070086
2073, 0, 0, 0, 0, 0, 0, 807, 23, 0, 0, 0, 9, 27466, 0.288547, 0.209112, 3072159
15995, 0, 0, 0, 0, 0, 0, 807, 75, 0, 0, 0, 28, 273933, 10.825809, 10.719604, 3088154
117060, 0, 0, 0, 0, 0, 0, 807, 495, 0, 0, 0, 64, 2053386, 122.201988, 84.853867, 3205214
6731, 0, 0, 0, 0, 0, 0, 807, 39, 0, 0, 0, 7, 113190, 2.432743, 1.683931, 3211945
2524, 0, 0, 0, 0, 0, 0, 807, 18, 0, 0, 0, 9, 35230, 0.704195, 0.572744, 3214469
321946, 0, 0, 0, 0, 0, 0, 807, 805, 0, 0, 0, 617, 4513709, 246.916779, 169.894394, 3536415
