query,total_records,query_wall_us,worker_search_us,node_mbr_checks,node_mbr_pruned,node_mbr_us,group_mbr_checks,group_mbr_pruned,group_mbr_us,radial_checks,radial_pruned,radial_us,symbolic_checks,symbolic_pruned,symbolic_us,residual_checks,residual_pruned,residual_us,exact_evaluated,exact_us,other_worker_us
0,4160286,26317,1320701,732,0,1827,6911,152998,28411,3520966,7322,38009,3999966,3480848,766974,950349,77929,83070,441189,208192,194218
1,4160286,15375,740358,732,0,1049,6911,153025,14223,3520939,14675,20122,3992586,3505563,360818,904009,59733,42339,427290,181032,120775
2,4160286,8626,373764,732,0,604,6911,154812,9763,3519152,5265,13836,4000209,3824698,271909,243025,106500,8109,69011,27370,42173
3,4160286,11674,490947,732,0,564,6911,155259,8633,3518705,4809,13545,4000218,3610206,232602,709502,63180,23888,326832,134843,76872
4,4160286,8914,344133,732,0,545,6911,153419,8581,3520545,6545,12598,4000322,3759748,238752,324977,154231,9686,86343,31821,42150
5,4160286,5789,246272,732,0,607,6911,157477,8686,3516487,3163,12062,3999646,3979417,196193,21578,18858,963,1371,530,27231
6,4160286,6508,283172,732,0,593,6911,155017,8640,3518947,4974,12115,4000295,3886916,225639,120511,106085,3965,7294,2376,29844
7,4160286,7409,342987,732,0,575,6911,154397,8627,3519567,5653,12802,4000236,3736439,243533,334150,191724,9851,72073,25103,42496
8,4160286,4584,186404,732,0,600,6911,157665,8530,3516299,5825,11613,3996796,3994582,139147,2633,1800,349,414,172,25993
9,4160286,23061,1087833,732,0,622,6911,153002,9096,3520962,6944,16257,4000340,2436596,278000,2668583,430117,73132,1133627,513658,197068
10,4160286,4475,190255,732,0,597,6911,157660,8661,3516304,9501,11712,3993125,3992092,144232,1291,778,184,255,104,24765
11,4160286,3525,135493,732,26098,602,6879,170325,8536,3488765,33495,11686,3930368,3930030,90635,587,80,83,258,140,23811
12,4160286,10119,377121,732,0,583,6911,154397,8695,3519567,5600,12866,4000289,3747434,246660,383453,119427,12589,133428,46084,49644
13,4160286,5947,248690,732,0,551,6911,157653,8709,3516311,5671,11990,3996962,3970423,198842,28078,24950,1237,1589,555,26806
14,4160286,5341,232453,732,0,552,6911,150416,8569,3523548,10469,11858,3999401,3991966,184492,8109,6748,722,687,241,26019
15,4160286,6250,270650,732,0,559,6911,155436,8792,3518528,4751,11863,4000099,3918890,213695,89252,72956,3265,8253,2576,29900
16,4160286,21719,986889,732,0,627,6911,148341,8780,3525623,11610,15788,4000335,2622578,275733,2408409,320558,68560,1057199,435906,181495
17,4160286,22471,1091383,732,0,600,6911,144619,8894,3529345,15361,16348,4000306,1922947,281258,3277652,845401,79415,1231958,497428,207440
18,4160286,8165,331316,732,0,606,6911,147446,8562,3526518,12505,12560,4000335,3737668,240287,321914,202057,8846,60610,21448,39007
19,4160286,15647,670389,732,0,614,6911,149282,8876,3524682,10814,14609,4000190,3321709,252743,1263300,80249,40025,598232,233178,120344
20,4160286,24281,1071428,732,0,614,6911,143549,8962,3530415,16400,16217,4000337,2483592,278055,2614330,390740,72401,1126005,496366,198813
21,4160286,6162,249182,732,0,581,6911,156302,8725,3517662,4834,11974,3999150,3947531,192932,64646,38292,2419,13327,4061,28490
22,4160286,15568,748061,732,0,585,6911,134377,8789,3539587,25592,14930,4000317,3241892,272352,1420449,80725,45760,677700,274883,130762
23,4160286,22149,998344,732,0,637,6911,154395,8755,3519569,5557,15790,4000334,2616824,274437,2403882,336882,68203,1046628,444780,185742
24,4160286,5096,204329,732,0,602,6911,157648,8581,3516316,5019,11644,3997619,3996347,158289,1456,1098,206,174,60,24947
25,4160286,19781,958940,732,0,591,6911,153000,9113,3520964,6991,15574,4000295,2819030,276663,2092427,246807,61839,934458,426149,169011
26,4160286,8755,355524,732,0,607,6911,154393,8600,3519571,5574,12665,4000319,3729226,243760,370582,169207,11383,101886,32466,46043
27,4160286,6509,282120,732,0,621,6911,155676,8534,3518288,4467,11892,4000143,3988329,232192,12640,10975,1157,839,264,27460
28,4160286,4171,164000,732,17416,588,6896,143746,8643,3512809,66251,11864,3932873,3932457,118058,569,261,92,155,50,24705
29,4160286,5217,204969,732,0,582,6911,156317,8458,3517647,25074,11752,3978895,3978056,157983,1174,510,202,329,129,25863
30,4160286,6454,282173,732,0,563,6911,154399,8600,3519565,5702,12113,4000185,3887676,220153,128029,96561,4357,15948,5483,30904
31,4160286,4884,196550,732,0,554,6911,157656,8553,3516308,8150,11571,3994480,3992982,150922,1781,1222,278,276,76,24596
32,4160286,4721,172712,732,0,576,6911,157665,8556,3516299,28223,11769,3974398,3970076,125699,5596,3029,420,1293,437,25255
33,4160286,12503,462100,732,7,645,6911,152671,8823,3521293,41455,13548,3966153,3603198,223110,677491,41995,22030,320960,113007,80937
34,4160286,6503,259612,732,0,563,6911,148524,8576,3525440,12067,12085,3999695,3925462,198115,92048,56015,3179,18218,6376,30718
35,4160286,20597,824694,732,0,624,6911,149910,8916,3524054,10095,15266,4000281,3022866,270173,1755133,180660,52715,796755,327514,149486
36,4160286,8130,365444,732,0,575,6911,154401,8644,3519563,5704,12814,4000181,3714791,224038,437485,129893,13829,155497,53487,52057
37,4160286,4851,213183,732,0,596,6911,157642,8559,3516322,3567,11776,3999077,3988781,165620,11031,9550,620,746,326,25686
38,4160286,5583,249322,732,0,568,6911,157236,8611,3516728,3952,12039,3999098,3928392,195343,77531,63711,2253,6995,2085,28423
39,4160286,7698,362647,732,0,566,6911,146613,8764,3527351,19588,12878,3994085,3781191,195291,394139,27855,11730,185039,80335,53083
40,4160286,14809,596005,732,0,573,6911,157666,8708,3516298,12433,13942,3990187,3229344,237191,1313113,195072,36293,565771,194228,105070
41,4160286,21806,1080356,732,0,588,6911,154397,8947,3519567,5657,16244,4000232,1960616,278163,3207550,840772,77254,1198844,493121,206039
42,4160286,5456,211387,732,0,610,6911,159027,8718,3514937,36976,11866,3964283,3963958,164537,511,148,56,177,63,25537
43,4160286,19315,831961,732,0,634,6911,145497,8950,3528467,15299,15003,3999490,2905346,262519,1860707,308973,52605,785171,339572,152678
44,4160286,20652,988250,732,0,620,6911,153423,9049,3520541,6786,15915,4000077,2171974,280975,2874384,754444,70230,1073659,425666,185795
45,4160286,6739,325019,732,0,629,6911,145536,8691,3528428,14585,12341,4000165,3804626,214149,283563,105686,8639,89853,37574,42996
46,4160286,6264,272721,732,0,589,6911,145252,8690,3528712,14966,12223,4000068,3922768,219878,80540,74009,1743,3291,1040,28558
47,4160286,21521,1082791,732,0,577,6911,146031,8982,3527933,13917,16394,4000338,2190195,282055,3001804,587120,79007,1223023,487762,208014
48,4160286,4540,182109,732,0,615,6911,157928,8595,3516036,47212,11989,3955146,3953387,135391,2419,1094,232,665,236,25051
49,4160286,15220,736489,732,0,567,6911,145132,8732,3528832,14827,14670,4000327,3278664,262847,1355134,72969,44158,648694,274707,130808
50,4160286,4098,181562,732,0,591,6911,157662,8576,3516302,7233,11664,3995391,3994096,135683,1668,922,195,373,158,24695
51,4160286,9340,383363,732,7,599,6911,150518,8682,3523446,32054,12944,3977707,3786324,227051,372268,6580,14033,184803,63809,56245
52,4160286,4660,175300,732,0,601,6911,157665,8508,3516299,9543,11539,3993078,3992656,129801,583,272,62,150,63,24726
53,4160286,5033,197193,732,0,570,6911,157653,8653,3516311,7523,11714,3995110,3990367,150168,5477,4019,496,724,280,25312
54,4160286,15529,659385,732,0,570,6911,149877,8641,3524087,10103,14243,4000306,3337385,255617,1239581,72970,39285,589951,224212,116817
55,4160286,7333,343201,732,0,576,6911,153002,8673,3520962,6976,12697,4000308,3711013,237119,369959,206781,10195,82514,29813,44128
56,4160286,14903,714580,732,0,559,6911,154397,8777,3519567,5585,14396,4000304,3256606,259753,1379660,92631,44211,651067,261143,125741
57,4160286,6555,282655,732,0,602,6911,156165,8579,3517799,4147,12068,3999974,3849640,213960,180196,119831,5297,30503,9077,33072
58,4160286,7508,299855,732,0,552,6911,153419,8543,3520545,6716,12152,4000151,3886646,237202,131621,94988,3645,18517,5776,31985
59,4160286,5267,216814,732,0,579,6911,157656,8559,3516308,8676,11842,3993954,3991438,170229,2831,2204,333,312,118,25154
60,4160286,6722,291620,732,0,574,6911,151935,8630,3522029,8072,12096,4000279,3845983,222002,182219,125762,4984,28534,10404,32930
61,4160286,18949,883921,732,0,599,6911,150042,8781,3523922,10319,15009,3999925,2717397,265160,2163988,379126,59475,903402,371805,163092
62,4160286,9152,408148,732,0,614,6911,156298,8739,3517666,3879,13303,4000109,3733627,248157,429303,99727,14208,166755,66474,56653
63,4160286,8097,296059,732,0,611,6911,153870,8599,3520094,6340,12032,4000076,3840271,219432,203127,115454,5695,44351,14737,34953
64,4160286,19398,925908,732,0,604,6911,140960,8843,3533004,19024,15320,4000302,2821016,273209,2065490,270940,59949,908346,401537,166446
65,4160286,13799,565884,732,0,607,6911,153006,8788,3520958,7131,13967,4000149,3544267,261079,865647,36924,28928,418958,164127,88388
66,4160286,5790,260598,732,0,612,6911,156297,8637,3517667,4234,11921,3999755,3950756,205547,55028,42810,2712,6189,2083,29086
67,4160286,4218,167278,732,0,578,6911,157653,8589,3516311,8332,11808,3994301,3992584,120894,2207,1213,281,504,203,24925
68,4160286,9852,429998,732,0,552,6911,146449,8654,3527515,13532,12801,4000305,3645332,240723,589276,115423,18640,239550,85616,63012
69,4160286,5117,189926,732,0,589,6911,157677,8611,3516287,23990,11732,3978619,3977723,143267,1269,526,149,370,129,25449
70,4160286,6532,282471,732,0,580,6911,154810,8529,3519154,5371,12021,4000105,3924424,226814,81327,69899,3055,5782,1978,29494
71,4160286,17380,813070,732,0,568,6911,147998,8797,3525966,11951,14927,4000337,3102149,269598,1669885,107551,52630,790637,319226,147324
72,4160286,17276,722253,732,0,613,6911,146888,8995,3527076,13152,14782,4000246,3243505,261476,1398235,100161,45038,656580,265943,125406
73,4160286,6333,266807,732,0,582,6911,155259,8703,3518705,4727,12172,4000300,3954909,215443,46524,44234,2059,1157,444,27404
74,4160286,5588,235374,732,0,567,6911,157653,8770,3516311,4846,11914,3997787,3961303,181810,42664,30145,2510,6339,2087,27716
75,4160286,6355,281838,732,0,577,6911,155678,8717,3518286,4344,11982,4000264,3887750,225879,118825,106027,3561,6487,2065,29057
